,char,movie,mbti,votes
87,David,Alien: Covenant,INTP,43 Pdb Votes
88,Velma Dinkley,Scooby-Doo (2002),INTP,181 Pdb Votes
89,Shun Takahata,As the Gods Will,INTP,45 Pdb Votes
90,Ethan Bank,Sky High (2005),INTP,30 Pdb Votes
91,Marcus Lincoln,Paper Towns (2015),INTP,60 Pdb Votes
92,Toto,Una Película de Huevos,INTP,59 Pdb Votes
93,Sarah,Palm Springs,INTP,128 Pdb Votes
94,Jack Deebs,Cool World (1992),INTP,19 Pdb Votes
95,Guido Anselmi,8 1/2,INTP,57 Pdb Votes
96,Bill,It’s Such a Beautiful Day (2012),INTP,75 Pdb Votes
97,Sherlock Holmes,Enola Holmes (2020),INTP,769 Pdb Votes
98,Sonya,Madagascar (Franchise),INTP,103 Pdb Votes
99,Franklin Webb,Jurassic Park / Jurassic World (Film Franchise),INTP,50 Pdb Votes
100,Chirag Gupta,Diary of a Wimpy Kid (Series),INTP,125 Pdb Votes
101,The Stranger,The Big Lebowski (1998),INTP,88 Pdb Votes
102,Margot Tenenbaum,The Royal Tenenbaums (2001),INTP,316 Pdb Votes
103,Friedrich Bhaer,Little Women (2019),INTP,245 Pdb Votes
104,"Maximillian ""Max"" Cohen",Pi (1998),INTP,221 Pdb Votes
105,Ivy,Poison Ivy (1992),INTP,72 Pdb Votes
106,Steven Meeks,Dead Poets Society (1989),INTP,338 Pdb Votes
107,Weird Girl,Frankenweenie (2012),INTP,183 Pdb Votes
108,Chloe,The Secret Life of Pets (2016),INTP,179 Pdb Votes
109,Garrick Ollivander,Harry Potter / Wizarding World Films,INTP,179 Pdb Votes
110,Charlie Graham,Hereditary (2018),INTP,313 Pdb Votes
111,Esther Onakuramara,Pitch Perfect (Series),INTP,82 Pdb Votes
112,Aaron Rapaport,The Interview (2014),INTP,32 Pdb Votes
113,Marty,The Cabin in the Woods (2012),INTP,152 Pdb Votes
114,Kale Brecht,Disturbia (2007),INTP,64 Pdb Votes
115,Marlena,Cloverfield (2008),INTP,37 Pdb Votes
116,Ichabod Crane,Sleepy Hollow (1999),INTP,233 Pdb Votes
117,Nine Ball / Leslie,Ocean's 8 (2018),INTP,175 Pdb Votes
118,Rich Purnell,The Martian (2015),INTP,80 Pdb Votes
119,Evelyn O'Connell (née Carnahan) “Nefertiri”,The Mummy (Franchise),INTP,208 Pdb Votes
120,Mr. Bennet,Pride and Prejudice (2005),INTP,221 Pdb Votes
121,Joan Leaven,Cube (1997),INTP,86 Pdb Votes
122,Tej Parker,The Fast and the Furious (Film Franchise),INTP,76 Pdb Votes
123,Milo James Thatch,Atlantis: The Lost Empire (2001),INTP,734 Pdb Votes
124,Linus Caldwell,Ocean's Eleven Trilogy,INTP,90 Pdb Votes
125,David 8,Alien,INTP,193 Pdb Votes
126,Ariadne,Inception (2010),INTP,462 Pdb Votes
127,Isabelle Richard,Os Huios,XXXX,1 Pdb Vote
128,Jurgen Warmbrunn,World War Z (2013),INTP,2 Pdb Votes
129,''Caçador Criança'',ESCONDIDO,XXXX,1 Pdb Vote
130,"Daniel Winston ""The Trader""",White Heat (1949),INTJ,1 Pdb Vote
131,Charles,Separate Tables (1958),XXXX,1 Pdb Vote
132,yo,rgergregs,INTP,6 Pdb Votes
133,Thomas Pinto,Exotica (1994),INTP,10 Pdb Votes
134,Izumi Wataya,Even if This Love Disappears from the World Tonigh,INTP,3 Pdb Votes
135,Jörmungandr,How to Train Your Dragon (Franchise),XXXX,3 Pdb Votes
136,Lou Ford,The Killer Inside Me (2010),INTP,5 Pdb Votes
137,Alex Jacobs,Alien Code,INTP,8 Pdb Votes
138,Empusa,Stardust (2007),INTP,5 Pdb Votes
139,Felipe Maquirriain,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
140,Gustav von Aschenbach,Death in Venice (1971 film),XXXX,1 Pdb Vote
141,Jesse James,Lucky Luke,XXXX,1 Pdb Vote
142,Roberto Canessa,La Sociedad de la Nieve (Society of the Snow),INTP,57 Pdb Votes
143,Dr. Stephen Shin,Aquaman And The Lost Knigdom (2023),INTP,44 Pdb Votes
144,Dr. Fry,Chicken Run: Dawn of the Nugget (2023),INTP,22 Pdb Votes
145,Jamie Bernstein,Maestro,XXXX,1 Pdb Vote
146,Wyatt Walker,Family Switch,INTP,57 Pdb Votes
147,Jun Chow,Mars Express,XXXX,1 Pdb Vote
148,Tojo,The Lion King (Franchise),INTP,5 Pdb Votes
149,Wes Rivers,Barbie in Princess Power,INTP,6 Pdb Votes
150,Priest,Wonka (2023 Movie),INTP,45 Pdb Votes
151,Lauren Creston,Totally Killer (2023),INTP,20 Pdb Votes
152,Michael Gavey,Saltburn,INTP,77 Pdb Votes
153,Je Yeong-min,The Chaser(2008),INTP,6 Pdb Votes
154,Professor Bruce,Haunted Mansion (2023),INTP,31 Pdb Votes
155, Chief Inspector Harley Temple,Lured (1947),INTP,6 Pdb Votes
156,Taki,Shin Kamen Rider,INTP,5 Pdb Votes
157,"Dr. Edward ""Eddie"" Jessup",Altered States (1980),XXXX,3 Pdb Votes
158,David Hill,Oppenheimer (2023),INTP,84 Pdb Votes
159,Lyosha,Vacations of Petrov and Vasechkin (1984),INTP,1 Pdb Vote
160,Nozomi Shirakawa,linda linda linda,INTP,9 Pdb Votes
161,Harry Astley,Poor Things,INTP,101 Pdb Votes
162,Roman Lavochkin,Could One Imagine?,XXXX,1 Pdb Vote
163,Jerry Day ,Now and Forever (1934),INTP,8 Pdb Votes
164,BX-series droid commando,Star Wars,XXXX,21 Pdb Votes
165,The Crow,Brave (2012),INTP,10 Pdb Votes
166,Danny,Evil Dead Series,INTP,72 Pdb Votes
167,Shota Uranishi,Re/Member (2022),INTP,12 Pdb Votes
168,Peter Moore,AIR (2023),INTP,20 Pdb Votes
169,Loretta McLaughlin ,Boston Strangler,INTP,21 Pdb Votes
170,April O'Neil,Teenage Mutant Ninja Turtles: Mutant Mayhem,INTP,73 Pdb Votes
171,Donatello,Teenage Mutant Ninja Turtles: Mutant Mayhem,INTP,147 Pdb Votes
172,Fused Ultraman,Shin Ultraman,INTP,4 Pdb Votes
173,Kyle Marks,When You Finish Saving the World,INTP,15 Pdb Votes
174,Odee,Captain EO (1986),INTP,2 Pdb Votes
175,Howie,Ramona and Beezus (2010),INTP,17 Pdb Votes
176,Jack Gladney,White Noise (2022),INTP,30 Pdb Votes
177,"Gothi, the Village Elder",How to Train Your Dragon (Franchise),INTP,7 Pdb Votes
178,Bob McReed,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
179,Vitaly Innokentyevich Vitvitsky,Chikatilo,INTP,16 Pdb Votes
180,Kamran Chaudhry,Grimcutty,XXXX,1 Pdb Vote
181,Kamek,The Super Mario Bros. Movie (2023),INTP,120 Pdb Votes
182,Tsukasa Takagi,High and Low,INTP,18 Pdb Votes
183,Alithea,Three Thousand Years of Longing (2022),INTP,44 Pdb Votes
184,Misty,My Little Pony: A New Generation (2021),INTP,252 Pdb Votes
185,Rufus the thief,Notting Hill (1999),XXXX,2 Pdb Votes
186,Unnamed killer,Angst (1983),INTP,26 Pdb Votes
187,The Casket Salesman,The Irishman (2019),XXXX,1 Pdb Vote
188,Nick,My True Friend (2012),INTP,6 Pdb Votes
189,Casey,We're All Going to the World's Fair,INTP,27 Pdb Votes
190,Mr Dinkles,Trolls (2016),INTP,58 Pdb Votes
191,Marnie Cooper,Scream (Franchise),INTP,29 Pdb Votes
192,Pigeon Toady,Storks (2016),INTP,11 Pdb Votes
193,Mr Gao,Turning Red (2022),INTP,46 Pdb Votes
194,Wyatt,Old Henry (2021),INTP,13 Pdb Votes
195,Megumi 'Rindaman' Hayashida,Crows Zero (2007),INTP,21 Pdb Votes
196,Inspector Jacques Clouseau (Peter Sellers),The Pink Panther (film series),INTP,9 Pdb Votes
197,Nigar,Aik Hai Nigar,INTP,5 Pdb Votes
198,John Clancy,Solace (2015),INTP,5 Pdb Votes
199,Brainy Smurf,The Smurfs (2011),INTP,24 Pdb Votes
200,George Stitzer,The Wedding Singer (1998),INTP,10 Pdb Votes
201,Thoth,Gods of Egypt (2016),INTP,19 Pdb Votes
202,Barry Gabrewski,Sidekicks (1992),INTP,5 Pdb Votes
203,Jeremy,Think Like a Man (2012),INTP,15 Pdb Votes
204,Danny (Role Models),Role Models,INTP,44 Pdb Votes
205,Ledoux,The Phantom of the Opera (1925),INTP,3 Pdb Votes
206,Jindiao,Kung Fu Panda (Franchise),INTP,12 Pdb Votes
207,Andy,Totally Fucked Up (1993),INTP,38 Pdb Votes
208,Kazuki Miyaichi,Hot Road (2014),INTP,2 Pdb Votes
209,Gonk Droid,Star Wars,INTP,26 Pdb Votes
210,Dr. Einstein,Arsenic and Old Lace,INTP,19 Pdb Votes
211,Louis Wain,The Electrical Life of Louis Wain (2021),INTP,79 Pdb Votes
212,Francesco Dellamorte,Cemetery Man (1994),INTP,27 Pdb Votes
213,Lisa Montez,High School Musical (Film Trilogy),INTP,6 Pdb Votes
214,Archibald Williams,My Suicide (Archie’s Final Project),INTP,11 Pdb Votes
215,Coriakin,The Chronicles of Narnia (Film Trilogy),INTP,7 Pdb Votes
216,Halley Brandon,Frenemies (2012),INTP,27 Pdb Votes
217,Kiki,Wild Child (2008),INTP,21 Pdb Votes
218,Otis,Asterix and Obelix (Franchise),INTP,40 Pdb Votes
219,Richard “Rick” Wershe Jr.,White Boy Rick,XXXX,4 Pdb Votes
220,Separatist Alliance,Star Wars,INTP,37 Pdb Votes
221,Semyon Gorbunkov,The Diamond Arm (1969),INTP,18 Pdb Votes
222,Sqweep,Monsters vs. Aliens,INTP,14 Pdb Votes
223,General Glozelle,The Chronicles of Narnia (Film Trilogy),INTP,5 Pdb Votes
224,Catherine Llewellyn,Proof (2005),INTP,12 Pdb Votes
225,Steve Wozniak,Steve Jobs (2015),INTP,21 Pdb Votes
226,Russian Ambassador,Dr. Strangelove (1964),INTP,7 Pdb Votes
227,Alex,Elephant (2003),INTP,70 Pdb Votes
228,Alisa Selezneva,Guest from the Future (1985),INTP,19 Pdb Votes
229,Richard Brown,The Professor (2018),INTP,30 Pdb Votes
230,Vivian Wembley,Transformers (Bayverse),INTP,8 Pdb Votes
231,Momoko Ryugasaki,Kamikaze Girls (2004),INTP,230 Pdb Votes
232,Marie,Water Lilies (Naissance des Pieuvres),INTP,92 Pdb Votes
233,Dan Mulligan,Begin Again (2013),INTP,46 Pdb Votes
234,Piter de Vries,Dune (2021),INTP,76 Pdb Votes
235,The Doorknob,Alice in Wonderland (1951),INTP,39 Pdb Votes
236,Omar Ulmer,Inglourious Basterds (2009),INTP,31 Pdb Votes
237,George Almore,Archive (2020),INTP,12 Pdb Votes
238,Dave Stutler,The Sorcerer’s Apprentice (2010),INTP,20 Pdb Votes
239,Benjamin,Benjamin (2018),INTP,14 Pdb Votes
240,Steve Zissou,The Life Aquatic with Steve Zissou (2004),INTP,63 Pdb Votes
241,Marvin,Daddy Day Care (2003),INTP,51 Pdb Votes
242,Rizwan Khan,My Name Is Khan,INTP,46 Pdb Votes
243,Jordan,Inside Out (Franchise),INTP,200 Pdb Votes
244,Doug,Descendants (Franchise),INTP,144 Pdb Votes
245,Deon,Chappie (2015),INTP,32 Pdb Votes
246,Daniel Middleton,Hot Summer Nights (2017),INTP,41 Pdb Votes
247,Charles,Four Weddings and a Funeral (1994),INTP,94 Pdb Votes
248,Cole Johnson,The Babysitter,INTP,251 Pdb Votes
249,Robert Capa,Sunshine (2007),INTP,54 Pdb Votes
250,Tom Reagan,Miller's Crossing (1990),INTP,47 Pdb Votes
251,Seligman,Nymphomaniac (2013),INTP,78 Pdb Votes
252,Blackberry,Watership Down (1978),INTP,8 Pdb Votes
253,Priscilla,Rango,INTP,52 Pdb Votes
254,Zep Hindle,Saw Series (2004),INTP,66 Pdb Votes
255,Ian Garvin,Avatar (Franchise),INTP,19 Pdb Votes
256,Benjamin Ballon,The Pink Panther (film series),INTP,2 Pdb Votes
257,Stuart Besser,Kate & Leopold,INTP,14 Pdb Votes
258,Kevin,Sin City (franchise),INTP,40 Pdb Votes
259,Chema,Tesis / Thesis (1996),INTP,78 Pdb Votes
260,Pete,A Clockwork Orange (1971),INTP,97 Pdb Votes
261,William of Baskerville,The Name of the Rose (1986),INTP,75 Pdb Votes
262,Q,James Bond Film Series,INTP,208 Pdb Votes
263,Glimmer,Tinker Bell (2008),INTP,21 Pdb Votes
264,Agent M / Molly Wright,Men in Black,INTP,66 Pdb Votes
265,Jackson Curtis,2012 (2009 disaster film),INTP,31 Pdb Votes
266,Dr. Artemus Bradford,Inspector Gadget,INTP,5 Pdb Votes
267,Trevor Reznick,The Machinist (2004),INTP,135 Pdb Votes
268,Eliza Zambi,Z-O-M-B-I-E-S (2018),INTP,78 Pdb Votes
269,Martin Lang,The Killing of a Sacred Deer (2017),INTP,107 Pdb Votes
270,Frank Tupelo/Alexander Pearce,The Tourist (2010),INTP,101 Pdb Votes
271,Chad Kaplan,Resident Evil,INTP,8 Pdb Votes
272,Charlie Walker,Scream (Franchise),INTP,136 Pdb Votes
273,Daniel Matthews,Saw Series (2004),INTP,169 Pdb Votes
274,The Grinch,The Grinch (2018),INTP,294 Pdb Votes
275,Robert Graysmith,Zodiac (2007),INTP,261 Pdb Votes
276,Unferth,Beowulf,INTP,18 Pdb Votes
277,Humbert Humbert,Lolita (1962),INTP,32 Pdb Votes
278,Finch Crossley “Foxface”,The Hunger Games (Franchise),INTP,301 Pdb Votes
279,Joel Glicker,The Addams Family,INTP,220 Pdb Votes
280,"Rick Riker ""Dragonfly""",Superhero Movie (2008),INTP,27 Pdb Votes
281,Alva,Klaus (2019),INTP,148 Pdb Votes
282,Pino/Noki/Kio,Red Shoes & The Seven Dwarfs (2019),INTP,15 Pdb Votes
283,Mr. Bean,Mr. Bean's Holiday (2007),INTP,43 Pdb Votes
284,Stu,What We Do in the Shadows (2014),INTP,30 Pdb Votes
285,Mülayim Sert,Korkusuz Korkak (1979),INTP,33 Pdb Votes
286,Park Da-song,Parasite (2019),INTP,344 Pdb Votes
287,Professor Digory Kirke,The Chronicles of Narnia (Film Trilogy),INTP,83 Pdb Votes
288,Seth Brundle,The Fly (1986),INTP,80 Pdb Votes
289,"Eddie ""Scrap Iron"" Dupris",Million Dollar Baby (2004),INTP,32 Pdb Votes
290,Davis,Demolition (2015),INTP,145 Pdb Votes
291,Livingston Dell,Ocean's Eleven Trilogy,INTP,33 Pdb Votes
292,Brandon Breyer,BrightBurn (2019),INTP,81 Pdb Votes
293,Michael Bolton,Office Space (1999),INTP,80 Pdb Votes
294,MInion,Spy Kids (2001),INTP,10 Pdb Votes
295,Stephen Hawking,The Theory of Everything (2014),INTP,201 Pdb Votes
296,Toast the Knowing,Mad Max (1979),INTP,23 Pdb Votes
297,IG-88,Star Wars,INTP,50 Pdb Votes
298,Dave Hodgman,The First Time (2012),INTP,23 Pdb Votes
299,Maurice,Beauty and the Beast (2017),INTP,40 Pdb Votes
300,David Abbott,Just Like Heaven (2005),INTP,28 Pdb Votes
301,Gray Mitchell,Jurassic Park / Jurassic World (Film Franchise),INTP,91 Pdb Votes
302,"John ""Scottie"" Ferguson",Vertigo (1958),INTP,109 Pdb Votes
303,PK,PK (2014),INTP,65 Pdb Votes
304,Ellen Ripley Clone 8,Alien,INTP,27 Pdb Votes
305,Chief Inspector Hubbard,Dial M for Murder (1954),INTP,28 Pdb Votes
306,Joe Black,Meet Joe Black (1998),INTP,171 Pdb Votes
307,Maurice,Beauty and the Beast (Franchise),INTP,319 Pdb Votes
308,Lance Bishop,Alien,INTP,60 Pdb Votes
309,Ron Slater,Dazed and Confused (1993),INTP,56 Pdb Votes
310,Belt,The Croods (Franchise),INTP,36 Pdb Votes
311,Amita,Ocean's 8 (2018),INTP,49 Pdb Votes
312,Dr. Egon Spengler,Ghostbusters (1984),INTP,201 Pdb Votes
313,"Benjamin ""Ben"" Braddock",The Graduate (1967),INTP,160 Pdb Votes
314,John Darling,Peter Pan (1953),INTP,86 Pdb Votes
315,Arthur Weasley,Harry Potter / Wizarding World Films,INTP,820 Pdb Votes
316,Spencer Gilpin,Jumanji (Reboot),INTP,202 Pdb Votes
317,Mort Rainey,Secret Window (2004),INTP,110 Pdb Votes
318,"Dustin James ""DJ"" Walterson",Monster House (2006),INTP,175 Pdb Votes
319,Edwin Flagg,What Ever Happened to Baby Jane? (1962),INTP,11 Pdb Votes
320,James Halliday,Ready Player One (2018),INTP,114 Pdb Votes
321,Mike McDermott,Rounders (1998),INTP,29 Pdb Votes
322,Thaddeus Bradley,Now You See Me (Franchise),INTP,80 Pdb Votes
323,Abby Yates,Ghostbusters (2016),INTP,61 Pdb Votes
324,Scott Evil,Austin Powers,INTP,89 Pdb Votes
325,Stan Fink,Eternal Sunshine of the Spotless Mind (2004),INTP,81 Pdb Votes
326,Merlin,The Sword in the Stone (1963),INTP,231 Pdb Votes
327,David Worth,Cube (1997),INTP,74 Pdb Votes
328,Robert Langdon,The Da Vinci Code,INTP,155 Pdb Votes
329,Dr. Nefario,Despicable Me (Franchise),INTP,404 Pdb Votes
330,Nikolai Romilly,Interstellar (2014),INTP,120 Pdb Votes
331,Kai,Vorstadtkrokodile 2,XXXX,1 Pdb Vote
332,Tewrism,Ed.so family,INTP,2 Pdb Votes
333,Guido Contini,Nine,INTP,2 Pdb Votes
334,Aaron Altman,Broadcast News,XXXX,1 Pdb Vote
335,Jon Rubin,Greetings (1968),INTP,10 Pdb Votes
336,Chigira Sui,"And Yet, You Are So Sweet (2023)",INTP,2 Pdb Votes
337,Dika,Marmut Merah Jambu,INTP,3 Pdb Votes
338,Carlos Sánchez Rivera,The Orphanage,INTP,3 Pdb Votes
339,Joe Larson,Operator (2016 film),INTP,4 Pdb Votes
340,Doug Davis,Cooties (2014),INTP,2 Pdb Votes
341,Tina,Kitty the Killer (2023),INTP,3 Pdb Votes
342,Karl Hungus,The Big Lebowski (1998),XXXX,1 Pdb Vote
343,Dr. Ed Grant,Zoom (2006),XXXX,1 Pdb Vote
344,Henry Clay,The Little Colonel (1935),XXXX,1 Pdb Vote
345,Zak,A Wobots Christmas,INTP,3 Pdb Votes
346,Tenley,SHHH,INTP,1 Pdb Vote
347,Paul,HumanistVampire Seeking Consenting Suicidal Person,XXXX,1 Pdb Vote
348,Shadow Freddy,Five Nights at Freddy's (Movie),XXXX,10 Pdb Votes
349,"""Mother""",Looney Tunes: Back in Action,INTP,1 Pdb Vote
350,Karen,Saving Bikini Bottom: The Sandy Cheeks Movie,XXXX,6 Pdb Votes
351,Nuran,A Ay (Oh Moon!),INTP,3 Pdb Votes
352,Nick Powell,The Invisible (2007),INTP,13 Pdb Votes
353,Mekama Kirou,Usogui ( Live Action ),INTP,1 Pdb Vote
354,Roy Harley,La Sociedad de la Nieve (Society of the Snow),INTP,1 Pdb Vote
355,Louis Le Prince,Corsage (2022),XXXX,4 Pdb Votes
356,李惠琳 Li Huilin,坚如磐石 (Under the Light),XXXX,2 Pdb Votes
357,Roy,Bon Bini Holland,INTP,2 Pdb Votes
358,Maurice Bendrix,The End of the Affair (1999),INTP,10 Pdb Votes
359,Zach,Robots,INTP,1 Pdb Vote
360,Mi-Sun,Lift (2024),INTP,32 Pdb Votes
361,Süha,"Aşk, Büyü vs.",XXXX,57 Pdb Votes
362,douma,Sillypology fandom,INTP,2 Pdb Votes
363,vekky,Sillypology fandom,INTP,21 Pdb Votes
364,Ethan,The One I Love (2014),INTP,1 Pdb Vote
365,Archer Fields,The Berlin Blaze (1954),INTP,4 Pdb Votes
366,Professor Tohichi Hikita,The Adventures of Buckaroo Banzai,XXXX,1 Pdb Vote
367,Кот-Баюн,По щучьему велению (2023),INTP,1 Pdb Vote
368,Jacob,Journey to Bethlehem (2023),ESFJ,2 Pdb Votes
369,Velma Dinkley,Trick or Treat Scooby-Doo (2022),XXXX,2 Pdb Votes
370,Chemistry Teacher,Willy Wonka and the Chocolate Factory (1971),INTP,12 Pdb Votes
371,Mister Terrific,Superman (2025),INTP,13 Pdb Votes
372,Federico Alcini (Versione Multiverso),Vacanze Estive,INTP,2 Pdb Votes
373,Dr. Ritick,Cartoon Movie (Series),INTP,12 Pdb Votes
374,Zatch Bell,Cartoon Movie (Series),INTP,9 Pdb Votes
375,Whis,Cartoon Movie (Series),INTP,9 Pdb Votes
376,Keisuke Isobe,A Girl on the Shore,INTP,5 Pdb Votes
377,Earring Magic Ken,Barbie (2023),INTP,2 Pdb Votes
378,Skippers,Barbie (2023),INTP,1 Pdb Vote
379,Gilbert Wynant,The Thin Man (Series),INTP,2 Pdb Votes
380,Maybe,Wreck-It Ralph (Franchise),XXXX,1 Pdb Vote
381,Cinnabun,Leo (2023),INTP,1 Pdb Vote
382,Oskar Matzerath,The Tin Drum (1979),XXXX,5 Pdb Votes
383,Daniel Gale,The Bad Mother’s Handbook (2007),XXXX,10 Pdb Votes
384,Remo,Barbie in A Mermaid Tale,XXXX,1 Pdb Vote
385,Ingolf von Appen,Cut Off(2018),ENTP,2 Pdb Votes
386,"Claybourne, The Client",The Killer,XXXX,9 Pdb Votes
387,Chip,The Little Engine That Could (1991),INTP,9 Pdb Votes
388,"Jordan ""Jordy"" Benedict III",Giant (1956),INTP,1 Pdb Vote
389,Ron Heacock,Quiz Lady (2023),INTP,1 Pdb Vote
390,Naomi Tanaka,Swing Girls (2004),XXXX,1 Pdb Vote
391,Brandon,Team Hot Wheels: The Origin of Awesome!,XXXX,6 Pdb Votes
392,Mike Lassiter,The Whole Truth (2016) - El Abogado del Mal,XXXX,3 Pdb Votes
