,char,movie,mbti,votes
119,Ennui,Inside Out (Franchise),ISTP,94 Pdb Votes
120,The King,Damsel (2024),XXXX,10 Pdb Votes
121,Male Morphling,The Hunger Games (Franchise),ISTP,9 Pdb Votes
122,Jade,Talk to Me,ISTP,92 Pdb Votes
123,Gu Hye Young,The Girl on a Bulldozer,ISTP,20 Pdb Votes
124,Toby,I Came By (2022),ISTP,42 Pdb Votes
125,Dos,Ferdinand (Olé el Viaje de Ferdinand),XXXX,3 Pdb Votes
126,The Iceberg,Titanic (1997),ISTP,251 Pdb Votes
127,Kang Hae Sang,The Roundup (2022),ISTP,47 Pdb Votes
128,James West,Wild Wild West (1999),ISTP,60 Pdb Votes
129,Jang Isu,THE OUTLAWS (2017),ISTP,26 Pdb Votes
130,Jessie Burlingame,Wrong Turn (2003),ISTP,36 Pdb Votes
131,Otis “OJ” Haywood Jr.,Nope (2022),ISTP,359 Pdb Votes
132,Chispi,Encanto (2021),ISTP,136 Pdb Votes
133,Grouchy Smurf,The Smurfs (2011),ISTP,21 Pdb Votes
134,Leeg 2,The Hunger Games (Franchise),ISTP,8 Pdb Votes
135,Jang Dong-soo,"The Gangster, the Cop, the Devil",ISTP,52 Pdb Votes
136,Smiley,Training Day (2001),ISTP,6 Pdb Votes
137,Alexia,Titane (2021),ISTP,80 Pdb Votes
138,Rafael Olvera (The Curse Of La Llorona),The Conjuring,ISTP,21 Pdb Votes
139,Victor Criss,It (2017),ISTP,58 Pdb Votes
140,Mitch Rapp,American Assassin,ISTP,76 Pdb Votes
141,Godzilla (Millennium),MonsterVerse,XXXX,18 Pdb Votes
142,Kujo,Blue Spring (2002),ISTP,122 Pdb Votes
143,Patrick Hockstetter,It (2017),ISTP,145 Pdb Votes
144,Koichiro Hasegawa,Drowning Love (2016),ISTP,82 Pdb Votes
145,Фил,Трудные подростки,ISTP,27 Pdb Votes
146,The Huntsman (Humbert),Snow White and the Seven Dwarfs (1937),ISTP,33 Pdb Votes
147,Cade Yeager,Transformers (Bayverse),ISTP,43 Pdb Votes
148,"Katherine ""Kit""",Failure to Launch,ISTP,26 Pdb Votes
149,Josh,Safe Haven,ISTP,6 Pdb Votes
150,Rattlesnake Jake,Rango,ISTP,151 Pdb Votes
151,Miho,Sin City (franchise),ISTP,24 Pdb Votes
152,Kale,Sinbad: Legend of the Seven Seas (2003),XXXX,30 Pdb Votes
153,"Elizabeth ""Zee""",Monster House (2006),ISTP,79 Pdb Votes
154,Captain Nathan Algren,The Last Samurai (2003),XXXX,123 Pdb Votes
155,"""Jiro"" Masatora Ichimonji",Ran (1985),ISTP,9 Pdb Votes
156,Will Salas,In Time (2011),ISTP,110 Pdb Votes
157,Eddie Valiant,Who Framed Roger Rabbit (1988),ISTP,85 Pdb Votes
158,Archibald Cunningham,Rob Roy (1995),ISTP,22 Pdb Votes
159,Detective Loki,Prisoners (2013),ISTP,437 Pdb Votes
160,Ironhide,Transformers (Bayverse),ISTP,79 Pdb Votes
161,Jill Valentine,Resident Evil,ISTP,56 Pdb Votes
162,Frank 'The Irishman' Sheeran,The Irishman (2019),ISTP,182 Pdb Votes
163,Ken Miles,Ford v Ferrari / Le Mans '66 (2019),ISTP,123 Pdb Votes
164,Jang Kyung-chul,I Saw the Devil (2010),ISTP,107 Pdb Votes
165,Danny Archer,Blood Diamond (2006),ISTP,82 Pdb Votes
166,Jordan Baker,The Great Gatsby (2013),ISTP,168 Pdb Votes
167,The Witch-king of Angmar,The Lord of the Rings (Film Trilogy),ISTP,130 Pdb Votes
168,Finn McMissile,Cars (Franchise),ISTP,119 Pdb Votes
169,Hugh Glass,The Revenant (2015),ISTP,176 Pdb Votes
170,Harry Lime,Home Alone,ISTP,251 Pdb Votes
171,Selene,Underworld,ISTP,98 Pdb Votes
172,George Nada,They Live (1988),ISTP,76 Pdb Votes
173,Vincent,Collateral (2004),ISTP,393 Pdb Votes
174,Billy Sole,Predator,ISTP,50 Pdb Votes
175,Thumper,The Butterfly Effect (2004),ISTP,32 Pdb Votes
176,Elvira Hancock,Scarface (1983),ISTP,290 Pdb Votes
177,Richard,Dead Man's Shoes (2004),ISTP,37 Pdb Votes
178,Lou Miller,Ocean's 8 (2018),ISTP,178 Pdb Votes
179,John McClane,Die Hard,ISTP,267 Pdb Votes
180,Deckard Shaw,The Fast and the Furious (Film Franchise),ISTP,161 Pdb Votes
181,John Constantine,Constantine (2005),ISTP,250 Pdb Votes
182,Merryweather,Sleeping Beauty (1959),ISTP,206 Pdb Votes
183,Ellis Boyd “Red” Redding,The Shawshank Redemption (1994),ISTP,357 Pdb Votes
184,Rick Blaine,Casablanca (1942),ISTP,129 Pdb Votes
185,Happy Gilmore,Happy Gilmore (1996),ISTP,92 Pdb Votes
186,Vincent Vega,Pulp Fiction (1994),ISTP,765 Pdb Votes
187,Dr. Alan Grant,Jurassic Park / Jurassic World (Film Franchise),ISTP,356 Pdb Votes
188,Minho,The Maze Runner (Film Trilogy),ISTP,297 Pdb Votes
189,Mr. Boddy,Clue (1985),ISTP,27 Pdb Votes
190,James Bond (Archetype),James Bond Film Series,ISTP,418 Pdb Votes
191,Giovana Castro,Os Huios,XXXX,1 Pdb Vote
192,Bhalu the Bear,Monkey Man (2024),XXXX,1 Pdb Vote
193,Antoine Godin,Café de Flore,XXXX,1 Pdb Vote
194,Pavel,The Beast Must Die (1974),ISTP,10 Pdb Votes
195,Snake Walker ( Frog Killer ),The Muppet Movie (1979),XXXX,1 Pdb Vote
196,"Valentine ""Snakeskin"" Xavier",The Fugitive Kind (1960),ISTP,2 Pdb Votes
197,Freddy Alvarez,The Ministry of Ungentlemanly Warfare (2024),ISTP,2 Pdb Votes
198,Miss Meacham,Separate Tables (1958),XXXX,1 Pdb Vote
199,Kid Darkness,Step Up 3D,ESTP,1 Pdb Vote
200,Lucas D. Mecina,My Friends,ISTP,10 Pdb Votes
201,Wesley Winfield,On Moonlight Bay (series),XXXX,4 Pdb Votes
202,Yuri Ozone,Revolver Lily,ISTP,10 Pdb Votes
203,Steve,Lord of the Flies (1990),XXXX,1 Pdb Vote
204,Patterson,Lord of the Flies (1990),ISFP,1 Pdb Vote
205,Roger,Lord of the Flies (1990),XXXX,1 Pdb Vote
206,Axe,Playing with Fire,XXXX,1 Pdb Vote
207,Selvaraj,Abraham Ozler (2024),ISTP,2 Pdb Votes
208,Amy,Lowlifes (2024),XXXX,1 Pdb Vote
209,Herman Tommeraas,World of Walker,XXXX,2 Pdb Votes
210,Kodumon Potti's cook,Bramayugam (2024),ISTP,2 Pdb Votes
211,Otomo,Outrage,ISTP,10 Pdb Votes
212,Ray,Deliver Us from Evil,XXXX,1 Pdb Vote
213,Kim In-nam,Deliver Us from Evil,XXXX,1 Pdb Vote
214,Peter Banat,Journey into Fear (1943),ISTP,11 Pdb Votes
215,Zoe Hughes (Young),The Devil You Know (2013),XXXX,1 Pdb Vote
216,Han Do-kyung,Asura: The City of Madness,ISTP,8 Pdb Votes
217,Kaulder (The Witch Hunter),The Last Witch Hunter (2015),ISTP,3 Pdb Votes
218,Buttercup,The Powerpuff Girls Movie (2002),ISTP,1 Pdb Vote
219,Azazello,The Master and Margarita (2024),ISTP,7 Pdb Votes
220,Steward,Poor Things,ISTP,2 Pdb Votes
221,Danny,Leave the World Behind,ISTP,56 Pdb Votes
222,Deva,K.G.F (Series),ISTP,13 Pdb Votes
223,Aline Ruby,Mars Express,ISTP,3 Pdb Votes
224,Little Debbie,Wreck-It Ralph (Franchise),XXXX,5 Pdb Votes
225,Kannan,Vada Chennai,ISTP,3 Pdb Votes
226,Joshua ,The Creator (2023),ISTP,32 Pdb Votes
227,Bertram,Barbie and the Three Musketeers (2009),ISTP,3 Pdb Votes
228,Ida,The Innocents (2021),ISTP,9 Pdb Votes
229,Yong-hoo,The Divine Fury (2019),ISTP,8 Pdb Votes
230,Eom Joong-ho,The Chaser(2008),ISTP,5 Pdb Votes
231,Jack Salter,Gran Turismo (2023),ISTP,58 Pdb Votes
232,Lechuga,Metegol (Underdogs),ISTP,3 Pdb Votes
233,Silenzio (Silence),The Great Silence (1968),XXXX,6 Pdb Votes
234,Ben Matthias,Haunted Mansion (2023),ISTP,54 Pdb Votes
235,Bimba,The Wages of Fear,ISTP,5 Pdb Votes
236,Sandra Carpenter ,Lured (1947),ISTP,12 Pdb Votes
237,Bliss,"Ruby Gillman, Teenage Kraken (2023)",ISTP,12 Pdb Votes
238,Гена Бобков «Пуля»,Demobbed/ДМБ,ISTP,7 Pdb Votes
239,Pavel,Nobody,ISTP,3 Pdb Votes
240,Ma Il-young,Coin Locker Girl (2015),ISTP,5 Pdb Votes
241,Nightbird,Transformers: Rise of the Beasts,ISTP,14 Pdb Votes
242,Erich Lohkamp,Three Comrades (1938),XXXX,2 Pdb Votes
243,"Michael ""Mi"" Taylor",National Velvet (1944),XXXX,1 Pdb Vote
244,Josette Martel,Journey into Fear (1943),ISTP,10 Pdb Votes
245,Lieutenant Frederic Henry,A Farewell to Arms (1932),ISTP,3 Pdb Votes
246,Şevkat Yerimdar,Şevkat Yerimdar,ISTP,9 Pdb Votes
247,The Mother,The Mother (2023),ISTP,32 Pdb Votes
248,Susie Bannion's mother,Suspiria (2018),ISTP,3 Pdb Votes
249,Bella,Dog (2022),XXXX,1 Pdb Vote
250,Bridget,Hereditary (2018),ISTP,25 Pdb Votes
251,Colin Smith,The loneliness of the long distance runner (film),ISTP,12 Pdb Votes
252,Afonya (Afanasy Borshchov),Afonya,ISTP,16 Pdb Votes
253,Dharma,777 Charlie (2022),ISTP,8 Pdb Votes
254,Tyler Gage,Step Up (2006),ISTP,21 Pdb Votes
255,Augustus Landor,The Pale Blue Eye (2022),ISTP,73 Pdb Votes
256,Joe Hallenbeck,The Last Boy Scout (1991),ISTP,26 Pdb Votes
257,Tracy Johnston,Grimcutty,XXXX,1 Pdb Vote
258,Raphael,TMNT (2007),ISTP,59 Pdb Votes
259,Robert Talley,Smile,ISTP,5 Pdb Votes
260,Katie,School of Rock (2003),ISTP,5 Pdb Votes
261,Ellie,The Whale (2022),ISTP,299 Pdb Votes
262,Alex Forbes,Like minds,ISTP,20 Pdb Votes
263,Abhilash Sharma,Aspirants [web series],ISTP,15 Pdb Votes
264,Frank,Pusher Trilogy,ISTP,22 Pdb Votes
265,Court Gentry / Sierra Six,The Gray Man,ISTP,188 Pdb Votes
266,Naru,Predator,ISTP,137 Pdb Votes
267,Jo Hyeon,The Witch: Part 2. The Other One,ISTP,26 Pdb Votes
268,Boogie El Aceitoso,Boogie El Aceitoso,ISTP,17 Pdb Votes
269,Skrill,How to Train Your Dragon (Franchise),ISTP,32 Pdb Votes
270,Caleb Holt,Fireproof (2008),ISTP,4 Pdb Votes
271,Champ,My True Friend (2012),ISTP,6 Pdb Votes
272,Tyrannosaurus rex,Walt Disney's Fantasia (1940),ISTP,4 Pdb Votes
273,Night Fury,How to Train Your Dragon (Franchise),ISTP,34 Pdb Votes
274,Jeremiah Johnson,Jeremiah Johnson,ISTP,5 Pdb Votes
275,Helene,Burnt,ISTP,8 Pdb Votes
276,Koso,The Raid 2: Berendal (2014),ISTP,11 Pdb Votes
277,Katniss Everdeen,Tales Of The Hunger Games (TOTHG),ISTP,19 Pdb Votes
278,Binky Nelson,Despicable Me (Franchise),ISTP,6 Pdb Votes
279,"""Fast"" Eddie Felson",The Hustler (1961),ISTP,18 Pdb Votes
280,Sonny Harper,Moonfall (2022),ISTP,16 Pdb Votes
281,Elia Codogno,Il bisbetico domato (The Taming of the Scoundrel),ISTP,10 Pdb Votes
282,Ilya,Heaven knows what,ISTP,12 Pdb Votes
283,Jang Chen,THE OUTLAWS (2017),XXXX,27 Pdb Votes
284,Jennifer,Climax (2018),ISTP,2 Pdb Votes
285,Royce,Predators (2010),ISTP,19 Pdb Votes
286,Stachu Jones,Magnaci i Czarodzieje,ISTP,39 Pdb Votes
287,Tommy Nix,Offender,ISTP,8 Pdb Votes
288,Maeve Rojas,One of us is Lying (Show),ISTP,108 Pdb Votes
289,Nick Persons,Are We There Yet?,ISTP,21 Pdb Votes
290,Ares Hidalgo,Through My Window (a través de mi ventana),ISTP,237 Pdb Votes
291,ashwathama,Mahabharat,XXXX,8 Pdb Votes
292,Jessica,Alone,ISTP,6 Pdb Votes
293,Molotov girl,Free Guy (2021),ISTP,106 Pdb Votes
294,Carl Bentley,Jumanji (1995),ISTP,14 Pdb Votes
295,Ruth Slater,The Unforgivable (2021),ISTP,60 Pdb Votes
296,Handy Smurf,The Smurfs (2011),ISTP,3 Pdb Votes
297,Sarah Connor,Terminator,ISTP,225 Pdb Votes
298,Ralph Sarchie,Deliver Us from Evil(2014),ISTP,26 Pdb Votes
299,Samantha Williams,Contracted (2013),XXXX,4 Pdb Votes
300,Frank,Cars (Franchise),ISTP,38 Pdb Votes
301,Catwoman,CATWOMAN: HAUNTED (2021),ISTP,20 Pdb Votes
302,Herman Howards,Hello Herman (2012),XXXX,23 Pdb Votes
303,Suzane von Richthofen (A Menina que Matou os Pais),O Menino que Matou Meus Pais / A Menina que Matou os Pais (2021),ISTP,80 Pdb Votes
304,Pindol,pipeline,ISTP,14 Pdb Votes
305,Gaye,Recep İvedik 4,ISTP,4 Pdb Votes
306,Chuck Norris,Sidekicks (1992),ISTP,7 Pdb Votes
307,Mr Choi,The Witch: Part 1. The Subversion,ISTP,12 Pdb Votes
308,Johnny Blaze (Ghost Rider),Ghost Rider (Film Series),ISTP,50 Pdb Votes
309,Cooke,Commando (1985),ISTP,5 Pdb Votes
310,Clay Calloway,Sing (Franchise),ISTP,150 Pdb Votes
311,Lord Have Mercy,Norbit (2007),ISTP,20 Pdb Votes
312,John Carter,John Carter (2012),ISTP,10 Pdb Votes
313,Kal,Hotel Transylvania (2012),ISTP,11 Pdb Votes
314,DeSoto,Oliver & Company (1988),ISTP,5 Pdb Votes
315,Chitti,Enthiran,ISTP,19 Pdb Votes
316,Django,Django (1966),ISTP,36 Pdb Votes
317,Big Floppa,Floppaverse,ISTP,49 Pdb Votes
318,Judas Iscariot,The Last Temptation of Christ (1988),ISTP,7 Pdb Votes
319,Dog,The Big Bad Fox and Other Tales... (2017),ISTP,9 Pdb Votes
320,Isla,The Discovery (2017),ISTP,10 Pdb Votes
321,Ed Crane,The Man Who Wasn't There,ISTP,22 Pdb Votes
322,Drover,Australia (2008),ISTP,6 Pdb Votes
323,Chuck,Dogville,ISTP,11 Pdb Votes
324,Skinner,Suburbia (1984),ISTP,3 Pdb Votes
325,Thomas Stall,A History of Violence,ISTP,28 Pdb Votes
326,Markus,Riders of Justice (Retfærdighedens ryttere),ISTP,25 Pdb Votes
327,Peter Falk,Wings of Desire,ISTP,4 Pdb Votes
328,Lyolik,The Diamond Arm (1969),ISTP,4 Pdb Votes
329,"Saraya ""Paige"" Bevis",Fighting with My Family (2019),ISTP,34 Pdb Votes
330,Sloane,Barbie in Rock 'N Royals (2015),ISTP,30 Pdb Votes
331,Garth Volbeck,Ferris Bueller's Day Off (1986),ISTP,102 Pdb Votes
332,Casper,Kids (1995),ISTP,9 Pdb Votes
333,Nica Pierce,Chucky,ISTP,36 Pdb Votes
334,Jakob Toretto,The Fast and the Furious (Film Franchise),ISTP,36 Pdb Votes
335,Duncan Vizla,Polar,ISTP,68 Pdb Votes
336,Corky,Bound (1996),ISTP,160 Pdb Votes
337,Lafayette,The Aristocats (1970),ISTP,21 Pdb Votes
338,Raizo,Ninja Assassin,ISTP,28 Pdb Votes
339,Preston,Wallace and Gromit,ISTP,13 Pdb Votes
340,Doon Harrow,City Of Ember,ISTP,15 Pdb Votes
341,Lai Yiu-Fai,Happy Together,ISTP,112 Pdb Votes
342,Lunga,Bacurau (2019),ISTP,28 Pdb Votes
343,Pacote,Bacurau (2019),ISTP,19 Pdb Votes
344,Crystal Creasey,The Hunt (2020),ISTP,97 Pdb Votes
345,Erin Harson,You're Next,ISTP,91 Pdb Votes
346,Det. Lt. Frank Bullitt,Bullitt (1968),ISTP,5 Pdb Votes
347,Chloe Sherman,Run (2020),ISTP,170 Pdb Votes
348,Josh,Megan Is Missing (2011),ISTP,35 Pdb Votes
349,Blissfield Butcher,Freaky (2020),ISTP,22 Pdb Votes
350,Itsuki Fujii (male),Love Letter (1995),ISTP,35 Pdb Votes
351,John,American Graffiti (1973),ISTP,15 Pdb Votes
352,Wong Chi-ming,Fallen Angels (Do Lok Tin Si) (1995),ISTP,290 Pdb Votes
353,Luke,The Ritual,ISTP,34 Pdb Votes
354,Michael,Mean Streets (1973),ISTP,16 Pdb Votes
355,Clyde Barrow,Bonnie and Clyde (1967),ISTP,29 Pdb Votes
356,Rui Antonio Shinozaki,Kimi no Me ga Toikakete Iru (Your Eyes Tell),ISTP,43 Pdb Votes
357,Jeong-seok,Peninsula (2020),ISTP,41 Pdb Votes
358,Joan Jett,The Runaways (2010),ISTP,41 Pdb Votes
359,Skull Crawlers,Kong: Skull Island (2017),ISTP,16 Pdb Votes
360,David Van Patten,American Psycho (2000),ISTP,43 Pdb Votes
361,Nick Jones,House of Wax (2005),ISTP,79 Pdb Votes
362,Ossi,Isi and Ossi,ISTP,29 Pdb Votes
363,The Creeper,Jeepers Creepers,ISTP,87 Pdb Votes
364,Frankie Carbone,Goodfellas (1990),ISTP,32 Pdb Votes
365,Patty,She's Out of My League,XXXX,4 Pdb Votes
366,Tyler,The Peanut Butter Falcon (2019),ISTP,26 Pdb Votes
367,Dallas,Below her mouth,ISTP,69 Pdb Votes
368,The Skull,Scarface (1983),ISTP,26 Pdb Votes
369,Dawson Cole,The Best of Me (2014),ISTP,20 Pdb Votes
370,Jake Green,Revolver (2005),ISTP,15 Pdb Votes
371,Aquata,The Little Mermaid (1989),ISTP,38 Pdb Votes
372,Donald,Pitch Perfect (Series),ISTP,18 Pdb Votes
373,Vincent,Over The Hedge (2006),ISTP,68 Pdb Votes
374,Dwayne LaFontant,Over The Hedge (2006),ISTP,41 Pdb Votes
375,Mia Allen,Evil Dead Series,ISTP,69 Pdb Votes
376,Mor'du,Brave (2012),ISTP,50 Pdb Votes
377,Dwight McCarthy,Sin City (franchise),ISTP,24 Pdb Votes
378,Xiao Bei,Better Days (2019),ISTP,123 Pdb Votes
379,Tyler Rake,Extraction (2020),ISTP,156 Pdb Votes
380,Pepita,Coco (2017),ISTP,27 Pdb Votes
381,Gabriel,Blood and Chocolate (2007),ISTP,16 Pdb Votes
382,Lara Croft (Jolie),Lara Croft: Tomb Raider (2001),ISTP,111 Pdb Votes
383,Snot-Rod,Cars (Franchise),ISTP,11 Pdb Votes
384,Aaron Cross,Jason Bourne,ISTP,16 Pdb Votes
385,Miharu,The Platform / El Hoyo (2020),ISTP,76 Pdb Votes
386,Jill McBain,Once Upon a Time in the West (1968),ISTP,30 Pdb Votes
387,Harmonica,Once Upon a Time in the West (1968),ISTP,58 Pdb Votes
388,Chris Redfield,Resident Evil,ISTP,22 Pdb Votes
