,char,movie,mbti,votes
103,Ginger McKenna,Casino (1995),ESFP,130 Pdb Votes
104,Dave Skylark,The Interview (2014),ESFP,141 Pdb Votes
105,Manny Ribera,Scarface (1983),ESFP,244 Pdb Votes
106,Freddie Mercury,Bohemian Rhapsody (2018),ESFP,194 Pdb Votes
107,Kiara,The Lion King (Franchise),ESFP,274 Pdb Votes
108,Dru Gru,Despicable Me (Franchise),ESFP,203 Pdb Votes
109,David Mills,Se7en (1995),ESFP,643 Pdb Votes
110,Miguel Rivera,Coco (2017),ESFP,795 Pdb Votes
111,Paul Blart,Paul Blart: Mall Cop (2009),ESFP,79 Pdb Votes
112,Driss,Intouchables (2011),ESFP,233 Pdb Votes
113,Tigger,Winnie the Pooh (Franchise),ESFP,397 Pdb Votes
114,Gilderoy Lockhart,Harry Potter / Wizarding World Films,ESFP,667 Pdb Votes
115,Chewbacca,Star Wars,ESFP,514 Pdb Votes
116,Caesar Flickerman,The Hunger Games (Franchise),ESFP,287 Pdb Votes
117,Gobber the Belch,How to Train Your Dragon (Franchise),ESFP,159 Pdb Votes
118,"Peregrin ""Pippin"" Took",The Lord of the Rings (Film Trilogy),ESFP,455 Pdb Votes
119,Mrs. Barham,The Americanization of Emily (1964),ESFP,2 Pdb Votes
120,Prince Of Charming,Jack and the Beanstalk (2009),ESFP,2 Pdb Votes
121,Ben Brandt,Road House (2024),XXXX,31 Pdb Votes
122,Shishakli,Dune: Part Two (2024),ESFP,17 Pdb Votes
123,Anita,Piep*zyć Mickiewicza,XXXX,6 Pdb Votes
124,Winnie,Miller’s Girl (2024),ESFP,27 Pdb Votes
125,Марат,Слово пацана. Кровь на асфальте / Slovo patsana,ESFP,245 Pdb Votes
126,Cal Weathers,Cars (Franchise),ESFP,25 Pdb Votes
127,棠宁,"血观音 The Bold, The Corrupt, and The Beautiful",ESFP,15 Pdb Votes
128,Thumper,A Bug's Life (1998),ESFP,10 Pdb Votes
129,Khem,Man Suang (2023),ESFP,4 Pdb Votes
130, Robert Fleming,Lured (1947),ESFP,11 Pdb Votes
131,Stella Dallas,Stella Dallas (1937),ESFP,3 Pdb Votes
132,Nellie LaRoy,Babylon,ESFP,255 Pdb Votes
133,Jean Jacket,Nope (2022),XXXX,65 Pdb Votes
134,Chang Yi Soo,The Roundup (2022),ESFP,23 Pdb Votes
135,Dick Stensland,L.A. Confidential (1997),XXXX,18 Pdb Votes
136,Walter Nelson Jr.,Despicable Me (Franchise),ESFP,11 Pdb Votes
137,Shannon,Despicable Me (Franchise),ESFP,70 Pdb Votes
138,Emerald “Em” Haywood,Nope (2022),ESFP,263 Pdb Votes
139,Coretta Scott King,Selma (2014),ESFP,4 Pdb Votes
140,Sprout Cloverleaf,My Little Pony: A New Generation (2021),ESFP,182 Pdb Votes
141,Lucille Bolton,High School Musical (Film Trilogy),XXXX,4 Pdb Votes
142,Odie,Garfield: The Movie,XXXX,17 Pdb Votes
143,Raquelle,Barbie: A Fairy Secret,ESFP,140 Pdb Votes
144,Gennadiy Kozodoyev,The Diamond Arm (1969),ESFP,14 Pdb Votes
145,Jamis,Dune (2021),ESFP,30 Pdb Votes
146,Rayna,Barbie in Rock 'N Royals (2015),ESFP,15 Pdb Votes
147,Odysseus,Mr. Peabody & Sherman (2014),XXXX,3 Pdb Votes
148,Lilya,Lilya 4-ever (2002),ESFP,103 Pdb Votes
149,Marina Del Rey,The Little Mermaid (1989),ESFP,52 Pdb Votes
150,Young-sook,The Call (2020),ESFP,190 Pdb Votes
151,Michelangelo,Teenage Mutant Ninja Turtles (1990 - 1993),XXXX,27 Pdb Votes
152,Dexter Mayhew,One Day (2011),ESFP,84 Pdb Votes
153,Melvin Spivey,Dazed and Confused (1993),ESFP,15 Pdb Votes
154,Kitty,Waterloo Bridge,XXXX,3 Pdb Votes
155,Phil Ryerson,Daddy Day Care (2003),XXXX,24 Pdb Votes
156,Snouts,Barbie in A Mermaid Tale,ESFP,9 Pdb Votes
157,Winnie Werewolf,Hotel Transylvania (2012),ESFP,39 Pdb Votes
158,Bennett,Commando (1985),ESFP,22 Pdb Votes
159,Hot Rod,Transformers (Bayverse),ESFP,36 Pdb Votes
160,Julian,Ice Age (Franchise),ESFP,73 Pdb Votes
161,Brady,Teen Beach Movie,ESFP,295 Pdb Votes
162,“Baby” Brent McHale,Cloudy with a Chance of Meatballs (2009),ESFP,125 Pdb Votes
163,Charles Davis “Scorpio”,Dirty Harry,XXXX,63 Pdb Votes
164,"Professor Sheldon ""Shelly"" Oberon",Jumanji (Reboot),ESFP,60 Pdb Votes
165,Jenna Walton,Lady Bird (2017),ESFP,106 Pdb Votes
166,Mike,The Blair Witch Project (1999),ESFP,33 Pdb Votes
167,Cruella De Vil,One Hundred and One Dalmatians (1961),ESFP,395 Pdb Votes
168,Hal Larson,Shallow Hal (2001),ESFP,27 Pdb Votes
169,Madison,Zombieland (Franchise),ESFP,134 Pdb Votes
170,Blair,Barbie In The 12 Dancing Princesses (2006),ESFP,51 Pdb Votes
171,Scrat,Ice Age (Franchise),ESFP,289 Pdb Votes
172,Anna Coleman,Freaky Friday (2003),ESFP,322 Pdb Votes
173,James Carter,Rush Hour (Franchise),ESFP,172 Pdb Votes
174,Daisy Buchanan,The Great Gatsby (2013),ESFP,290 Pdb Votes
175,Prince Edward,Enchanted (2007),ESFP,145 Pdb Votes
176,Donna Sheridan,Mamma Mia! (2008),ESFP,308 Pdb Votes
177,Cruella de Vil,101 Dalmatians (1996),ESFP,147 Pdb Votes
178,Envy Adams,Scott Pilgrim vs. the World (2010),ESFP,331 Pdb Votes
179,Dickie Greenleaf,The Talented Mr. Ripley (1999),ESFP,177 Pdb Votes
180,Jenko,21 Jump Street (2012),ESFP,130 Pdb Votes
181,Tina Carlyle,The Mask (1994),ESFP,82 Pdb Votes
182,Crush,Finding Nemo (Franchise),ESFP,217 Pdb Votes
183,Lucy Westenra,Bram Stoker's Dracula (1992),ESFP,49 Pdb Votes
184,Alma Elson,Phantom Thread (2017),ESFP,106 Pdb Votes
185,Dionne Davenport,Clueless (1995),ESFP,330 Pdb Votes
186,Sneezy,Snow White and the Seven Dwarfs (1937),ESFP,73 Pdb Votes
187,Daniel LaRusso,The Karate Kid (Franchise),ESFP,1k Pdb Votes
188,Paul Allen,American Psycho (2000),ESFP,360 Pdb Votes
189,Marlon,The Truman Show (1998),ESFP,92 Pdb Votes
190,Lydia Bennet,Pride and Prejudice (2005),ESFP,201 Pdb Votes
191,Dug,Up (2009),ESFP,258 Pdb Votes
192,Roman Pearce,The Fast and the Furious (Film Franchise),ESFP,140 Pdb Votes
193,Mowgli,The Jungle Book (1967),ESFP,141 Pdb Votes
194,James Hunt,Rush (2013),ESFP,83 Pdb Votes
195,Sheila,The Americanization of Emily (1964),XXXX,1 Pdb Vote
196,Mary,All the Colors of the Dark (1972),XXXX,1 Pdb Vote
197,Iggy Starr,The Fall Guy (2024),ESFP,2 Pdb Votes
198,Elliott,Impulse (2008),ESFP,1 Pdb Vote
199,Henry Gates,Clockstoppers (2002),XXXX,1 Pdb Vote
200,Richard Strout,In the Bedroom (2001),XXXX,1 Pdb Vote
201,Sita,Monkey Man (2024),ESFP,2 Pdb Votes
202,Takashi,Perfect Days (2023),XXXX,1 Pdb Vote
203,Carol Cutrere,The Fugitive Kind (1960),ESFP,9 Pdb Votes
204,Flamingos (Contestant),Sing (Franchise),XXXX,1 Pdb Vote
205,Alexis,Ojitos de huevo,XXXX,1 Pdb Vote
206,Helga,Swordfish (2001),XXXX,1 Pdb Vote
207,Jean,Separate Tables (1958),XXXX,1 Pdb Vote
208,Jeremy,Smilin' Through (1932),XXXX,1 Pdb Vote
209,Boy,Horror,ESFP,5 Pdb Votes
210,Professor Barson,On Moonlight Bay (series),ESFP,5 Pdb Votes
211,Jazmin,Phat Girlz (2006),ESFP,8 Pdb Votes
212,Eric,Lord of the Flies (1990),XXXX,1 Pdb Vote
213,Sam,Lord of the Flies (1990),XXXX,1 Pdb Vote
214,Summer,Hot Air (2016),XXXX,1 Pdb Vote
215,Marisa Tavares,Ripper (2001),XXXX,1 Pdb Vote
216,Will,Playing with Fire,XXXX,1 Pdb Vote
217,Wolfe Lissner,The Villain (1971),ESFP,6 Pdb Votes
218,Ambaan,Aavesham (2024),ESFP,2 Pdb Votes
219,Michael Winsor,Riverhead (2016),ESFP,10 Pdb Votes
220,Wyatt ,The Timber (2015),ESFP,2 Pdb Votes
221,Frankie McGregor,Gunshy (1998),XXXX,1 Pdb Vote
222,"Rohan ""Mickey"" Arora",Tu Jhooti Mai Makaar,ESFP,2 Pdb Votes
223,Sophie,Get Married (Franchise),ESFP,2 Pdb Votes
224,Eman,Get Married (Franchise),XXXX,1 Pdb Vote
225,Rosalie Deluc,Rosalie (2023),ESFP,2 Pdb Votes
226,Marite,Chance (2009),ESFP,1 Pdb Vote
227,Darnell,The Princess and the Frog (2009),XXXX,1 Pdb Vote
228,Mia,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFP,12 Pdb Votes
229,J.J.,Love Lies Bleeding (2024),ESFP,9 Pdb Votes
230,General Aleksandr Kodoroff,The Peacemaker (1997),XXXX,1 Pdb Vote
231,Victoria,Victoria (2015),ESFP,2 Pdb Votes
232,Sonia Solandres,The Pink Panther (film series),XXXX,2 Pdb Votes
233,Yerzy Penalosa,Supernova (2000),XXXX,1 Pdb Vote
234,Megan,A Haunted House (2013),ESFJ,3 Pdb Votes
235,Mrs. George,Mean Girls (2024),ESFP,11 Pdb Votes
236,Pete,Anyone but You,ESFP,11 Pdb Votes
237,"Jaime ""Jimi"" Yazurlo",Cuando Acecha la Maldad/When Evil Lurks,XXXX,1 Pdb Vote
238,Gaspar,Journey to Bethlehem (2023),XXXX,2 Pdb Votes
239,Алекс,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
240,Lisbon Restaurant Musician,Poor Things,ESFP,2 Pdb Votes
241,Jamie,Drive-Away Dolls,ESFP,8 Pdb Votes
242,Clay Sandford,Leave the World Behind,ESFP,48 Pdb Votes
243,Bill Walker,Family Switch,ESFP,52 Pdb Votes
244,Pyro,Wreck-It Ralph (Franchise),ESFP,2 Pdb Votes
245,Chase McKinney,Now You See Me (Franchise),ESFP,9 Pdb Votes
246,Scott Voss ,Here Comes the Boom,ESFP,4 Pdb Votes
247,Teddy Craft,Tusk,ESFP,2 Pdb Votes
248,Zach MacLaren,The Other Zoey (2023),ESFP,23 Pdb Votes
249,ceylan,İkimizin Yerine,ESFP,2 Pdb Votes
250,Ben,The Innocents (2021),ESFP,9 Pdb Votes
251,Sis Rabbit,Robin Hood (1973),ESFP,15 Pdb Votes
252,Roland Bishop,Juice,ESFP,33 Pdb Votes
253,Leonora,La Leyenda de la Nahuala,XXXX,1 Pdb Vote
254,Fishtail,Cars (Franchise),XXXX,1 Pdb Vote
255,Harriett,Haunted Mansion (2023),ESFP,28 Pdb Votes
256,Nadya (Надежда),Love and Pigeons (Любовь и голуби),XXXX,7 Pdb Votes
257,Big Fun,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
258,Pola,The Pebble and the Penguin (1995),ESFP,10 Pdb Votes
259,Jacey Holt,Inventing the Abbotts (1997),ESFP,7 Pdb Votes
260,Manana’s grandmother,Vacations of Petrov and Vasechkin (1984),XXXX,1 Pdb Vote
261,Olya Bobkina,Vacations of Petrov and Vasechkin (1984),XXXX,1 Pdb Vote
262,Simba ( Young),The Lion King (Franchise),ESFP,16 Pdb Votes
263,Charly,31,ESFP,8 Pdb Votes
264,Franklin Fausti,57 Seconds,XXXX,4 Pdb Votes
265,Pepi,"Pepi, Luci, Bom y otras chicas del montón (1980)",ESFP,10 Pdb Votes
266,Form VII - Juyo and Vaapad (Lightsaber Forms),Star Wars,ESFP,14 Pdb Votes
267, Kathleen,Smilin' Through (1932),ESFP,2 Pdb Votes
268,"Katherine ""Sugarpuss"" O'Shea",Ball of Fire (1941),ESFP,2 Pdb Votes
269,Lucy McCormick,Horror,ESFP,11 Pdb Votes
270,Elise Eliot,The First Wives Club (1996),ESFP,18 Pdb Votes
271,Limbocu Dayı,Recep İvedik 4,XXXX,1 Pdb Vote
272,Stache,Cocaine Bear (2023),XXXX,14 Pdb Votes
273,Chelsea Roberts,Barbie & Her Sisters in a Pony Tale (2013),ESFP,4 Pdb Votes
274,Angela Fielding,The Exorcist: Believer (2023),ESFP,5 Pdb Votes
275,Toni,Beau is Afraid,ESFP,20 Pdb Votes
276,Nicola,Superbad (2007),ESFP,18 Pdb Votes
277,Marlin,All the Boys Love Mandy Lane,ESTP,1 Pdb Vote
278,Chloe,All the Boys Love Mandy Lane,XXXX,1 Pdb Vote
279,Takeshi Goda (Gian),Stand By Me Doraemon 2 (2020),ESFP,15 Pdb Votes
280,Chubby,Killer Klowns from Outer Space (1988),ESFP,4 Pdb Votes
281,Charlie,777 Charlie (2022),ESFP,3 Pdb Votes
282,Cell,Minecraft: FUGA IMPOSSÍVEL - O FILME,ESFP,39 Pdb Votes
283,The Imaginary Boyfriend,Inside Out (Franchise),ESFP,55 Pdb Votes
284,Valentin,No se aceptan devoluciones (2013),ESFP,11 Pdb Votes
285,Holly,Smile,ESFP,17 Pdb Votes
286,Rozzie Featherschneid,"Hey, Good Lookin' (1982)",ESFP,24 Pdb Votes
287,Hunter,Fall (2022),ESFP,163 Pdb Votes
288,Ashley Albright ,Just My Luck (2006),ESFP,14 Pdb Votes
289,The princess,The Princess (2022),ESFP,10 Pdb Votes
290,Guri,Aspirants [web series],ESFP,2 Pdb Votes
291,George Noon,Cannibal! The Musical,XXXX,4 Pdb Votes
292,The Wolf,Bullet Train,ESFP,132 Pdb Votes
293,Avni Sharma,Veere Di Wedding,XXXX,1 Pdb Vote
294,Kalindi Puri,Veere Di Wedding,ESFP,1 Pdb Vote
295,Reva (Third Sister),Star Wars,ESFP,269 Pdb Votes
296,Tod,My True Friend (2012),ESFP,15 Pdb Votes
297,Elvis Presley,Elvis (2022),ESFP,155 Pdb Votes
298,Tricia,"My Teacher, My Obsession",ESFP,5 Pdb Votes
299,Fujio Hanaoka,High & Low The Worst X (Cross),ESFP,11 Pdb Votes
300,Bacchus,Walt Disney's Fantasia (1940),ESFP,3 Pdb Votes
301,Ross Hoss,Scream (Franchise),ESFP,11 Pdb Votes
302,Pierrette,8 femmes,ESFP,14 Pdb Votes
303,Alan,The Lost City (2022),ESFP,94 Pdb Votes
304,Sophie,Bodies Bodies Bodies,ESFP,189 Pdb Votes
305,Stacy Frick,Turning Red (2022),ESFP,35 Pdb Votes
306,Delilah Milford,Tart (2001),ESFP,3 Pdb Votes
307,Erena Kato ( 加藤 えれな),Shitsuren Chocolatier ( 失恋ショコラティエ ),ESFP,3 Pdb Votes
308,Giulia,L'apetta Giulia e la Signora Vita (2003),ESFP,10 Pdb Votes
309,Maggie Feller,In Her Shoes (2005),ESFP,11 Pdb Votes
310,Pinocchio,Pinocchio: A True Story (2022),ESFP,67 Pdb Votes
311,Pernilla Sjöholm,The Tinder Swindler,ESFP,31 Pdb Votes
312,Suzan Özsoy,The Butterfly's Dream,ESFP,4 Pdb Votes
313,Mike,Heaven knows what,ESFP,7 Pdb Votes
314,Dani,Through My Window (a través de mi ventana),ESFP,85 Pdb Votes
315,Ángela Vidal,Rec,ESFP,48 Pdb Votes
316,Jaguar Paw,Apocalypto (2006),ESFP,21 Pdb Votes
317,Nooshy,Sing (Franchise),ESFP,162 Pdb Votes
318,Blake,The Unforgivable (2021),ESFP,19 Pdb Votes
319,Porsha Crystal,Sing (Franchise),ESFP,187 Pdb Votes
320,Blanche,Drive (2011),ESFP,30 Pdb Votes
321,Abby Park,Turning Red (2022),ESFP,754 Pdb Votes
322,Gamma Jack,The Incredibles (Franchise),ESFP,15 Pdb Votes
323,Clyde (Scarecrow),The Wiz (1978),ESFP,38 Pdb Votes
324,Court Foster,The Man in the Moon (1991),ESFP,7 Pdb Votes
325,Dani Trant,The Man in the Moon (1991),ESFP,10 Pdb Votes
326,Shorty,Malcolm X (1992),XXXX,1 Pdb Vote
327,Gerry Conlon,In the Name of the Father (1993),ESFP,18 Pdb Votes
328,Adam Whitely / Felicia Jollygoodfellow,The Adventures of Priscilla: Queen of the Desert,ESFP,8 Pdb Votes
329,Trelawney,Treasure Island (1988),ESFP,49 Pdb Votes
330,Recep İvedik,Recep İvedik 4,ESFP,13 Pdb Votes
331,George Valentin,The Artist (2011),ESFP,16 Pdb Votes
332,Gabato Laguatan,Journey to the Center of the Earth / Journey 2: The Mysterious Island,ESFP,20 Pdb Votes
333,Cassie,Afterlife of the party,ESFP,62 Pdb Votes
334,Boss Skua,Happy Feet (2006-2011),ESFP,2 Pdb Votes
335,Diana,Identity Thief,ESFP,16 Pdb Votes
336,Karen Weston,August: Osage County (2013),ESFP,11 Pdb Votes
337,Rayane,Titane (2021),ESFJ,2 Pdb Votes
338,Officer Patrick O'Hara,Arsenic and Old Lace,ESFP,4 Pdb Votes
339,Elaine Harper-Brewster,Arsenic and Old Lace,ESFP,16 Pdb Votes
340,Cindy,Commando (1985),ESFP,5 Pdb Votes
341,Violet,Watching the Detectives (2007),ESFP,73 Pdb Votes
342,Uğur,Masumiyet,XXXX,6 Pdb Votes
343,Scooby Doo,SCOOB!,ESFP,14 Pdb Votes
344,Isaiah,The Strange Thing About The Johnsons (2011),ESFP,25 Pdb Votes
345,Otto Pilot,Airplane! (1980),ESFP,14 Pdb Votes
346,Alice,Fear Street (Franchise),ESFP,210 Pdb Votes
347,Sammy,The Wedding Singer (1998),ESFP,11 Pdb Votes
348,Ciccio,Luca (2021),ESFP,26 Pdb Votes
349,Georges Hautecourt,The Aristocats (1970),ESFP,8 Pdb Votes
350,Maria 'Cabiria' Ceccarelli,Nights of Cabiria (1957),ESFP,24 Pdb Votes
351,Small Goon,Wish Dragon (2021),ESFP,18 Pdb Votes
352,Lilja,Lilja 4-ever (2002),ESFP,28 Pdb Votes
353,Zac,Voyagers,ESFP,22 Pdb Votes
354,Emmenthaler,Riders of Justice (Retfærdighedens ryttere),ESFP,14 Pdb Votes
355,Bubbles,The Happytime Murders,XXXX,1 Pdb Vote
356,Dude,Free Guy (2021),ESFP,65 Pdb Votes
357,Miss Colleen Hannigan,Annie (2014),ESFP,72 Pdb Votes
358,Nevaeh Barnes,How to Build a Better Boy (2014),ESFP,20 Pdb Votes
359,Paula (Chiron's Mom),Moonlight (2016),ESFP,26 Pdb Votes
360,Josh Detmer,Freaky (2020),ESFP,26 Pdb Votes
361,Zia,Barbie in Rock 'N Royals (2015),ESFP,19 Pdb Votes
362,Randy,Airplane! (1980),XXXX,5 Pdb Votes
363,Maria Bennett,Honey 2,ENTJ,1 Pdb Vote
364,Glenda,Hick (2011),ESFP,19 Pdb Votes
365,Teacher Inn,First Love / Crazy Little Thing Called Love (2010),ESFP,2 Pdb Votes
366,Sarousch,The Hunchback of Notre Dame (1996),ESFP,23 Pdb Votes
367,Victor,Letters to Juliet,ESFP,26 Pdb Votes
368,Ali Rose,Burlesque (2010),ESFP,96 Pdb Votes
369,"Vanita ""Stretch"" Brock",The Texas Chainsaw Massacre (Franchise),ESFP,68 Pdb Votes
370,Tonny,Pusher Trilogy,ESFP,43 Pdb Votes
371,Thalia the Muse of Comedy,Hercules (franchise),ESFP,18 Pdb Votes
372,Carlotta (Gangster Dame),Home Alone,ESFP,22 Pdb Votes
373,Ben Woodward,Sleeping with the Enemy,ESFP,17 Pdb Votes
374,Ichigo Shirayuri,Kamikaze Girls (2004),ESFP,112 Pdb Votes
375,Aaron,Bring It On (franchise),ESFP,5 Pdb Votes
376,Guapo,Ferdinand (Olé el Viaje de Ferdinand),ESFP,17 Pdb Votes
377,Jubileena Bing-Bing,Wreck-It Ralph (Franchise),ESFP,11 Pdb Votes
378,Holly Sullivan,The Wedding Singer (1998),ESFP,9 Pdb Votes
379,Michael Cera,This Is the End (2013),ESFP,12 Pdb Votes
380,Nami Endo,The World Of Kanako (2014),ESFP,14 Pdb Votes
381,Fuller McCallister,Home Alone,ESFP,32 Pdb Votes
382,Sgt gengo hara,"Merry Christmas, Mr. Lawrence",ESFP,11 Pdb Votes
383,Diamond,Hustlers (2019),ESFP,14 Pdb Votes
