,char,movie,mbti,votes
67,"Fátima ""Fati"" Ferri",Señora Influencer (2023),ESFJ,17 Pdb Votes
68,No Jeong-yeol,Love Reset (2023),XXXX,5 Pdb Votes
69,Светлана Михайловна,Слово пацана. Кровь на асфальте / Slovo patsana,ESFJ,58 Pdb Votes
70,Gretchen Wieners,Mean Girls (2024),ESFJ,156 Pdb Votes
71,Mrs. Grace Holly,Suddenly Last Summer (1959),ESFJ,2 Pdb Votes
72,Pinocchio,Pinocchio (2022),ESFJ,47 Pdb Votes
73,Tyler Ledford,The Menu,ESFJ,599 Pdb Votes
74,Lena Bessoltseva / Лена Бессольцева,Scarecrow (Чучело),ESFJ,29 Pdb Votes
75,Aika Matsumoto,One Cut of the Dead,ESFJ,6 Pdb Votes
76,Mariano Guzmán,Encanto (2021),ESFJ,252 Pdb Votes
77,Félix Madrigal,Encanto (2021),ESFJ,660 Pdb Votes
78,Angeline,Dear Dumb Diary,ESFJ,7 Pdb Votes
79,So-Mi Jeong,The Man from Nowhere (2010),XXXX,8 Pdb Votes
80,Raoul de Chagny,Phantom of The Opera: At The Royal Albert Hall,ESFJ,26 Pdb Votes
81,Jane Nichols,27 Dresses (2008),ESFJ,117 Pdb Votes
82,Christopher Wilde,Starstruck (2010),ESFJ,89 Pdb Votes
83,Shelley Darlington,The House Bunny (2008),ESFJ,167 Pdb Votes
84,Frankenstein,Hotel Transylvania (2012),ESFJ,58 Pdb Votes
85,Harriet,The Maze Runner (Film Trilogy),ESFJ,34 Pdb Votes
86,Randy Carpenter,I Am Sam (2001),XXXX,5 Pdb Votes
87,Sam Dawson,I Am Sam (2001),ESFJ,24 Pdb Votes
88,Lela,Teen Beach Movie,ESFJ,94 Pdb Votes
89,Goldie,Sin City (franchise),ESFJ,15 Pdb Votes
90,Matilda,The Angry Birds Movie (2016),ESFJ,79 Pdb Votes
91,Lorraine Baker,Cheaper by the Dozen (Franchise),ESFJ,47 Pdb Votes
92,Rowley Jefferson,Diary of a Wimpy Kid (Series),ESFJ,446 Pdb Votes
93,Hera,Hercules (franchise),ESFJ,32 Pdb Votes
94,Lisa Reisert,Red Eye (2005),ESFJ,88 Pdb Votes
95,Leo Beebe,Ford v Ferrari / Le Mans '66 (2019),ESFJ,22 Pdb Votes
96,Lou,Over The Hedge (2006),ESFJ,20 Pdb Votes
97,Park Yeon-gyo,Parasite (2019),ESFJ,590 Pdb Votes
98,Robert ‘Bob’ Paulson,Fight Club (1999),ESFJ,248 Pdb Votes
99,Barbra,Night of the Living Dead (1968),ESFJ,38 Pdb Votes
100,Mrs. Nellie Lovett,Sweeney Todd: The Demon Barber of Fleet Street (2007),ESFJ,215 Pdb Votes
101,Kate McCallister,Home Alone,ESFJ,160 Pdb Votes
102,Vanessa Bloome,Bee Movie (2007),ESFJ,115 Pdb Votes
103,Cousin Avi,Snatch (2000),ESFJ,37 Pdb Votes
104,Therese Lisbon,The Virgin Suicides (2000),ESFJ,97 Pdb Votes
105,Sam Sparks,Cloudy with a Chance of Meatballs (2009),ESFJ,335 Pdb Votes
106,Buddy,Elf (2003),ESFJ,572 Pdb Votes
107,Chris Mannix,The Hateful Eight (2015),ESFJ,72 Pdb Votes
108,Sara Goldfarb,Requiem for a Dream (2000),ESFJ,312 Pdb Votes
109,Tammy,Ocean's 8 (2018),ESFJ,76 Pdb Votes
110,Lavender Brown,Harry Potter / Wizarding World Films,ESFJ,341 Pdb Votes
111,Bethany Walker,Jumanji (Reboot),ESFJ,178 Pdb Votes
112,Margaret White,Carrie (1976),ESFJ,176 Pdb Votes
113,Chris MacNeil,The Exorcist (1973),ESFJ,39 Pdb Votes
114,Mrs. Bennet,Pride and Prejudice (2005),ESFJ,215 Pdb Votes
115,Petunia Dursley,Harry Potter / Wizarding World Films,ESFJ,257 Pdb Votes
116,Jacob Kowalski,Fantastic Beasts,ESFJ,323 Pdb Votes
117,Heather McNamara,Heathers (1989),ESFJ,669 Pdb Votes
118,Leodore Lionheart,Zootopia (2016),ESFJ,195 Pdb Votes
119,Juror #10,12 Angry Men (1957),ESFJ,208 Pdb Votes
120,Nani Pelekai,Lilo & Stitch (Franchise),ESFJ,422 Pdb Votes
121,Tank,The Matrix Trilogy,ESFJ,88 Pdb Votes
122,Claire Dennison,Impulse (2008),ESFJ,1 Pdb Vote
123,Jenny Gibbs,Clockstoppers (2002),XXXX,1 Pdb Vote
124,Francesca,Clockstoppers (2002),XXXX,1 Pdb Vote
125,Natalie Strout,In the Bedroom (2001),XXXX,1 Pdb Vote
126,Rachel Carruthers (Halloween 4),Halloween (1978),ISFJ,2 Pdb Votes
127,Vinnie,The Odd Couple (1968),XXXX,1 Pdb Vote
128,Caroline Newcliffe,The Beast Must Die (1974),ESFJ,10 Pdb Votes
129,Martha Heyer,Martha(1974),ESFJ,4 Pdb Votes
130,Dave Moon,Sing (Franchise),XXXX,1 Pdb Vote
131,Azul,Ojitos de huevo,XXXX,1 Pdb Vote
132,Gladys Matheson,Separate Tables (1958),XXXX,1 Pdb Vote
133,Kotoko,Revolver Lily,ESFJ,10 Pdb Votes
134,Emily Reynolds,Enemy of the state,XXXX,1 Pdb Vote
135,Rick Huxley,Having A Wild Weekend ( 1965),ESFJ,10 Pdb Votes
136,Molly Keller,Ripper (2001),XXXX,1 Pdb Vote
137,Beni,Get Married (Franchise),XXXX,1 Pdb Vote
138,Bloofy,Inside Out (Franchise),ENFP,4 Pdb Votes
139,Ura Tsukasa,Saiko! The Large Family (2009),XXXX,1 Pdb Vote
140,Zebra,Earth - Lil Dicky,INFJ,1 Pdb Vote
141,Amy Stanton,The Killer Inside Me (2010),ESFJ,3 Pdb Votes
142,Irma La Douce,Irma La Douce,ESFJ,7 Pdb Votes
143,Descendants 3 - One Kiss,Descendants (Franchise),ESFJ,3 Pdb Votes
144,Danika Lund,Supernova (2000),XXXX,1 Pdb Vote
145,Shen's mother,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
146,Tara,How to Have Sex (2023),ESFJ,10 Pdb Votes
147,Мать Жанны,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
148,Ae Rim,Citizen of a Kind (2024),XXXX,1 Pdb Vote
149,Jess Walker,Family Switch,ESFJ,77 Pdb Votes
150,Eboy,Wreck-It Ralph (Franchise),ESFJ,4 Pdb Votes
151,Butcher Boy,Wreck-It Ralph (Franchise),ESFJ,3 Pdb Votes
152,Ms. Meyer,Up (2009),XXXX,1 Pdb Vote
153,Kang Huijae,New Generation War: Reawakened Man (2023),ESFJ,2 Pdb Votes
154,Jayda,Leo (2023),ESFJ,16 Pdb Votes
155,Ann Beaulieu,Priscilla (2023),ESFJ,9 Pdb Votes
156,Fanny Crill,Peacock (2010),ESFJ,3 Pdb Votes
157,Pam Adkisson,The Iron Claw,ESFJ,9 Pdb Votes
158,Helen,Happiness for Beginners,ESFJ,6 Pdb Votes
159,Tom Bogan,Nope (2022),ESFJ,3 Pdb Votes
160,Gabbie,Haunted Mansion (2023),ESFJ,26 Pdb Votes
161,Luigi,The Wages of Fear,ESFJ,5 Pdb Votes
162,Vera Charles,Mame (1974),ESFJ,6 Pdb Votes
163,Chihuahua,My Darling Clementine (1946),ESFJ,2 Pdb Votes
164,Lucie,Red Riding Hood (2011),ESFJ,2 Pdb Votes
165,Cinder Lumen,Elemental,ESFJ,88 Pdb Votes
166,Helen,The Snows of Kilimanjaro (1952),ISFJ,1 Pdb Vote
167,Maxine,Five Nights at Freddy's (Movie),ESFJ,48 Pdb Votes
168,Optimus Primal,Transformers: Rise of the Beasts,ESFJ,46 Pdb Votes
169,Bianca,The Taming of the Shrew (1929),ESFJ,10 Pdb Votes
170,Stephanie Graham ,Journey into Fear (1943),ESFJ,5 Pdb Votes
171,Mrs. Mathews,Journey into Fear (1943),ESFJ,7 Pdb Votes
172,Laurel Dallas,Stella Dallas (1937),ESFJ,1 Pdb Vote
173,Ethel Carter,The Hills Have Eyes (1977),ESFJ,6 Pdb Votes
174,Silva,Strange Way of Life (2023),ESFJ,12 Pdb Votes
175,Winnie-the-Pooh,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,30 Pdb Votes
176,Roger,Beau is Afraid,ESFJ,16 Pdb Votes
177,Mona Wassermann,Beau is Afraid,ESFJ,54 Pdb Votes
178,Kaveri Amma,Swades,ESFJ,5 Pdb Votes
179,Aunt Bea,Ramona and Beezus (2010),ESFJ,12 Pdb Votes
180,Daisy,Killer Klowns from Outer Space (1988),XXXX,3 Pdb Votes
181,"Elisabeth ""Babou"" Garraud-Larchet",Le Prénom (2012),ESFJ,5 Pdb Votes
182,The K-pop gang,Trolls (2016),ESFJ,11 Pdb Votes
183,Dr. Madeline Northcott,Smile,ESFJ,9 Pdb Votes
184,Allen Albright,Orphan (2009-2022),ESFJ,38 Pdb Votes
185,Ben Johnson,Brat / Brother (1997),ESFJ,5 Pdb Votes
186,Mitzy,Pearl (2022),ESFJ,247 Pdb Votes
187,Owen Whistler,They/Them,ESFJ,17 Pdb Votes
188,"Elizabeth Moscatello, R.N. / Assisted Living Nurse",The Irishman (2019),XXXX,1 Pdb Vote
189,Bruce Yamada,The Black Phone,ESFJ,51 Pdb Votes
190,Jillian,Despicable Me (Franchise),ESFJ,15 Pdb Votes
191,Ambrosius Goldenloin,Nimona (2023),ESFJ,126 Pdb Votes
192,Tobe,Down in the Valley (2005),XXXX,10 Pdb Votes
193,Patrick Stella,Vacanze Estive,ESFJ,14 Pdb Votes
194,"Iris Hernández ""La Ñoña""",Perras 2011,ESFJ,28 Pdb Votes
195,Mamy,8 femmes,XXXX,8 Pdb Votes
196,Aakruti Dave,Simmba (2018),ISFJ,1 Pdb Vote
197,Elena Walters,Monster House (2006),ESFJ,10 Pdb Votes
198,Eric,Malibu Rescue,XXXX,8 Pdb Votes
199,Stephen Glass,Shattered Glass (2003),ESFJ,40 Pdb Votes
200,Cecilie Fjellhoy,The Tinder Swindler,ESFJ,35 Pdb Votes
201,Billy,Gone,XXXX,1 Pdb Vote
202,Jacob,Joseph: King of Dreams,ESFJ,5 Pdb Votes
203,Yoshiko Sasahara,One Cut of the Dead,ESFJ,6 Pdb Votes
204,Mary Fisher,She-Devil (1989),ESFJ,15 Pdb Votes
205,Jenny Portman,Raising Helen (2004),ESFJ,12 Pdb Votes
206,Robert,Alone,ESFJ,3 Pdb Votes
207,Clarissa Dovey,The School for Good and Evil,ESFJ,41 Pdb Votes
208,Baker Smurf,The Smurfs (2011),ESFJ,3 Pdb Votes
209,Judy,Fred: The Movie,XXXX,11 Pdb Votes
210,Mother,Mother (2009 Madeo),ESFJ,19 Pdb Votes
211,Sal Bertolinni (Colonel Stars-and-Stripes),Kick-Ass (2010),ESFJ,15 Pdb Votes
212,Hal,WALL-E (2008),ESFJ,32 Pdb Votes
213,Eda,Recep İvedik 4,ESFJ,3 Pdb Votes
214,Buddy,Free Guy (2021),ESFJ,111 Pdb Votes
215,Kailani Laguatan,Journey to the Center of the Earth / Journey 2: The Mysterious Island,ESFJ,15 Pdb Votes
216,Darling,Lady and the Tramp (1955),ESFJ,12 Pdb Votes
217,Kristen,Think Like a Man (2012),ESFJ,14 Pdb Votes
218,Mrs. Jumbo,Dumbo (1941),ESFJ,25 Pdb Votes
219,Hundun,Kung Fu Panda (Franchise),XXXX,3 Pdb Votes
220,Detective Squirrel,Cold Eyes,XXXX,5 Pdb Votes
221,Aunt Abby Brewster,Arsenic and Old Lace,ESFJ,19 Pdb Votes
222,Starla Grady,"Slap her, she's French (She gets what she wants)",ESFJ,6 Pdb Votes
223,Gemma Bovery,Gemma Bovery,ESFJ,5 Pdb Votes
224,Lisa,Blockers (2018),ESFJ,8 Pdb Votes
225,Shannon Bell,Cannibal! The Musical,XXXX,4 Pdb Votes
226,Wendy Darling,Peter Pan & Wendy (2021),ESFJ,18 Pdb Votes
227,Suzette,Red Riding Hood (2011),XXXX,8 Pdb Votes
228,Priya,Krrish (Film Series),ESFJ,6 Pdb Votes
229,"Samantha ""Sam"" Fraser",Fear Street (Franchise),ESFJ,604 Pdb Votes
230,Kelly Porter,The Stepfather (2009),ESFJ,4 Pdb Votes
231,Darla,The Little Rascals (1994),ESFJ,49 Pdb Votes
232,Karin Lane,World War Z (2013),ESFJ,6 Pdb Votes
233,PR-T,WALL-E (2008),ESFJ,14 Pdb Votes
234,Mary,WALL-E (2008),ESFJ,17 Pdb Votes
235,Jane,Shutter (2004),ESFJ,5 Pdb Votes
236,Guy,Free Guy (2021),ESFJ,455 Pdb Votes
237,Nora,Warm Bodies (2013),ESFJ,11 Pdb Votes
238,Smurfette,The Smurfs (2011),ESFJ,62 Pdb Votes
239,Patty Peterson,Mr. Peabody & Sherman (2014),ESFJ,14 Pdb Votes
240,Katie Deauxma,Kick-Ass (2010),ESFJ,6 Pdb Votes
241,Dennis,Monty Python and the Holy Grail (1975),ESFJ,17 Pdb Votes
242,Karen Barclay,Chucky,ESFJ,27 Pdb Votes
243,Jacy Farrow,The Last Picture Show (1971),ESFJ,9 Pdb Votes
244,Andrew,The Huntsman: Winter's War,ESFJ,4 Pdb Votes
245,Marsha Krinkle,Boss Baby (Franchise),ESFJ,12 Pdb Votes
246,Mme Gorman,Summer of 85 (2020),ESFJ,20 Pdb Votes
247,Richard Kneeland,13 going on 30 (2004),ESFJ,15 Pdb Votes
248,Linda,The Wedding Singer (1998),ESFJ,12 Pdb Votes
249,Rosa,All About My Mother,ESFJ,22 Pdb Votes
250,Katrina Van Tassel,Disney's The Legend of Sleepy Hollow,ESFJ,27 Pdb Votes
251,Mrs. Lackey,Mysterious Skin (2004),ESFJ,5 Pdb Votes
252,Charlie Young,Fallen Angels (Do Lok Tin Si) (1995),ESFJ,91 Pdb Votes
253,Forasteiro,Bacurau (2019),ESFJ,4 Pdb Votes
254,Forasteira,Bacurau (2019),ESFJ,4 Pdb Votes
255,Paul Davison,You're Next,ESTJ,1 Pdb Vote
256,Becky Barnes,The Sorcerer’s Apprentice (2010),ESFJ,11 Pdb Votes
257,Agent Rupert Anderson,Mississippi Burning,ESFJ,26 Pdb Votes
258,Claire Wyman,Letters to Juliet,ESFJ,23 Pdb Votes
259,Margaux Needler,The Addams Family (2019),ESFJ,68 Pdb Votes
260,Jenny,Eden Lake,ESFJ,14 Pdb Votes
261,Lily,Faster (2010),ESFJ,10 Pdb Votes
262,José Carioca,The Three Caballeros (1944),ESFJ,54 Pdb Votes
263,Susan Evans,The Good Son (1993),ESFJ,11 Pdb Votes
264,Marla,PLAYMOBIL: THE MOVIE (2019),ESFJ,15 Pdb Votes
265,Violet Valentine,Hubie Halloween (2020),ESFJ,11 Pdb Votes
266,Justice Strauss,Lemony Snicket's A Series of Unfortunate Events (2004),ESFJ,11 Pdb Votes
267,Mr Hopkins,The Falling,ESFJ,2 Pdb Votes
268,Blair Willows,Barbie: Princess Charm School,ESFJ,264 Pdb Votes
269,Marina,The Pebble and the Penguin (1995),ESFJ,19 Pdb Votes
270,Lauren Reynolds,Blended (2014),ESFJ,39 Pdb Votes
271,Fa Zhou,Mulan (Franchise),ESFJ,114 Pdb Votes
272,Savannah,Dear John,ESFJ,21 Pdb Votes
273,Barbarella,Barbarella,ESFJ,6 Pdb Votes
274,Rachel Carruthers,"Halloween 4,5,6 Timeline",ESFJ,12 Pdb Votes
275,Jim Neiman,Whiplash (2014),ESFJ,46 Pdb Votes
276,Marisa Ventura,Maid in Manhattan (2002),ESFJ,28 Pdb Votes
277,Wendy Darling,Peter Pan (2003),ESFJ,114 Pdb Votes
278,Brenda Bunson,Sausage Party (2016),ESFJ,37 Pdb Votes
279,Grace Trevelyan Grey,Fifty Shades of Grey (2015),ESFJ,15 Pdb Votes
280,Sam,Casablanca (1942),ESFJ,37 Pdb Votes
281,Martha,The Secret Garden (1993),ESFJ,39 Pdb Votes
282,"Mitchell McClurg ""Monkey""",Hot Wheels World Race / AcceleRacers,ESFJ,24 Pdb Votes
283,Cloe,Bratz: The Movie (2007),ESFJ,35 Pdb Votes
284,Astrid,Blood and Chocolate (2007),ESFJ,11 Pdb Votes
285,Deputy So and So,Sinister Series,ESFJ,38 Pdb Votes
286,Peaches,The Fundamentals of Caring (2016),ESFJ,20 Pdb Votes
287,Danielle de Barbarac,Ever After: A Cinderella Story,ESFJ,103 Pdb Votes
288,Sarah Miller/Betty Mills,A Fall from Grace (2020),XXXX,6 Pdb Votes
289,Cleo,Pinocchio (1940),ESFJ,41 Pdb Votes
290,Amity,Divergent (2014),ESFJ,338 Pdb Votes
291,Holly Hills,Diary of a Wimpy Kid (Series),ESFJ,108 Pdb Votes
292,The Gingerbread Man “Gingy”,Shrek (Franchise),ESFJ,201 Pdb Votes
293,Nora Baker,Cheaper by the Dozen (Franchise),ESFJ,17 Pdb Votes
294,Torrance Shipman,Bring It On (franchise),ESFJ,115 Pdb Votes
295,Susan Heffley,Diary of a Wimpy Kid (Series),ESFJ,130 Pdb Votes
296,Eleanor Little,Stuart Little,ESFJ,15 Pdb Votes
297,Anita Radcliffe,One Hundred and One Dalmatians (1961),ESFJ,53 Pdb Votes
298,Ladybug,James and the Giant Peach (1996),ESFJ,16 Pdb Votes
299,Amy Szalinski,"Honey, I...",XXXX,11 Pdb Votes
300,Amanda Jones,Some Kind of Wonderful (1987),ESFJ,7 Pdb Votes
301,Richard Jewell,Richard Jewell (2019),ESFJ,37 Pdb Votes
302,Patty Simcox,Grease (1978),ESFJ,14 Pdb Votes
303,Catherine “Kitty” Bennet,Pride and Prejudice (2005),ESFJ,81 Pdb Votes
304,Amanda Buckman,The Addams Family,ESFJ,118 Pdb Votes
305,Friend Owl,Bambi (1942),ESFJ,17 Pdb Votes
306,General Jan Dodonna,Star Wars,ESFJ,11 Pdb Votes
307,Wikus van de Merwe,District 9 (2009),ESFJ,50 Pdb Votes
308,Peter McCallister,Home Alone,ESFJ,49 Pdb Votes
309,Halima,Frozen (Franchise),ESFJ,18 Pdb Votes
310,Sister Abigail,Orphan (2009-2022),ESFJ,31 Pdb Votes
311,Lauren Scott,This Means War (2012),ESFJ,15 Pdb Votes
312,Noah Levenstein,American Pie,ESFJ,56 Pdb Votes
313,Blaire Lily,Unfriended (2014),ESFJ,44 Pdb Votes
314,Lady Tremaine,Cinderella (2015),ESFJ,120 Pdb Votes
315,Brooks Rattigan,The Perfect Date (2019),ESFJ,65 Pdb Votes
316,McKenzie,500 Days of Summer (2009),ESFJ,61 Pdb Votes
317,Melody,Barbie and the Diamond Castle (2008),ESFJ,97 Pdb Votes
318,Princess Liana (Barbie),Barbie and the Diamond Castle (2008),ESFJ,178 Pdb Votes
319,Amy,Bad Moms (2016),ESFJ,46 Pdb Votes
320,Lilith Beresford,Awake (2007),XXXX,14 Pdb Votes
321,Alma,Persona (1966),ESFJ,161 Pdb Votes
322,Berrada,John Wick,XXXX,8 Pdb Votes
323,Audrey Billings,Transporter,ESFJ,4 Pdb Votes
324,Joseph Goebbels,Inglourious Basterds (2009),ESFJ,56 Pdb Votes
325,Ellie Staple,Glass (2019),ESFJ,39 Pdb Votes
326,Sharon Tate,Once Upon a Time in... Hollywood (2019),ESFJ,223 Pdb Votes
327,Jennifer Parker,Back to the Future (Series),ESFJ,71 Pdb Votes
328,Tanya,Snowpiercer (2013),ESFJ,22 Pdb Votes
329,Dalia,Aladdin (2019),ESFJ,38 Pdb Votes
330,Lucy Bobby,Talladega Nights: The Ballad of Ricky Bobby (2006),ESFJ,9 Pdb Votes
331,LeFou,Beauty and the Beast (2017),ESFJ,44 Pdb Votes
332,Rosita,Sing (Franchise),ESFJ,221 Pdb Votes
333,Elle Evans,The Kissing Booth (Film Trilogy),ESFJ,447 Pdb Votes
334,Lady Kluck,Robin Hood (1973),ESFJ,52 Pdb Votes
335,Madame Adelaide Bonfamille,The Aristocats (1970),ESFJ,40 Pdb Votes
336,Roger Murtaugh,Lethal Weapon (Movie Series),ESFJ,27 Pdb Votes
337,Audrey Dunn,Unbreakable (2000),ESFJ,11 Pdb Votes
338,"Samantha ""Sam"" Button",The Perks of Being a Wallflower (2012),ESFJ,462 Pdb Votes
339,Katherine “Kate” Kavanagh,Fifty Shades of Grey (2015),ESFJ,36 Pdb Votes
340,LaShawn Malone,Brokeback Mountain (2005),ESFJ,12 Pdb Votes
341,Barbie,Toy Story (Franchise),ESFJ,274 Pdb Votes
342,Kronk,The Emperor's New Groove (2000),ESFJ,808 Pdb Votes
343,Ellie,Ice Age (Franchise),ESFJ,187 Pdb Votes
344,Gomez Addams,The Addams Family,ESFJ,507 Pdb Votes
345,Frank,28 Days Later (2002),ESFJ,42 Pdb Votes
346,Minion,Megamind (2010),ESFJ,345 Pdb Votes
347,Sarah Borden,The Prestige (2006),ESFJ,33 Pdb Votes
348,Meryl Burbank,The Truman Show (1998),ESFJ,155 Pdb Votes
349,Nick Jakoby,Bright (2017),ESFJ,17 Pdb Votes
350,Charles Bingley,Pride and Prejudice (2005),ESFJ,281 Pdb Votes
351,Other Father,Coraline (2009),ESFJ,296 Pdb Votes
352,Mei Mei,Kung Fu Panda (Franchise),ESFJ,64 Pdb Votes
353,Claire Benoit,Split (2016),ESFJ,49 Pdb Votes
354,Molly Weasley,Harry Potter / Wizarding World Films,ESFJ,628 Pdb Votes
355,Saul Bloom,Ocean's Eleven Trilogy,ESFJ,29 Pdb Votes
356,Juror #6,12 Angry Men (1957),ESFJ,126 Pdb Votes
357,Juror #1,12 Angry Men (1957),ESFJ,177 Pdb Votes
358,Mayor of Halloween Town,The Nightmare Before Christmas (1993),ESFJ,150 Pdb Votes
359,Spencer Hill,Danielle Steel's Star (1993),INFJ,1 Pdb Vote
360,Signora Vaccari,"Salò, or the 120 days of Sodom",ESFJ,8 Pdb Votes
361,Андрей Князев,Король и Шут,ESFJ,4 Pdb Votes
362,Relja,The Skinning (Šišanje),ESFJ,1 Pdb Vote
363,Onofre,Reflexões de um Liquidificador (2010),ESFJ,5 Pdb Votes
364,Alan Robin,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,5 Pdb Votes
365,Beth,Love Lies Bleeding,ESFJ,2 Pdb Votes
366,Paulina Cabos,Matando cabos (2004),ISFJ,2 Pdb Votes
367,Frankie,Road House (2024),ESFJ,16 Pdb Votes
368,Boomer,Wonder Park (2019),XXXX,1 Pdb Vote
369,Alice,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,5 Pdb Votes
370,Hanasaki Miyu,"And Yet, You Are So Sweet (2023)",XXXX,1 Pdb Vote
371,Simone Adamley,Ferris Bueller's Day Off (1986),ESFJ,3 Pdb Votes
372,Lira,Operation Wedding (Movie),ESFP,2 Pdb Votes
