,char,movie,mbti,votes
76,Otto Anderson,A man called Otto.,ISTJ,246 Pdb Votes
77,Mr. Hubert Snake,The Bad Guys (2022),ISTJ,397 Pdb Votes
78,Яна Семакина,Univer. New Dorm,ISTJ,73 Pdb Votes
79,"Bárbara ""Babi"" Alcázar",Three Steps Above Heaven (Tres metros sobre el cielo),ISTJ,55 Pdb Votes
80,"Ludmila Prokofievna Kalugina ""Our Hag""",Office Romance(1977),ISTJ,58 Pdb Votes
81,James Gordon Bennett,The Greatest Showman (2017),XXXX,57 Pdb Votes
82,Jessica Olson,Starstruck (2010),ISTJ,110 Pdb Votes
83,Chief Tui,Moana (2016),ISTJ,168 Pdb Votes
84,Geri,Toy Story (Franchise),ISTJ,62 Pdb Votes
85,Tim,The Wrong Missy (2020),ISTJ,44 Pdb Votes
86,Thomas Button,The Curious Case of Benjamin Button (2008),ISTJ,27 Pdb Votes
87,Tim Lockwood,Cloudy with a Chance of Meatballs (2009),ISTJ,178 Pdb Votes
88,Lieutenant Commander JoAnne Galloway,A Few Good Men (1992),ISTJ,42 Pdb Votes
89,Burke,Blow Out (1981),ISTJ,7 Pdb Votes
90,Robert McCall,The Equalizer ( 2014- 2018),ISTJ,284 Pdb Votes
91,The Great Prince of the Forest,Bambi (1942),ISTJ,116 Pdb Votes
92,Timekeeper Raymond Leon,In Time (2011),ISTJ,86 Pdb Votes
93,Jack Crawford,The Silence of the Lambs (1991),ISTJ,55 Pdb Votes
94,Walter Stratford,10 Things I Hate About You (1999),ISTJ,149 Pdb Votes
95,Marianne,Portrait of a Lady on Fire (2019),ISTJ,207 Pdb Votes
96,Ray Schleine,Uptown girls (2003),ISTJ,144 Pdb Votes
97,George Harvey,The Lovely Bones (2009),ISTJ,67 Pdb Votes
98,James 'One' Shade,Resident Evil,ISTJ,9 Pdb Votes
99,Dan Evans,3:10 to Yuma (2007),ISTJ,48 Pdb Votes
100,Verne,Over The Hedge (2006),ISTJ,243 Pdb Votes
101,Charlotte Lucas,Pride and Prejudice (2005),ISTJ,110 Pdb Votes
102,Max,The Secret Life of Pets (2016),ISTJ,171 Pdb Votes
103,Josh,Midsommar (2019),ISTJ,291 Pdb Votes
104,Alex Munday,Charlie’s Angels (2000),ESTJ,143 Pdb Votes
105,Lord Hidetora Ichimonji,Ran (1985),ISTJ,45 Pdb Votes
106,CPT John Miller,Saving Private Ryan (1998),ISTJ,84 Pdb Votes
107,Carl Hanratty,Catch Me If You Can (2002),ISTJ,193 Pdb Votes
108,Tom Sherbourne,The Light Between Oceans (2016),XXXX,33 Pdb Votes
109,Sir Hiss,Robin Hood (1973),ISTJ,78 Pdb Votes
110,Uncle Kouzuki,The Handmaiden (2016),ISTJ,70 Pdb Votes
111,Tiberias,Kingdom of Heaven (2005),ISTJ,39 Pdb Votes
112,Jonathan Harker,Bram Stoker's Dracula (1992),ISTJ,42 Pdb Votes
113,Terminator (T-800) “Uncle Bob”,Terminator,ISTJ,308 Pdb Votes
114,Richard Cameron,Dead Poets Society (1989),ISTJ,320 Pdb Votes
115,Colonel G. Lucas,Apocalypse Now (1979),ISTJ,15 Pdb Votes
116,Alex J. Murphy / Robocop,RoboCop,ISTJ,150 Pdb Votes
117,Luv,Blade Runner,ISTJ,204 Pdb Votes
118,Jane,Peter Pan (1953),ISTJ,248 Pdb Votes
119,Tom Hagen,The Godfather (1972),ISTJ,368 Pdb Votes
120,Mohini Banjaree,Lemonade Mouth (2011),ISTJ,167 Pdb Votes
121,Ash,Alien,ISTJ,92 Pdb Votes
122,Percy Weasley,Harry Potter / Wizarding World Films,ISTJ,327 Pdb Votes
123,James Norrington,Pirates of the Caribbean,ISTJ,274 Pdb Votes
124,"Manfred ""Manny""",Ice Age (Franchise),ISTJ,613 Pdb Votes
125,Nurse Ratched,One Flew Over the Cuckoo's Nest (1975),ISTJ,243 Pdb Votes
126,Spock,Star Trek (Kelvin Timeline),ISTJ,294 Pdb Votes
127,Donald Gennaro,Jurassic Park / Jurassic World (Film Franchise),ISTJ,50 Pdb Votes
128,Juror #4,12 Angry Men (1957),ISTJ,275 Pdb Votes
129,Wasabi No-Ginger,Big Hero 6 (2014),ISTJ,443 Pdb Votes
130,Colonel Mustard,Clue (1985),ISTJ,40 Pdb Votes
131,The President,Fail Safe (1964),ESTJ,2 Pdb Votes
132,Jonathan Dennis,Impulse (2008),ISTJ,2 Pdb Votes
133,Varun,Doctor [Tamil] - 2021,ISTJ,3 Pdb Votes
134,Jan,The Beast Must Die (1974),ISTJ,10 Pdb Votes
135,Mitch Winehouse,Back to Black (2024),ISTJ,7 Pdb Votes
136,Lady Torrance,The Fugitive Kind (1960),ISTJ,3 Pdb Votes
137,Dr. Singh,Turtles All The Way Down,XXXX,1 Pdb Vote
138,Lolis,Ojitos de huevo,XXXX,1 Pdb Vote
139,MILF´s Husband,The Final Destination (2009),XXXX,1 Pdb Vote
140,George Winfield,On Moonlight Bay (series),XXXX,4 Pdb Votes
141,Marshall Kane,Ripper (2001),INTJ,1 Pdb Vote
142,Bob Matthews,The Villain (1971),ISTJ,6 Pdb Votes
143,Dr. Xavi Punnose,Abraham Ozler (2024),ISTJ,2 Pdb Votes
144,Paddy Whelan,Riverhead (2016),ISTJ,10 Pdb Votes
145,Master Cheng,Man Suang (2023),XXXX,1 Pdb Vote
146,James Walker,Missing (2023),XXXX,1 Pdb Vote
147,Rendy,Get Married (Franchise),XXXX,1 Pdb Vote
148,Ozawa,Outrage,ISTJ,10 Pdb Votes
149,Abel Deluc,Rosalie (2023),ISTJ,2 Pdb Votes
150,Sheriff Black,Road House (2024),ISTJ,3 Pdb Votes
151,Joe Rothman,The Killer Inside Me (2010),ISTJ,3 Pdb Votes
152,Ines Conradi,Toni Erdmann (2016),ISTJ,3 Pdb Votes
153,Boov (Species),Home (2015),ISTJ,3 Pdb Votes
154,Chen Hui,"The Pig, the Snake and the Pigeon 周處除三害",ISTJ,4 Pdb Votes
155,Mr. Hu,The Tiger's Apprentice,ISFJ,1 Pdb Vote
156,A.J. Marley,Supernova (2000),XXXX,1 Pdb Vote
157,Dr. Kaela Evers,Supernova (2000),XXXX,1 Pdb Vote
158,Abby ,Lift (2024),ISTJ,9 Pdb Votes
159,Shen's father,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
160,Мать Кати,"Все умрут, а я останусь (2008)",XXXX,3 Pdb Votes
161,Pontius Pilate,The Master and Margarita (2024),XXXX,7 Pdb Votes
162,Secret Service Agent,Taxi Driver (1976),ISTJ,2 Pdb Votes
163,Ursa,Open Season (2006),XXXX,4 Pdb Votes
164,Bong Rim,Citizen of a Kind (2024),XXXX,1 Pdb Vote
165,Marian,Drive-Away Dolls,ISTJ,10 Pdb Votes
166,Mrs Olivia Winfield-Foxworth,Flowers In The Attic (Lifetime movie franchise),ISTJ,1 Pdb Vote
167,Drone,Leo (2023),ISTJ,16 Pdb Votes
168,Paul Hunham,The Holdovers,ISTJ,204 Pdb Votes
169,Etienne Cheynet,Barbie & Her Sisters in a Pony Tale (2013),ISTJ,3 Pdb Votes
170,Seong Mina,New Generation War: Reawakened Man (2023),ISTJ,2 Pdb Votes
171,Hodges (The Lawyer),The Killer (2023),ISTJ,38 Pdb Votes
172,John Skillpa,Peacock (2010),ISTJ,3 Pdb Votes
173,Makiko Fushimi,Monster (2023),ISTJ,7 Pdb Votes
174,"Ellen ""The Lady""",The Quick and the Dead (1995),ISTJ,11 Pdb Votes
175,Lord Covington,Madeline (1998),XXXX,1 Pdb Vote
176,ülkü,İkimizin Yerine,ISTJ,3 Pdb Votes
177,Duncan,Saltburn,ISTJ,26 Pdb Votes
178,Counselor,K-12 (2019),ISTJ,7 Pdb Votes
179,Travis,Haunted Mansion (2023),ISTJ,33 Pdb Votes
180,Gil Renard,The Fan (1996),XXXX,1 Pdb Vote
181,The Director,Nimona (2023),ISTJ,186 Pdb Votes
182, Averill,Heaven's Gate (1980),XXXX,1 Pdb Vote
183,Captain Matthew Garth,Midway (1976),XXXX,2 Pdb Votes
184,Morten Borgen,Ordet (1955),XXXX,1 Pdb Vote
185, Anna Koreff / Anastasia,Anastasia (1956),ISTJ,13 Pdb Votes
186,Baptista,The Taming of the Shrew (1929),ISTJ,10 Pdb Votes
187,Howard Graham,Journey into Fear (1943),ISTJ,13 Pdb Votes
188,Inayat Khan,Mission Kashmir (2000),ISTJ,2 Pdb Votes
189,Sergeant Shin Dong-chul,Memories Of Murder (2003),ISTJ,5 Pdb Votes
190,Dom,Rye Lane (2023),ISTJ,18 Pdb Votes
191,Pontius Pilate,The Miracle Maker,XXXX,1 Pdb Vote
192,Brittany,Bottoms,ISTJ,61 Pdb Votes
193,Seán Kinsella,The Quiet Girl (2022),ISTJ,10 Pdb Votes
194,The Hunter,EMESIS BLUE,ISTJ,17 Pdb Votes
195,Şahin,İllegal Hayatlar,ISTJ,3 Pdb Votes
196,Dina ,the big 4,XXXX,4 Pdb Votes
197,Papa Bear,Shrek (Franchise),ISTJ,80 Pdb Votes
198,Priscilla,The Pebble and the Penguin (1995),ENFJ,10 Pdb Votes
199,Ms. Mecham,Ramona and Beezus (2010),XXXX,8 Pdb Votes
200,Throk,How to Train Your Dragon (Franchise),ISTJ,4 Pdb Votes
201,Kiriko,Ninja Assassin,XXXX,3 Pdb Votes
202,Queen Selina,The Little Mermaid (2023 film),ISTJ,20 Pdb Votes
203,Leonardo ,TMNT (2007),ISTJ,31 Pdb Votes
204,Trevor,Smile,ISTJ,21 Pdb Votes
205,Ruth,Pearl (2022),ISTJ,236 Pdb Votes
206,Burt Fabelman,The Fabelmans (2022),ISTJ,92 Pdb Votes
207,Peg,Glass Onion: A Knives Out Mystery (2022),ISTJ,58 Pdb Votes
208,Prudence,Cinderella (1950),ISTJ,24 Pdb Votes
209,Sgt. Jim Bert,The Blob (1958),ISTJ,4 Pdb Votes
210,Luthera of Landreth (Wandering Blade),Kung Fu Panda (Franchise),ISTJ,26 Pdb Votes
211,Avik San,The Gray Man,ISTJ,30 Pdb Votes
212,Suzanne Brewer,The Gray Man,ISTJ,28 Pdb Votes
213,Hunt,The Irishman (2019),XXXX,1 Pdb Vote
214,Clare,"Hello, Goodbye, and Everything In Between",ISTJ,37 Pdb Votes
215,Bobby Deerfield,Bobby Deerfield (1977),ISTJ,9 Pdb Votes
216,Guard,Alienoid (2022),ISTJ,7 Pdb Votes
217,Don Cody,Girl in the Basement,ISTJ,26 Pdb Votes
218,Haşmet,Aile Arasinda,ISTJ,9 Pdb Votes
219,Eun Young,Eclipse (2016),XXXX,1 Pdb Vote
220,Andrea Romero ''la rara'',Perras 2011,ISTJ,14 Pdb Votes
221,Master Chao,Kung Fu Panda (Franchise),ISTJ,7 Pdb Votes
222,Mugi Yamane,I Fell in Love Like a Flower Bouquet (2021),XXXX,28 Pdb Votes
223,Doctor,Zhmurki (2005),XXXX,6 Pdb Votes
224,Miki Yoshino,One Cut of the Dead,ISTJ,4 Pdb Votes
225,Will Kane,High Noon,ISTJ,16 Pdb Votes
226,Stormtrooper,Star Wars,ISTJ,82 Pdb Votes
227,Pamela Travers,Saving Mr. Banks (2013),ISTJ,17 Pdb Votes
228,Suki Lane,Sing (Franchise),ISTJ,73 Pdb Votes
229,Władysław Kargul,Sami swoi,ISTJ,6 Pdb Votes
230,Young-Woo,Watching,ISTJ,3 Pdb Votes
231,Jakob Störr,The Story of My Wife (2021),ISTJ,5 Pdb Votes
232,Bronwyn Rojas,One of us is Lying (Show),ISTJ,167 Pdb Votes
233,Thomas Brian Reynolds,Enemy of the state,INTJ,1 Pdb Vote
234,Deputy Vinson,Scream (Franchise),ISTJ,10 Pdb Votes
235,Kosach,Come and See (1985),ISTJ,26 Pdb Votes
236,Samad Mijidi,Just 6.5 (2019),ISTJ,24 Pdb Votes
237,Kate,Carriers (2009),XXXX,1 Pdb Vote
238,Rajan Damodaran,Taare Zameen Par (Like Stars On Earth),ISTJ,13 Pdb Votes
239,Bradley Thomas,Brawl in Cell Block 99,ISTJ,10 Pdb Votes
240,Mette,The Celebration (Dogme 1 : Festen),ISTJ,4 Pdb Votes
241,Melvin Sneedly,Captain Underpants (movie),ISTJ,110 Pdb Votes
242,Major Heinrich Strasser,Casablanca (1942),ISTJ,14 Pdb Votes
243,Alexandra Privet,Barbie: Princess Charm School,ISTJ,79 Pdb Votes
244,Roman,Firebird (2021),ISTJ,52 Pdb Votes
245,Necati,Recep İvedik 4,ISTJ,3 Pdb Votes
246,"Lt. Bradly ""Rooster"" Bradshaw",Top Gun Series,ISTJ,207 Pdb Votes
247,Jim Dear,Lady and the Tramp (1955),ISTJ,15 Pdb Votes
248,Suzi Nakamura,Murder Mystery (2019),ISTJ,8 Pdb Votes
249,Ann,Nurse Ann,XXXX,4 Pdb Votes
250,Macarena Lady,Titane (2021),ISTJ,2 Pdb Votes
251,Janessa,Barbie Presents Thumbelina,ISTJ,14 Pdb Votes
252,Lin Wen-heung,A City of Sadness,ISTJ,2 Pdb Votes
253,Security Guard (Polkovnik),The Green Elephant (1999),ISTJ,41 Pdb Votes
254,Mitchell,Blockers (2018),ISTJ,11 Pdb Votes
255,Alžbětka's Father,Little Otik (Otesánek),ESTJ,1 Pdb Vote
256,Capulet,Romeo and Juliet (1968),XXXX,3 Pdb Votes
257,Bobby Joe Long,Believe Me: The Abduction of Lisa McVey,ISTJ,17 Pdb Votes
258,Emmett,A Quiet Place (2018),ISTJ,143 Pdb Votes
259,Steven,The Uninvited (2009),XXXX,4 Pdb Votes
260,Tom Burgess,My Policeman (2022),ISTJ,47 Pdb Votes
261,Pig,The Big Bad Fox and Other Tales... (2017),ISTJ,11 Pdb Votes
262,Deems Taylor,Walt Disney's Fantasia (1940),ISTJ,4 Pdb Votes
263,Tom Welles,8MM (1999),ISTJ,11 Pdb Votes
264,Marian Paroo,The Music Man (1962),ISTJ,42 Pdb Votes
265,Dr. Sylvester,Metal Lords (2021),ISTJ,5 Pdb Votes
266,Perry Kelvin,Warm Bodies (2013),ISTJ,8 Pdb Votes
267,Nyla Chones,Freaky (2020),ISTJ,20 Pdb Votes
268,Claudia,Moxie (2021),ISTJ,155 Pdb Votes
269,Lord Rogers,The Swan Princess (1994),ISTJ,8 Pdb Votes
270,Methuselah,MonsterVerse,ISTJ,12 Pdb Votes
271,Leonardo,Teenage Mutant Ninja Turtles (2014),ISTJ,71 Pdb Votes
272,Argus Filch,Harry Potter / Wizarding World Films,ISTJ,115 Pdb Votes
273,Alex Ulloa,"The Body ""El Cuerpo"" (2012)",ISTJ,10 Pdb Votes
274,Junior,Storks (2016),ISTJ,44 Pdb Votes
275,O Doutrinador/ Miguel Montessanti,O Doutrinador,ISTJ,26 Pdb Votes
276,Maquina,Ferdinand (Olé el Viaje de Ferdinand),ISTJ,9 Pdb Votes
277,Mitch,Old School (2003),ISTJ,11 Pdb Votes
278,Ben Weatherstaff,The Secret Garden (1993),ISTJ,4 Pdb Votes
279,Mason,Madagascar (Franchise),ISTJ,101 Pdb Votes
280,Chuzzlewit,Barbie In A Christmas Carol,ISTJ,17 Pdb Votes
281,Grimsby,The Little Mermaid (1989),ISTJ,39 Pdb Votes
282,Guard,Stardust (2007),ISTJ,16 Pdb Votes
283,Godefroy de Montmirail,Les Visiteurs,ISTJ,34 Pdb Votes
284,The Blind Man,Don't Breathe (2016),ISTJ,80 Pdb Votes
285,Paddy Button,The Blue Lagoon (1980),ISTJ,7 Pdb Votes
286,David Moreau / The Prince,Black Swan (2010),ISTJ,32 Pdb Votes
287,Mark,Possession (1981),ISTJ,111 Pdb Votes
288,Aparichit,Aparichit,ISTJ,14 Pdb Votes
289,Jenny Parker,Adventures in Babysitting (2016),ISTJ,96 Pdb Votes
290,Linthorn,Enola Holmes (2020),ISTJ,25 Pdb Votes
291,Christopher Da Silva,Silent Hill (2006-2012),ISTJ,15 Pdb Votes
292,James Turner,Death Note (2017),ISTJ,20 Pdb Votes
293,Master,Viy 2: Journey to China (2020),XXXX,1 Pdb Vote
294,Frank Darbo / Crimson Bolt,Super (2010),ISTJ,53 Pdb Votes
295,Doggy,The Room (2003),ISTJ,61 Pdb Votes
296,Simon J. Paladino “Gazerbeam”,The Incredibles (Franchise),ISTJ,19 Pdb Votes
297,"Jon Martello, Jr.",Don Jon (2013),ISTJ,40 Pdb Votes
298,Soon-Yi,A Werewolf Boy (2012),ISTJ,6 Pdb Votes
299,André Matias,Tropa de Elite (Franchise),ISTJ,152 Pdb Votes
300,Nandkishore Awasthi,Taare Zameen Par (Like Stars On Earth),ISTJ,26 Pdb Votes
301,Shane Wolfe,The Pacifier (2005),ISTJ,32 Pdb Votes
302,Grace Stewart,The others (2001),ISTJ,89 Pdb Votes
303,Duncan Mee,We Bought A Zoo,XXXX,8 Pdb Votes
304,Mrs. Medlock,The Secret Garden (1993),ISTJ,19 Pdb Votes
305,Lord Archibald Craven,The Secret Garden (1993),ISTJ,34 Pdb Votes
306,Sheba,Django Unchained (2012),ISTJ,8 Pdb Votes
307,McKenzie,Teen Beach Movie,ISTJ,149 Pdb Votes
308,John Hartigan,Sin City (franchise),ISTJ,41 Pdb Votes
309,Dora,Central Station (1998),ISTJ,49 Pdb Votes
310,Rev. Graham Hess,Signs (2002),ISTJ,50 Pdb Votes
311,Jeannette Walls,The Glass Castle (2017),ISTJ,45 Pdb Votes
312,Ed Masry,Erin Brockovich (2000),ISTJ,18 Pdb Votes
313,Principal Ron Duvall,Mean Girls (2004),ISTJ,123 Pdb Votes
314,Ellison Oswalt,Sinister Series,ISTJ,86 Pdb Votes
315,Eliot Ness,The Untouchables (1987),ISTJ,32 Pdb Votes
316,Kimmy Jin,Pitch Perfect (Series),ISTJ,21 Pdb Votes
317,Dr. Griffiths,Tinker Bell (2008),ISTJ,49 Pdb Votes
318,Thomas Hewitt / Leatherface,The Texas Chainsaw Massacre (Franchise),ISTJ,99 Pdb Votes
319,Queen Victoria,The Young Victoria (2009),ISTJ,13 Pdb Votes
320,Byakuya Kuchiki,Bleach (2018),ISTJ,8 Pdb Votes
321,Sergeant Tibbs,One Hundred and One Dalmatians (1961),ISTJ,14 Pdb Votes
322,Nick Hendricks,Horrible Bosses (2011),ISTJ,70 Pdb Votes
323,Eugene Felsnick,Grease (1978),ISTJ,14 Pdb Votes
324,Terminator T-800 (Original Model),Terminator,ISTJ,104 Pdb Votes
325,"Alvin ""Al"" Marsh",It (2017),ISTJ,50 Pdb Votes
326,Rachel Ferrier,War of the Worlds (2005),ISTJ,51 Pdb Votes
327,Raymond Babbitt,Rain Man (1988),ISTJ,169 Pdb Votes
328,Chief Inspector Jones,The Tourist (2010),ISTJ,8 Pdb Votes
329,Jack Crawford,Red Dragon (2002),XXXX,3 Pdb Votes
330,Lobot,Star Wars,ISTJ,29 Pdb Votes
331,George Wilson,Dennis the Menace (1993),ISTJ,12 Pdb Votes
332,Arthur Abbott,The Holiday (2006),ISTJ,33 Pdb Votes
333,Kirby,The Brave Little Toaster (1987),ISTJ,18 Pdb Votes
334,Joseph Aloisius Ratzinger / Pope Benedict XVI,The Two Popes (2019),ISTJ,49 Pdb Votes
335,Luca Brasi,The Godfather (1972),ISTJ,43 Pdb Votes
336,Wiglaf,Beowulf,ISTJ,13 Pdb Votes
337,Arnold French,The Departed (2006),ISTJ,36 Pdb Votes
338,Salvatore “Sal” Tessio,The Godfather (1972),ISTJ,40 Pdb Votes
339,Joe,The Ledge (2011),XXXX,7 Pdb Votes
340,Jacob Thrombey,Knives Out (2019),ISTJ,223 Pdb Votes
341,Lee Iacocca,Ford v Ferrari / Le Mans '66 (2019),ISTJ,33 Pdb Votes
342,Lockdown,Transformers (Bayverse),ISTJ,114 Pdb Votes
343,Bill Boggs,Edward Scissorhands (1990),ISTJ,64 Pdb Votes
344,Walt Thrombey,Knives Out (2019),ISTJ,118 Pdb Votes
345,"Joe Bauers ""Not Sure""",Idiocracy (2006),ISTJ,55 Pdb Votes
346,Stanley Dwight,Rocketman (2019),ISTJ,14 Pdb Votes
347,Dr. Josef Klempere,Suspiria (2018),ISTJ,40 Pdb Votes
348,Memphis,Happy Feet (2006-2011),ISTJ,18 Pdb Votes
349,Chuck Noland,Cast Away (2000),ISTJ,146 Pdb Votes
350,Bernard,Megamind (2010),ISTJ,180 Pdb Votes
351,Queen Clarisse Renaldi,The Princess Diaries (2001),ISTJ,161 Pdb Votes
352,William Foster,Falling Down (1993),ISTJ,232 Pdb Votes
353,David,The Lobster (2015),ISTJ,93 Pdb Votes
354,Itzhak Stern,Schindler's List (1993),ISTJ,82 Pdb Votes
355,Van Pelt,Jumanji (1995),ISTJ,27 Pdb Votes
356,Sean Devine,Mystic River (2003),ISTJ,30 Pdb Votes
357,Alex Tchenkov,Anna (2019),ISTJ,28 Pdb Votes
358,Yan Naing Lee,Rush Hour (Franchise),ISTJ,188 Pdb Votes
359,Marcus,John Wick,ISTJ,56 Pdb Votes
360,Rebecca Doppelmeyer,Ghost World (2001),ISTJ,73 Pdb Votes
361,Walt Kowalski,Gran Torino (2008),ISTJ,317 Pdb Votes
362,Andrew Brandt,Equilibrium (2002),ISTJ,44 Pdb Votes
363,Dave Buznik,Anger Management (2003),ISTJ,32 Pdb Votes
364,Brett,Pulp Fiction (1994),ISTJ,102 Pdb Votes
365,Bob Hauk,Escape from New York (1981),ISTJ,13 Pdb Votes
366,Bill Andersen,Inside Out (Franchise),ISTJ,361 Pdb Votes
367,Eustace Clarence Scrubb,The Chronicles of Narnia (Film Trilogy),ISTJ,120 Pdb Votes
368,Lin Mae,The Great Wall (2016),ISTJ,15 Pdb Votes
369,Tsu'tey,Avatar (Franchise),ISTJ,74 Pdb Votes
370,Dilios,300,ISTJ,20 Pdb Votes
371,Kyle,Home (2015),ISTJ,23 Pdb Votes
372,Robert Philip,Enchanted (2007),ISTJ,238 Pdb Votes
373,Holley Shiftwell,Cars (Franchise),ISTJ,53 Pdb Votes
374,Walter One,Alien,ISTJ,37 Pdb Votes
375,Jack Byrnes,Meet the Parents (2000) / Little Fockers (2010),ISTJ,80 Pdb Votes
376,Harry Hart / Galahad,Kingsman (Franchise),ISTJ,200 Pdb Votes
