,char,movie,mbti,votes
32,Rico,Madagascar (Franchise),ESTP,893 Pdb Votes
33,Tangerine,Bullet Train,ESTP,647 Pdb Votes
34,22,Soul (2020),ESTP,1.3k Pdb Votes
35,Rain Ocampo,Resident Evil,ESTP,50 Pdb Votes
36,Alonzo Harris,Training Day (2001),ESTP,382 Pdb Votes
37,"Lt. Pete ""Maverick"" Mitchell",Top Gun Series,ESTP,565 Pdb Votes
38,Dimitri,Anastasia (1997),ESTP,579 Pdb Votes
39,John Bender,The Breakfast Club (1985),ESTP,1.1k Pdb Votes
40,Buzz Lightyear,Toy Story (Franchise),ESTP,1k Pdb Votes
41,Christian,Resident Evil,ESTP,6 Pdb Votes
42,Soldier,Civil War (2024),ESTP,10 Pdb Votes
43,Sten,Terkel in Trouble (Terkel i knibe; 2004),XXXX,36 Pdb Votes
44,Seth,Superbad (2007),ESTP,336 Pdb Votes
45,Henry Bowers,It (2017),ESTP,310 Pdb Votes
46,Calvin J. Candie,Django Unchained (2012),ESTP,491 Pdb Votes
47,Experiment 626/ Stitch,Lilo & Stitch (Franchise),ESTP,641 Pdb Votes
48,Kai,Rebel Moon (Franchise),ESTP,48 Pdb Votes
49,Farleigh Start,Saltburn,ESTP,305 Pdb Votes
50,Gogo Yubari,Kill Bill (2003),ESTP,538 Pdb Votes
51,Betelgeuse,Beetlejuice (1988),ESTP,419 Pdb Votes
52,Jabba the Hutt,Star Wars,ESTP,329 Pdb Votes
53,Gimli,The Lord of the Rings (Film Trilogy),ESTP,513 Pdb Votes
54,Tom Ryder,The Fall Guy (2024),ESTP,9 Pdb Votes
55,PJ,Bottoms,ESTP,307 Pdb Votes
56,Steve,Fresh (2022),ESTP,211 Pdb Votes
57,Costa,Project X,ESTP,91 Pdb Votes
58,Eddie King,Deadfall,ESTP,10 Pdb Votes
59,James Bond (Brosnan),James Bond Film Series,ESTP,206 Pdb Votes
60,Howard Ratner,Uncut Gems (2019),ESTP,336 Pdb Votes
61,Spence Parks,Resident Evil,ESTP,11 Pdb Votes
62,Joey Donner,10 Things I Hate About You (1999),ESTP,312 Pdb Votes
63,Spirit,Spirit: Stallion of the Cimarron (2002),ESTP,375 Pdb Votes
64,Jack Frost,Rise of the Guardians (2012),ESTP,1.3k Pdb Votes
65,Lily / The Black Swan,Black Swan (2010),ESTP,1k Pdb Votes
66,John Smith,Pocahontas (1995),ESTP,238 Pdb Votes
67,Vinz,La Haine (1995),ESTP,280 Pdb Votes
68,Lestat de Lioncourt,Interview with the Vampire (1994),ESTP,589 Pdb Votes
69,Randle McMurphy,One Flew Over the Cuckoo's Nest (1975),ESTP,359 Pdb Votes
70,Francis Begbie,Trainspotting (1996),ESTP,362 Pdb Votes
71,Heather Duke,Heathers (1989),ESTP,663 Pdb Votes
72,Owen Grady,Jurassic Park / Jurassic World (Film Franchise),ESTP,294 Pdb Votes
73,Oscar Madison,The Odd Couple (1968),ESTP,4 Pdb Votes
74,Rana Singh,Monkey Man (2024),ESTP,12 Pdb Votes
75,Scott Hoager,Bridge to Terabithia (2007),XXXX,10 Pdb Votes
76,Knox,Road House (2024),ESTP,74 Pdb Votes
77,Yoji Akitsu,Godzilla Minus One,ESTP,27 Pdb Votes
78,Reggie Dunlop,Slap Shot (1977),ESTP,20 Pdb Votes
79,Maddie Barker,No Hard Feelings (2023),ESTP,247 Pdb Votes
80,"James ""Sulley"" Sullivan (Monsters University)",Monsters University (2013),ESTP,56 Pdb Votes
81,Zeus,Walt Disney's Fantasia (1940),XXXX,9 Pdb Votes
82,Jung Tae-suk,"The Gangster, the Cop, the Devil",ESTP,21 Pdb Votes
83,Ghidorah's Second Head (Ni),MonsterVerse,ESTP,30 Pdb Votes
84,"""Beast"" Rabban Harkonnen",Dune (2021),ESTP,136 Pdb Votes
85,Fred Jones,Scooby-Doo (2002),ESTP,228 Pdb Votes
86,Benjamin Barry,How to Lose a Guy in 10 days,ESTP,120 Pdb Votes
87,Marv,Sin City (franchise),ESTP,68 Pdb Votes
88,Brad Bodnick,The Wolf of Wall Street (2013),ESTP,66 Pdb Votes
89,"Lt. Col. William ""Bill"" Kilgore",Apocalypse Now (1979),ESTP,123 Pdb Votes
90,Cheyenne,Once Upon a Time in the West (1968),ESTP,46 Pdb Votes
91,Charlie Sisters,The Sisters Brothers (2018),ESTP,40 Pdb Votes
92,Julian Albans,Wonder (2017),ESTP,122 Pdb Votes
93,Sid,Flushed Away (2006),XXXX,83 Pdb Votes
94,Hallie Parker,The Parent Trap (1998),ESTP,328 Pdb Votes
95,Stanley Kowalski,A Streetcar Named Desire (1951),ESTP,216 Pdb Votes
96,Ted,Ted,ESTP,246 Pdb Votes
97,Sgt. Sean Dignam,The Departed (2006),ESTP,146 Pdb Votes
98,Tanya,Mamma Mia! (2008),ESTP,139 Pdb Votes
99,Chad Danforth,High School Musical (Film Trilogy),ESTP,263 Pdb Votes
100,Frank “Tony Lip” Vallelonga,Green Book (2018),ESTP,205 Pdb Votes
101,King Fergus,Brave (2012),ESTP,238 Pdb Votes
102,Johanna Mason,The Hunger Games (Franchise),ESTP,819 Pdb Votes
103,"Frank ""Daddy"" Booth",Blue Velvet (1986),ESTP,138 Pdb Votes
104,Nick Dunne,Gone Girl (2014),ESTP,776 Pdb Votes
105,Charles Lee Ray “Chucky”,Chucky,ESTP,468 Pdb Votes
106,Tramp,Lady and the Tramp (1955),ESTP,291 Pdb Votes
107,Robert “Rusty” Ryan,Ocean's Eleven Trilogy,ESTP,145 Pdb Votes
108,Lando Calrissian,Star Wars,ESTP,420 Pdb Votes
109,"Commander Paul ""Bus""",The Americanization of Emily (1964),ESTP,2 Pdb Votes
110,William,Upgraded (2024),ESTP,22 Pdb Votes
111,Thomas,Arcadian (2024),ESTP,6 Pdb Votes
112,Lazarus,The Beekeeper (2024),ESFP,7 Pdb Votes
113,Navid Ashiri,Gonahe Fereshteh (Fereshteh's Sin),ESTP,15 Pdb Votes
114,Жанна Марченко,"Все умрут, а я останусь (2008)",ESTP,5 Pdb Votes
115,Archie Sandford,Leave the World Behind,ESTP,31 Pdb Votes
116,CC Walker,Family Switch,ESTP,67 Pdb Votes
117,Tama,The Lion King (Franchise),XXXX,2 Pdb Votes
118,Miles,Project X,ESTP,8 Pdb Votes
119,Mighty steel leg Sing,Shaolin soccer,ESTP,38 Pdb Votes
120,Han Su Kang,Brave Citizen (2023),ESTP,20 Pdb Votes
121,Valentina,Saw Series (2004),ESTP,69 Pdb Votes
122,Dax,Migration (2023),XXXX,44 Pdb Votes
123,Slick Charles,They Cloned Tyrone (2023),ESTP,38 Pdb Votes
124,Charlie Rawlins,Bedknobs and Broomsticks (1971),ESTP,4 Pdb Votes
125,Nicholas (Nick) Liester,Culpa mía (My Fault) 2023,ESTP,88 Pdb Votes
126,Brandon,Megan (2023),ESTP,44 Pdb Votes
127,Donkey Kong,The Super Mario Bros. Movie (2023),ESTP,464 Pdb Votes
128,Duke Cody,Glass Onion: A Knives Out Mystery (2022),ESTP,118 Pdb Votes
129,Hornet,Bullet Train,ESTP,65 Pdb Votes
130,Ugly Sonic,Sonic the Hedgehog (Film Series),ESTP,49 Pdb Votes
131,Richie,The Outfit,ESTP,25 Pdb Votes
132,Benjy,How to Eat Fried Worms (2006),XXXX,3 Pdb Votes
133,"""The Guy""",Spy Kids (2001),ESTP,24 Pdb Votes
134,Hannibal Chau,Pacific Rim (2013),XXXX,23 Pdb Votes
135,Azrael,The Smurfs (2011),ESTP,11 Pdb Votes
136,Brian,Carriers (2009),ESTP,4 Pdb Votes
137,Nick Spitz,Murder Mystery (2019),ESTP,50 Pdb Votes
138,Zafar,Kalank (2019),ESTP,13 Pdb Votes
139,Scat Cat,The Aristocats (1970),XXXX,14 Pdb Votes
140,Rick Mitchell,The Mitchells vs. the Machines (2021),ESTP,578 Pdb Votes
141,Donny Berger,That’s My Boy,ESTP,25 Pdb Votes
142,Kyle Kingson,Beastly (2011),ESTP,30 Pdb Votes
143,Raphael,Teenage Mutant Ninja Turtles (2014),ESTP,166 Pdb Votes
144,Gigan,MonsterVerse,ESTP,32 Pdb Votes
145,Sterling,I Believe in Unicorns,ESTP,61 Pdb Votes
146,Nessus the River Centaur,Hercules (franchise),ESTP,12 Pdb Votes
147,Major Jack Strafer Celliers,"Merry Christmas, Mr. Lawrence",ESTP,75 Pdb Votes
148,Elvira,Elvira: Mistress of the Dark (1988),ESTP,195 Pdb Votes
149,Olivia Castle,Final Destination 5 (2011),XXXX,45 Pdb Votes
150,Jack,She's Out of My League,XXXX,3 Pdb Votes
151,Cynthia Bishop,"sex, lies, and videotape",ESTP,25 Pdb Votes
152,Jake LaMotta,Raging Bull (1980),ESTP,179 Pdb Votes
153,Buford “Mad Dog” Tannen,Back to the Future (Series),ESTP,65 Pdb Votes
154,Brenda,The Maze Runner (Film Trilogy),ESTP,138 Pdb Votes
155,Joaquín Mondragon,The Book of Life (2014),ESTP,74 Pdb Votes
156,Trimagasi,The Platform / El Hoyo (2020),ESTP,147 Pdb Votes
157,Lampwick,Pinocchio (1940),ESTP,71 Pdb Votes
158,James Bond (Moore),James Bond Film Series,ESTP,80 Pdb Votes
159,Sky,Mamma Mia! (2008),ESTP,67 Pdb Votes
160,Stewart,Terkel in Trouble (Terkel i knibe; 2004),ESTP,29 Pdb Votes
161,Harry Tasker,True Lies ( 1994),ESTP,13 Pdb Votes
162,Lacey Underall,Caddyshack (1980),XXXX,4 Pdb Votes
163,Rasputia Latimore,Norbit (2007),ESTP,276 Pdb Votes
164,Alex,Dunkirk (2017),ESTP,53 Pdb Votes
165,Connie Nikas,Good Time (2017),ESTP,344 Pdb Votes
166,Hugh Ransom Drysdale,Knives Out (2019),ESTP,668 Pdb Votes
167,Carroll Shelby,Ford v Ferrari / Le Mans '66 (2019),ESTP,90 Pdb Votes
168,Odile,Barbie of Swan Lake (2003),ESTP,58 Pdb Votes
169,Zé Pequeno,City of God (2002),ESTP,353 Pdb Votes
170,Mark Wylde,Hot Wheels World Race / AcceleRacers,ESTP,50 Pdb Votes
171,Guy Woodhouse,Rosemary’s Baby (1968),ESTP,59 Pdb Votes
172,Tallahassee,Zombieland (Franchise),ESTP,217 Pdb Votes
173,Jay,Descendants (Franchise),ESTP,259 Pdb Votes
174,Mark,Midsommar (2019),ESTP,266 Pdb Votes
175,Mickey O'Neil,Snatch (2000),ESTP,103 Pdb Votes
176,Watto,Star Wars,ESTP,98 Pdb Votes
177,Bossk,Star Wars,ESTP,41 Pdb Votes
178,John Fitzgerald,The Revenant (2015),ESTP,73 Pdb Votes
179,F*cksh*t,Mid90s (2018),ESTP,119 Pdb Votes
180,Lisa,The Room (2003),ESTP,169 Pdb Votes
181,Nicky Santoro,Casino (1995),ESTP,137 Pdb Votes
182,Danny Zuko,Grease (1978),ESTP,289 Pdb Votes
183,Tatum Riley,Scream (Franchise),ESTP,555 Pdb Votes
184,Zeus,Hercules (franchise),ESTP,133 Pdb Votes
185,Martin Riggs,Lethal Weapon (Movie Series),ESTP,55 Pdb Votes
186,Carson Wells,No Country for Old Men (2007),ESTP,125 Pdb Votes
187,George Miller,The Butterfly Effect (2004),ESTP,21 Pdb Votes
188,Tommy Miller,The Butterfly Effect (2004),ESTP,51 Pdb Votes
189,Shank,Wreck-It Ralph (Franchise),ESTP,200 Pdb Votes
190,Lindsay Edgecombe,Before I Fall (2017),ESTP,77 Pdb Votes
191,Oh Dae-su,Oldboy (2003) (올드보이),ESTP,323 Pdb Votes
192,Nino,Drive (2011),ESTP,79 Pdb Votes
193,Mr. John Smith,Mr. & Mrs. Smith (2005),ESTP,226 Pdb Votes
194,"Elle Driver ""California Mountain Snake""",Kill Bill (2003),ESTP,315 Pdb Votes
195,August Walker,Mission: Impossible (Franchise),ESTP,126 Pdb Votes
196,Ernesto de la Cruz,Coco (2017),ESTP,589 Pdb Votes
197,Jack Torrance,The Shining (1980),ESTP,636 Pdb Votes
198,Lucius Best “Frozone”,The Incredibles (Franchise),ESTP,434 Pdb Votes
199,Captain Phoebus,The Hunchback of Notre Dame (1996),ESTP,242 Pdb Votes
200,March Hare,Alice in Wonderland (1951),ESTP,131 Pdb Votes
201,Letty Ortiz,The Fast and the Furious (Film Franchise),ESTP,195 Pdb Votes
202,Dr. Gonzo,Fear and Loathing in Las Vegas (1998),ESTP,100 Pdb Votes
203,Juror #7,12 Angry Men (1957),ESTP,227 Pdb Votes
204,Poe Dameron,Star Wars,ESTP,598 Pdb Votes
205,Biff Tannen,Back to the Future (Series),ESTP,447 Pdb Votes
206,Ruffnut Thorston,How to Train Your Dragon (Franchise),ESTP,277 Pdb Votes
207,Snotlout Jorgenson,How to Train Your Dragon (Franchise),ESTP,279 Pdb Votes
208,Laurent,Café de Flore,XXXX,1 Pdb Vote
209,Simon Phillips,Impulse (2008),ESTP,3 Pdb Votes
210,Zak Gibbs,Clockstoppers (2002),XXXX,1 Pdb Vote
211,Robert J. Pearson,The Case of Itaewon Homicide,ESTP,5 Pdb Votes
212,Jafar,Descendants (Franchise),XXXX,1 Pdb Vote
213,Tom Newcliffe,The Beast Must Die (1974),ESTP,10 Pdb Votes
214,Doc Hopper,The Muppet Movie (1979),ESTP,2 Pdb Votes
215,Big Ed,White Heat (1949),XXXX,1 Pdb Vote
216,Stanley Jobson,Swordfish (2001),XXXX,1 Pdb Vote
217,Torch,Puppet Master,XXXX,1 Pdb Vote
218,Brom Van Brunt,Sleepy Hollow (1999),XXXX,1 Pdb Vote
219,Mr. Suby,The Final Destination (2009),XXXX,1 Pdb Vote
220,Necati,Yazgı(2001),ESTP,4 Pdb Votes
221,Roch Theriault,Savage Messiah (2002),ESTP,10 Pdb Votes
222,Tony,Lord of the Flies (1990),XXXX,1 Pdb Vote
223,Will,Lord of the Flies (1990),XXXX,1 Pdb Vote
224,Paulie Pintero,Enemy of the state,XXXX,1 Pdb Vote
225,Eddie Sackman,Ripper (2001),XXXX,1 Pdb Vote
226,Snowman,Robot Dreams,ESTP,2 Pdb Votes
227,Shivakumar,Abraham Ozler (2024),ESTP,2 Pdb Votes
228,Douche,500 Days of Summer (2009),ESTP,2 Pdb Votes
229,Kutty,Aavesham (2024),ESTP,2 Pdb Votes
230,Bandit,Smokey and the Bandit,ESTP,10 Pdb Votes
231,Gilly Martin,In a Valley of Violence,ESTP,2 Pdb Votes
232,Ward,Gunshy (1998),XXXX,1 Pdb Vote
233,Paul Martel,Unfaithful (2002),XXXX,1 Pdb Vote
234,Guntoro,Get Married (Franchise),ISFP,1 Pdb Vote
235,Kimura,Outrage,ESTP,10 Pdb Votes
236,Mizuno,Outrage,ESTP,10 Pdb Votes
237,Harold Brown,Exotica (1994),ISTP,2 Pdb Votes
238,Bernardo,O Lobo Atrás Da Porta (2013),ESTP,5 Pdb Votes
239,Boxer,Victoria (2015),XXXX,1 Pdb Vote
240,Mariví,Chance (2009),ENTJ,2 Pdb Votes
241,Io,Escape From Planet Earth,XXXX,1 Pdb Vote
242,Corinne,Sitting in Bars with Cake (2023),ESTP,2 Pdb Votes
243,Adolfo ,Tin & Tina,ESTP,6 Pdb Votes
244,Trevor Gooden,Hellraiser,XXXX,1 Pdb Vote
245,Nico Bradley,Hellraiser,XXXX,1 Pdb Vote
246,Tiamat,Godzilla x Kong: The New Empire (2024),ESTP,13 Pdb Votes
247,Pete Brenner,Pain Hustlers (2023),ESTP,2 Pdb Votes
248,Lt. Col. Thomas Devoe,The Peacemaker (1997),ESTP,2 Pdb Votes
249,Kopeikin,Journey into Fear (1943),ESTP,8 Pdb Votes
250,Tycho,Orion and the Dark (2024),XXXX,1 Pdb Vote
251,Johnny Cage,Mortal Kombat (2021 film),XXXX,1 Pdb Vote
252,Pushparaju,Pushpa,ESTP,10 Pdb Votes
253,Do Chang-hak,Asura: The City of Madness,ESTJ,1 Pdb Vote
254,Father Doug Williams,A Haunted House (2013),ISTP,7 Pdb Votes
255,Boar (villain),Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
256,Light,Orion and the Dark (2024),ESTP,10 Pdb Votes
257,Jimmy,Wreck-It Ralph (Franchise),ESTP,6 Pdb Votes
258,Турбо,Слово пацана. Кровь на асфальте / Slovo patsana,ESTP,98 Pdb Votes
259,Evan,Thanksgiving (2023),ESTP,10 Pdb Votes
260,Prince Tommy,Barbie As Rapunzel (2002),ESTP,3 Pdb Votes
261,Rok,4Kings,ESTP,31 Pdb Votes
262,Amnesia,Ofis Akademia,ESTP,14 Pdb Votes
263,Bleacher,Wonka (2023 Movie),ESTP,21 Pdb Votes
264,Randy Finkle,Totally Killer (2023),ESTP,14 Pdb Votes
265,Paul,Fair Play (2023),ESTP,15 Pdb Votes
266,Pepito,Madeline (1998),XXXX,1 Pdb Vote
267,Vivian,Fitting In (2023),ESTP,2 Pdb Votes
268,Choi Pro,Ballerina (2023),ESTP,44 Pdb Votes
269,Billy Brubaker,Summer Catch,XXXX,1 Pdb Vote
270,Bobby Swift,Cars (Franchise),ESTP,11 Pdb Votes
271,Marty Wolf,Big Fat Liar (2002),ESTP,6 Pdb Votes
272,Mr. Whiskers,The Voices (2014),ESTP,6 Pdb Votes
273,Mario,The Wages of Fear,ESTP,5 Pdb Votes
274,Uncle Mitya (дядя Митя),Love and Pigeons (Любовь и голуби),XXXX,4 Pdb Votes
275,Templeton the Rat,Charlotte's Web,ESTP,11 Pdb Votes
276,Dim,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
277,"Sir Thoddeus ""Todd"" Sureblade",Nimona (2023),ESTP,81 Pdb Votes
278,Lloyd Abbott,Inventing the Abbotts (1997),ESTP,5 Pdb Votes
279,Goose,Vacations of Petrov and Vasechkin (1984),ESTP,7 Pdb Votes
280,John L. Bridges,Heaven's Gate (1980),XXXX,1 Pdb Vote
281,Harry Street,The Snows of Kilimanjaro (1952),ISTP,1 Pdb Vote
282,Signor Ugarte,Casablanca (1942),ESTP,5 Pdb Votes
283,Clifford Kellogg,Asteroid City,ESTP,40 Pdb Votes
284,Mr. G,Bottoms,ESTP,14 Pdb Votes
285,Kyle Williams,Legion (2010),ESTP,11 Pdb Votes
286,Sam Gillman,"Ruby Gillman, Teenage Kraken (2023)",ESTP,16 Pdb Votes
287,Ed Munn,Stella Dallas (1937),XXXX,1 Pdb Vote
288,Bantu,Ala Vaikunthapurramuloo (2020),ESTP,12 Pdb Votes
289,Young Macintosh,Brave (2012),ESTP,17 Pdb Votes
290,Vilmer Slaughter,The Texas Chainsaw Massacre (Franchise),ESTP,21 Pdb Votes
291,Donald J. Trump,Home Alone,ESTP,38 Pdb Votes
292,Jason Stevens,The Ultimate Gift (2006),ESTP,2 Pdb Votes
293,Raphael,Teenage Mutant Ninja Turtles: Mutant Mayhem,ESTP,146 Pdb Votes
294,Stalingrad,EMESIS BLUE,ESTP,21 Pdb Votes
295,Lina Smit,The Brothers Grimsby (2016),ESTP,3 Pdb Votes
296,Calvin,Litle Man - (2006),ESTP,7 Pdb Votes
297,Esteban Vihaio,Kill Bill (2003),ESTP,12 Pdb Votes
298,Alien Child,Her (2013),ESTP,19 Pdb Votes
299,Naser akbari (aghaJoon),Once upon a time on Mars (روزی روزگاری در مریخ),ESTP,17 Pdb Votes
300,Piper,Drive Angry (2011),ESTP,4 Pdb Votes
301,Rocky the Raccoon,The Incredibles (Franchise),ESTP,4 Pdb Votes
302,ICE,High and Low,ESTP,14 Pdb Votes
303,Jake,Bones and All,ESTP,19 Pdb Votes
304,Joe,Killer Klowns from Outer Space (1988),XXXX,1 Pdb Vote
305,Spikey,Killer Klowns from Outer Space (1988),XXXX,5 Pdb Votes
306,Rival Ken,Barbie (2023),ESTP,138 Pdb Votes
307,Ethan,Ice Age (Franchise),ESTP,21 Pdb Votes
308,Yuken Odajima (killer from housen),High and Low,ESTP,22 Pdb Votes
309,Baek Hyun-Jin,20th Century Girl (2022),ESTP,94 Pdb Votes
310,Vinnie Genzianna,"Hey, Good Lookin' (1982)",ESTP,38 Pdb Votes
311,AJ Gilbride,Barbarian (2022),ESTP,118 Pdb Votes
312,Paul Krendler,Hannibal (2001),ESTP,7 Pdb Votes
313,Bill Boss,The Human Centipede,ESTP,30 Pdb Votes
314,Köfte Necmi,Çakallarla Dans,XXXX,3 Pdb Votes
315,Han Chi-Won,A Violent Prosecutor,ESTP,26 Pdb Votes
316,Vance Hopper,The Black Phone,ESTP,116 Pdb Votes
317,Lloyd Hansen,The Gray Man,ESTP,222 Pdb Votes
318,Tero,Hatching,ESTP,12 Pdb Votes
319,Yong Du,The Witch: Part 2. The Other One,ESTP,5 Pdb Votes
320,Prince,Happily N'Ever After,ESTP,12 Pdb Votes
321,Adorabeezle Winterpop,Wreck-It Ralph (Franchise),ESTP,18 Pdb Votes
322,Kheng,My True Friend (2012),ESTP,13 Pdb Votes
323,"Nick ""Big Nick"" O'Brien",Den of Thieves,ESTP,35 Pdb Votes
324,Ben Ali Gator,Walt Disney's Fantasia (1940),ESTP,6 Pdb Votes
325,José Luis Torrente,"Torrente, el brazo tonto de la ley",ESTP,20 Pdb Votes
326,Sofía Ibar ''La manchada '' ,Perras 2011,ESTP,23 Pdb Votes
327,David,Bodies Bodies Bodies,ESTP,60 Pdb Votes
328,Aleksander Lubomirski,Suicide Room (2011) (Sala Samobójców),ESTP,29 Pdb Votes
329,Kate,The Weekend Away,ESTP,34 Pdb Votes
330,Wayne Gilroy,X (2022),ESTP,108 Pdb Votes
331,Jackson Hole,X (2022),ESTP,92 Pdb Votes
332,"Samuel ""Sam"" Drake",Uncharted (2022),ESTP,24 Pdb Votes
333,Tom Powers,The Public Enemy (1931),ESTP,2 Pdb Votes
334,Ruka Aizawa,Crows Zero (2007),ESFP,12 Pdb Votes
335,Sharon Ames,Gone,XXXX,1 Pdb Vote
336,Shinichiro Kosawa,One Cut of the Dead,ESTP,6 Pdb Votes
337,Harumi Higurashi,One Cut of the Dead,ESTP,4 Pdb Votes
338,Cyborg,Climax (2018),ESTP,4 Pdb Votes
339,Big Bear,Ong Bak: The Thai Warrior,ESTP,12 Pdb Votes
340,Humlae / Yacht,Ong Bak: The Thai Warrior,ESTP,5 Pdb Votes
341,Marcus,Bad Santa (2003- 2016),ESTP,17 Pdb Votes
342,Locke,In The Shadow Of The Moon (2019),ESTP,4 Pdb Votes
343,Tyler Nguyen-Baker,Turning Red (2022),ESTP,350 Pdb Votes
344,Julith,Dofus the Movie: Julith,ESTP,13 Pdb Votes
345,Lizzy,The Story of My Wife (2021),ESTP,3 Pdb Votes
346,Brad Cage,Army of the Dead / Army of Thieves (2021),ESTP,17 Pdb Votes
347,Travis,Beautiful Disaster,ESTP,29 Pdb Votes
348,Антон Мартынов,Univer. New Dorm,ESTP,72 Pdb Votes
349,Dusty Mayron,Daddy's Home,ESTP,75 Pdb Votes
350,Gutsy Smurf,The Smurfs (2011),ESTP,5 Pdb Votes
351,Kevin,Fred: The Movie,ESTP,11 Pdb Votes
352,Frank Wheeler,Revolutionary Road (2008),ESTP,14 Pdb Votes
353,Jin-tae,Mother (2009 Madeo),ESTP,13 Pdb Votes
354,Theo,Escape Room (2019),ESTP,23 Pdb Votes
355,Lord of Da Bling,Let it Shine,ESTP,23 Pdb Votes
356,Jesse Arista,Paranormal Activity,ESTP,8 Pdb Votes
357,Bombshell,Free Guy (2021),ESTP,18 Pdb Votes
358,Taylan,Recep İvedik 4,ESTP,10 Pdb Votes
359,Moreno,Training Day (2001),ESTP,2 Pdb Votes
360,"Lt. Jake ""Hangman"" Seresin",Top Gun Series,ESTP,205 Pdb Votes
361,Rotxo,Avatar (Franchise),ESTP,71 Pdb Votes
362,Aonung,Avatar (Franchise),ESTP,86 Pdb Votes
363,Hubert Bonisseur de la Bath,OSS 117,ESTP,43 Pdb Votes
364,Yesica,Perfume de violetas,ESTP,21 Pdb Votes
365,Nadia Monroy,The Final Destination (2009),ESTP,4 Pdb Votes
366,Dandy Crow,Dumbo (1941),ESTP,15 Pdb Votes
367,Steve Huberbrecht,August: Osage County (2013),ESTP,4 Pdb Votes
368,The Fan,Titane (2021),ESTP,2 Pdb Votes
369,Highway Patrolman,Fear and Loathing in Las Vegas (1998),ESTP,6 Pdb Votes
370,Riff,West Side Story (2021),ESTP,113 Pdb Votes
371,"Teddy ""Theodore Roosevelt"" Brewster",Arsenic and Old Lace,ESTP,13 Pdb Votes
372,Seymour,Happy Feet (2006-2011),ESTP,3 Pdb Votes
373,Tina Kapoor,Mujhse Dosti Karoge!,ESTP,21 Pdb Votes
374,Shaw,Open Season (2006),ESTP,90 Pdb Votes
375,Drake Stone,The Sorcerer’s Apprentice (2010),ESTP,8 Pdb Votes
376,Skylar Lewis,Girl vs. Monster(2012),ESTP,18 Pdb Votes
377,"Hugo ""Hache"" Olivera",Three Steps Above Heaven (Tres metros sobre el cielo),ESTP,68 Pdb Votes
378,Greta Keene,It (2017),ESTP,51 Pdb Votes
379,Dolph,But I'm a Cheerleader (1999),ESTP,11 Pdb Votes
380,Thneed,The Lorax (2012),ESTP,66 Pdb Votes
381,Lola,Transporter 2,ESTP,9 Pdb Votes
382,Griff Tannen,Back to the Future (Series),ESTP,51 Pdb Votes
383,Takanawa,Wasabi,ESTP,3 Pdb Votes
384,Nicky,Mikey and Nicky,ESTP,15 Pdb Votes
