,char,movie,mbti,votes
102,Roberto Nascimento (Capitão Nascimento),Tropa de Elite (Franchise),ESTJ,396 Pdb Votes
103,Earl Devereaux,Cloudy with a Chance of Meatballs (2009),ESTJ,156 Pdb Votes
104,The Coachman,Pinocchio (1940),ESTJ,79 Pdb Votes
105,Stromboli,Pinocchio (1940),ESTJ,67 Pdb Votes
106,The King,Cinderella (1950),ESTJ,64 Pdb Votes
107,Catherine de Bourgh,Pride and Prejudice (2005),ESTJ,142 Pdb Votes
108,Roz,"Monsters, Inc. (2001)",ESTJ,208 Pdb Votes
109,Colonel Nathan R. Jessup,A Few Good Men (1992),ESTJ,86 Pdb Votes
110,Caroline Bingley,Pride and Prejudice (2005),ESTJ,102 Pdb Votes
111,Linda Drysdale,Knives Out (2019),ESTJ,238 Pdb Votes
112,Henry Ford II,Ford v Ferrari / Le Mans '66 (2019),ESTJ,19 Pdb Votes
113,Staff Sergeant Bob Barnes,Platoon (1986),ESTJ,89 Pdb Votes
114,Hermínia,Minha Mãe é Uma Peça (My Mom Is a Character),ESTJ,378 Pdb Votes
115,Audrey,Descendants (Franchise),ESTJ,404 Pdb Votes
116,Thomas Wake,The Lighthouse (2019),ESTJ,278 Pdb Votes
117,Kelly,K-12 (2019),ESTJ,192 Pdb Votes
118,Gladys Sharp,Over The Hedge (2006),ESTJ,111 Pdb Votes
119,Ken,Bee Movie (2007),ESTJ,121 Pdb Votes
120,Stephen Warren,Django Unchained (2012),ESTJ,237 Pdb Votes
121,Col. Miles Quaritch,Avatar (Franchise),ESTJ,499 Pdb Votes
122,Mary Poppins,Mary Poppins (1964),ESTJ,416 Pdb Votes
123,Captain Smek,Home (2015),ESTJ,47 Pdb Votes
124,Sarge,Cars (Franchise),ESTJ,71 Pdb Votes
125,Dorothy Vaughan,Hidden Figures (2016),ESTJ,75 Pdb Votes
126,Guy de Lusignan,Kingdom of Heaven (2005),ESTJ,39 Pdb Votes
127,Chief Powhatan,Pocahontas (1995),ESTJ,117 Pdb Votes
128,John Frazier,Ocean's 8 (2018),ESTJ,11 Pdb Votes
129,Jewel,Rio (2011),ESTJ,514 Pdb Votes
130,"John ""Teddy"" Gammell",Memento (2000),ESTJ,99 Pdb Votes
131,Chozen Toguchi,The Karate Kid (Franchise),ESTJ,56 Pdb Votes
132,Rosalie Hale,Twilight (Franchise),ESTJ,505 Pdb Votes
133,Éomer,The Lord of the Rings (Film Trilogy),ESTJ,179 Pdb Votes
134,Flora,Sleeping Beauty (1959),ESTJ,190 Pdb Votes
135,King Triton,The Little Mermaid (1989),ESTJ,334 Pdb Votes
136,Terry Benedict,Ocean's Eleven Trilogy,ESTJ,101 Pdb Votes
137,Captain Vidal,Pan's Labyrinth (2006) (El laberinto del fauno),ESTJ,164 Pdb Votes
138,Lord Farquaad,Shrek (Franchise),ESTJ,628 Pdb Votes
139,William Brandt,Mission: Impossible (Franchise),ESTJ,78 Pdb Votes
140,Colonel Hathi,The Jungle Book (1967),ESTJ,53 Pdb Votes
141,High Chancellor Sutler,V for Vendetta (2005),ESTJ,154 Pdb Votes
142,Alby,The Maze Runner (Film Trilogy),ESTJ,96 Pdb Votes
143,Stoick the Vast,How to Train Your Dragon (Franchise),ESTJ,441 Pdb Votes
144,Barbara,All the Colors of the Dark (1972),XXXX,1 Pdb Vote
145,Speed,The Odd Couple (1968),ESTJ,2 Pdb Votes
146,Bennington,The Beast Must Die (1974),ESTJ,10 Pdb Votes
147,Heinrich Luhr,The Ministry of Ungentlemanly Warfare (2024),ESTJ,2 Pdb Votes
148,Varun Pratap Malhotra,Animal Movie,XXXX,2 Pdb Votes
149,Chuck Cedar,Mr. Deeds (2002),ESTP,5 Pdb Votes
150,Jan,Mr. Deeds (2002),ESTJ,5 Pdb Votes
151,Georgie Majors,Barbie in A Mermaid Tale 2,XXXX,1 Pdb Vote
152,Miss Mary Stevens,On Moonlight Bay (series),ESTJ,2 Pdb Votes
153,Stacey,Phat Girlz (2006),XXXX,1 Pdb Vote
154,Naim,Yazgı(2001),ESTJ,2 Pdb Votes
155,Tony Ifrit,Sheriff: Narko Integriti,XXXX,1 Pdb Vote
156,Vic Dakin,The Villain (1971),ESTJ,6 Pdb Votes
157,Kodumon Potti,Bramayugam (2024),ESTJ,2 Pdb Votes
158,Sheriff Buford T. Justice,Smokey and the Bandit,ESTJ,10 Pdb Votes
159,Jerry,Gunshy (1998),XXXX,1 Pdb Vote
160,Tiang,Man Suang (2023),XXXX,1 Pdb Vote
161,Maemunah (Mae),Get Married (Franchise),ESTJ,2 Pdb Votes
162,Sheldon Runyon,The Contender (2000),XXXX,1 Pdb Vote
163,Shen Yuelin,Red Corner (1997),XXXX,1 Pdb Vote
164,Evgeny Golikov,Battleship Potemkin (1925),ESTJ,10 Pdb Votes
165,Ippolit Giliarovsky,Battleship Potemkin (1925),ESTJ,10 Pdb Votes
166,Mullah Razzan,12 Strong (2018),ISTJ,2 Pdb Votes
167,Omar,West Beirut (1998),XXXX,1 Pdb Vote
168,Gloria González-Dubois,Chance (2009),ESTJ,2 Pdb Votes
169,The Magistrate,"Salò, or the 120 days of Sodom",ESTJ,6 Pdb Votes
170,Bear Crime Boss,Kung Fu Panda (Franchise),XXXX,1 Pdb Vote
171,The Doctor,Hellraiser,XXXX,1 Pdb Vote
172,Howard Hendricks,The Killer Inside Me (2010),ESTJ,5 Pdb Votes
173,Verona Parker,The Beekeeper (2024),ESTJ,14 Pdb Votes
174,Frank Calhoun,Hot Summer Nights (2017),ESTJ,8 Pdb Votes
175,黎志田 Li Zhitian,坚如磐石 (Under the Light),XXXX,4 Pdb Votes
176,Janet,Lisa Frankenstein (2024),ESTJ,18 Pdb Votes
177,Chump,Migration (2023),ESTJ,21 Pdb Votes
178,Mikhail Alexandrovich Berlioz,The Master and Margarita (2024),ESTJ,5 Pdb Votes
179,Amanda Sandford,Leave the World Behind,ESTJ,93 Pdb Votes
180,"George Steever ""Mr. Brown""",The Taking Of Pelham One Two Three (1974),ESTJ,4 Pdb Votes
181,Ильдар,Слово пацана. Кровь на асфальте / Slovo patsana,ESTJ,48 Pdb Votes
182,отец Вовы и Марата,Слово пацана. Кровь на асфальте / Slovo patsana,ESTJ,22 Pdb Votes
183,Miri,Beauty Water (기기괴괴 성형수),ESTJ,4 Pdb Votes
184,Gabo,Wish (2023),ESTJ,27 Pdb Votes
185,Kisha,A Haunted House (2013),ESTP,7 Pdb Votes
186,Jo,The Wages of Fear,ESTJ,6 Pdb Votes
187,Jane Schmidt,Five Nights at Freddy's (Movie),ESTJ,97 Pdb Votes
188,Shura (баба Шура),Love and Pigeons (Любовь и голуби),ESTJ,4 Pdb Votes
189,Madame Olga Kirowa,Waterloo Bridge,XXXX,1 Pdb Vote
190,Eleanor Abbott,Inventing the Abbotts (1997),ESTJ,9 Pdb Votes
191,Finn Larsen,Challengers (2024),ESTJ,11 Pdb Votes
192,Champion ,Heaven's Gate (1980),ENTJ,1 Pdb Vote
193,Franz Liebkind,The Producers (1967 film),ESTJ,6 Pdb Votes
194,Lorraine Minosa,Ace in the Hole (1951),XXXX,1 Pdb Vote
195,Alfie Blessington,Poor Things,ESTJ,44 Pdb Votes
196,Scourge,Transformers: Rise of the Beasts,ESTJ,49 Pdb Votes
197,Ondina (Vodianytsa),Mavka. The Forest song (2021),ESTJ,6 Pdb Votes
198,Major Calloway ,The Third Man,ESTJ,17 Pdb Votes
199,Jarnathan,Dungeons & Dragons: Honor Among Thieves (2023),ESTJ,14 Pdb Votes
200,Teodora,Perdida (2023),XXXX,1 Pdb Vote
201,Bonnie Rockwaller,Kim Possible (2019),XXXX,2 Pdb Votes
202,Susan Kushner,Ramona and Beezus (2010),ESTJ,10 Pdb Votes
203,Recom. Miles Quaritch,Avatar (Franchise),ESTJ,297 Pdb Votes
204,Ève,A Faithful Man,ESTJ,19 Pdb Votes
205,Commander Bog,Captain EO (1986),ENTJ,2 Pdb Votes
206,David,Megan (2023),ESTJ,54 Pdb Votes
207,Kiyomi Takada,Death Note (2006),ESTJ,2 Pdb Votes
208,Geeta (Gitli),Swades,ESTJ,17 Pdb Votes
209,Miss Agatha Trunchbull,Matilda the Musical (2022 film),ESTJ,135 Pdb Votes
210,Varvara Plyushch,The Diamond Arm (1969),ESTJ,6 Pdb Votes
211,Camille Mother,Leap! / Ballerina (2016),ESTJ,24 Pdb Votes
212,Curtis Mooney,Killer Klowns from Outer Space (1988),ESTJ,10 Pdb Votes
213,King Gristle Sr.,Trolls (2016),XXXX,3 Pdb Votes
214,Foreman Spike,The Super Mario Bros. Movie (2023),ESTJ,35 Pdb Votes
215,Police Captain,Se7en (1995),ESTJ,19 Pdb Votes
216,Augustus Crow III,The Sea Beast,ESTJ,65 Pdb Votes
217,Morteza,Abad va yek rooz(ابد و یک روز),ESTJ,6 Pdb Votes
218,Sylvester Andreevich,Univer. New Dorm,ESTJ,27 Pdb Votes
219,Perry White,Superman Returns (2006),ESTJ,8 Pdb Votes
220,Violet Crawley,Downtown Abbey (2019),ESTJ,16 Pdb Votes
221,The Dream Producer,Inside Out (Franchise),ESTJ,22 Pdb Votes
222,Salih,Cinayet Süsü,ESTJ,3 Pdb Votes
223,Priscilla,Not Another Teen Movie,ESTJ,24 Pdb Votes
224,Francis,The Outfit,ESTJ,7 Pdb Votes
225,Alia Atreides,Dune (1984),ESTJ,19 Pdb Votes
226,Mahavir Singh Phogat,Dangal (2016),ESTJ,28 Pdb Votes
227,Henry McCarty,Old Henry (2021),ESTJ,15 Pdb Votes
228,William Sellers,Tart (2001),ESTJ,2 Pdb Votes
229,Ma Jarrett,White Heat (1949),XXXX,1 Pdb Vote
230,Bert Gordon,The Hustler (1961),ESTJ,8 Pdb Votes
231,Ke-Pa,Kung Fu Panda (Franchise),ESTJ,9 Pdb Votes
232,Artemis Hidalgo,Through My Window (a través de mi ventana),ESTJ,35 Pdb Votes
233,Misty Luggins,The Bad Guys (2022),ESTJ,111 Pdb Votes
234,Marquis Vincent Bisset de Gramont,John Wick,ESTJ,366 Pdb Votes
235,Daruma doll,As the Gods Will,ESTJ,15 Pdb Votes
236,The Matriarch,Dumbo (1941),ESTJ,13 Pdb Votes
237,Vice Admiral Cyclone,Top Gun Series,ESTJ,85 Pdb Votes
238,Lauren,Think Like a Man (2012),ESTJ,19 Pdb Votes
239,Mrs. Astrakhan,Happy Feet (2006-2011),ESTJ,5 Pdb Votes
240,Klaus Koch,Persischstunden（Persian Lessons）,ESTJ,16 Pdb Votes
241,Mr. Perkins,Despicable Me (Franchise),ESTJ,89 Pdb Votes
242,Deb,Tammy (2014),XXXX,3 Pdb Votes
243,George McAllister,Dead Poets Society (1989),ESTJ,24 Pdb Votes
244,Adrien's Mother,Titane (2021),ESTJ,2 Pdb Votes
245,Major Friedkin,Zootopia (2016),ESTJ,25 Pdb Votes
246,Dan,Look Away (2018),ESTJ,17 Pdb Votes
247,Ms. Birdwell,The Emperor's New Groove (2000),ESTJ,26 Pdb Votes
248,Lady 1,The House That Jack Built (2018),ESTJ,33 Pdb Votes
249,Wei Lai,Better Days (2019),ESTJ,55 Pdb Votes
250,Bunny,Don't Worry Darling (2022),ESTJ,76 Pdb Votes
251,"Helge, the father",The Celebration (Dogme 1 : Festen),XXXX,7 Pdb Votes
252,Semyon,Eastern Promises,ESTJ,14 Pdb Votes
253,Dirk van Kombast,The Vampir Schwestern,ESTJ,6 Pdb Votes
254,Ercole Visconti,Luca (2021),ESTJ,414 Pdb Votes
255,Din's Mom,Wish Dragon (2021),ESTJ,43 Pdb Votes
256,LeBron James,Space Jam: A New Legacy,ESTJ,66 Pdb Votes
257,Debbie,Shiva Baby (2020),ESTJ,13 Pdb Votes
258,Lady Sarah Ashley,Australia (2008),ESTJ,5 Pdb Votes
259,Lou,Fight Club (1999),ESTJ,54 Pdb Votes
260,Tapasvi Maharaj,PK (2014),ESTJ,12 Pdb Votes
261,Heather Hills,Diary of a Wimpy Kid (Series),ESTJ,68 Pdb Votes
262,Dara,Rumah Dara (Macabre),ESTJ,4 Pdb Votes
263,Vincent,Vincent N Roxxy (2016),ESTJ,3 Pdb Votes
264,Abigail Sponder,Ocean's Eleven Trilogy,ESTJ,14 Pdb Votes
265,Chef,Tom and Jerry (2021),ESTJ,7 Pdb Votes
266,Colonel Grigio,Warm Bodies (2013),ESTJ,19 Pdb Votes
267,Kingo Gondo,High and Low (1963),ESTJ,14 Pdb Votes
268,Princess Olivia,Barbie in Rock 'N Royals (2015),ESTJ,18 Pdb Votes
269,Lady Anne,Barbie in Rock 'N Royals (2015),ESTJ,15 Pdb Votes
270,Celeste,Celeste and Jesse Forever,ESTJ,10 Pdb Votes
271,Nana,Madagascar (Franchise),ESTJ,81 Pdb Votes
272,Mrs. Grunion,Mr. Peabody & Sherman (2014),ESTJ,32 Pdb Votes
273,Tybalt Capulet,Romeo + Juliet (1996),ESTJ,22 Pdb Votes
274,Colonel Ben Drask,Don’t Look Up (2021),ESTJ,15 Pdb Votes
275,Capt. Linda Greenlaw,The Perfect Storm (2000),ESTJ,8 Pdb Votes
276,Otulissa,Legend of the Guardians: The Owls of Ga'Hoole,ESTJ,18 Pdb Votes
277,Lady Bracknell,The Importance of Being Earnest (2002),ESTJ,3 Pdb Votes
278,Valerie Da Vinci,Despicable Me (Franchise),ESTJ,37 Pdb Votes
279,Linda Thurman,Locked Down (2021),XXXX,6 Pdb Votes
280,Aunt Viv Ashe,Beverly Hills Chihuahua,ESTJ,16 Pdb Votes
281,Billy Garibaldi III,A Recipe for Seduction (2020),ESTJ,6 Pdb Votes
282,Big Red,Bring It On (franchise),ESTJ,25 Pdb Votes
283,Emma Watson,This Is the End (2013),ESTJ,31 Pdb Votes
284,Hector (The Concierge),Home Alone,ESTJ,42 Pdb Votes
285,Meredith Vickers,Prometheus,ESTJ,32 Pdb Votes
286,Once-ler's Mother,The Lorax (2012),ESTJ,37 Pdb Votes
287,Frank McCallister,Home Alone,ESTJ,67 Pdb Votes
288,Barricade,Transformers (Bayverse),ESTJ,39 Pdb Votes
289,Colleen Peck,Morning Glory (2010),ESTJ,3 Pdb Votes
290,Big Boss Baby,Boss Baby (Franchise),ESTJ,12 Pdb Votes
291,Ms. Stout,The Search For Santa Paws,ESTJ,6 Pdb Votes
292,Don Andrés,La Leyenda de la Nahuala,ESTJ,20 Pdb Votes
293,Jack O’Donnell,Argo (2012),ESTJ,12 Pdb Votes
294,The King,Stardust (2007),ESTJ,23 Pdb Votes
295,Miss Gwyneth Harridan,Daddy Day Care (2003),ESTJ,5 Pdb Votes
296,Melissa Kitt,Black Christmas (2006),ESTJ,38 Pdb Votes
297,Dom,The Ritual,ESTJ,19 Pdb Votes
298,Veronica Clarke,Unpregnant (2020),ESTJ,35 Pdb Votes
299,Catherine Ballard,Crash (1996),ESTJ,24 Pdb Votes
300,Rachin,Les Choristes (2004),ESTJ,32 Pdb Votes
301,JC Wiatt,Baby Boom (1987),ESTJ,7 Pdb Votes
302,Nicole Maris,Drive Me Crazy (1999),ESTJ,17 Pdb Votes
303,Balrama,Mahabharat,ESTJ,7 Pdb Votes
304,Miss Harrison,Enola Holmes (2020),ESTJ,66 Pdb Votes
305,Thomas McGregor,Peter Rabbit (franchise),ESTJ,68 Pdb Votes
306,Annie Allerton,The Circle (2017),ESTJ,6 Pdb Votes
307,Lamia,Stardust (2007),ESTJ,35 Pdb Votes
308,Pamela Charron,The Falling,ESTJ,2 Pdb Votes
309,Jim White,McFarland USA,ESTJ,13 Pdb Votes
310,"Isaiah ""Juilliard""",Work It,ESTJ,13 Pdb Votes
311,Abby Richter,The Ugly Truth (2009),ESTJ,56 Pdb Votes
312,Boris Lermontov,The Red Shoes,ESTJ,26 Pdb Votes
313,Woody (Black Friday Reel),Toy Story (Franchise),ESTJ,41 Pdb Votes
314,Ericka Van Helsing,Hotel Transylvania (2012),ESTJ,71 Pdb Votes
315,General X,Foodfight!,ESTJ,7 Pdb Votes
316,Django,Ratatouille (2007),ESTJ,142 Pdb Votes
317,Aleksandr Nevsky,Alexander Nevsky (1938),ESTJ,8 Pdb Votes
318,Mr Jang,Lucy (2014),ESTJ,32 Pdb Votes
319,Claire,The Babadook (2014),ESTJ,4 Pdb Votes
320,Dan Fuller,Zero Dark Thirty (2012),ESTJ,9 Pdb Votes
321,Hernán Cortés,The Road to El Dorado (2000),ESTJ,24 Pdb Votes
322,Captain Bill,The Pacifier (2005),ESTJ,13 Pdb Votes
323,Sultan Mehmed II,Dracula Untold,ESTJ,6 Pdb Votes
324,Bernie Kropp,The Incredibles (Franchise),ESTJ,80 Pdb Votes
325,Charles Dreyfus,The Pink Panther (film series),ESTJ,13 Pdb Votes
326,Big John Brittle,Django Unchained (2012),ESTJ,18 Pdb Votes
327,The Magistrate,Salò o le 120 giornate di Sodoma (1975),ESTJ,17 Pdb Votes
328,The Bishop,Salò o le 120 giornate di Sodoma (1975),ESTJ,21 Pdb Votes
329,George Wilbur,My Cousin Vinny (1992),ESTJ,9 Pdb Votes
330,Manute,Sin City (franchise),ESTJ,12 Pdb Votes
331,Senator Roark,Sin City (franchise),ESTJ,23 Pdb Votes
332,Raquelle,The Barbie Diaries,ESTJ,28 Pdb Votes
333,Volmer,A Cure for Wellness,ESTJ,34 Pdb Votes
334,Consuelo Baxter,The Dollars Trilogy,ESTJ,8 Pdb Votes
335,Thomas Perry,Dead Poets Society (1989),ESTJ,195 Pdb Votes
336,Gene,Wreck-It Ralph (Franchise),ESTJ,40 Pdb Votes
337,Evelyn Adler,Gifted (2017),ESTJ,60 Pdb Votes
338,Neil Craig,Remember Me (2010),ESTJ,3 Pdb Votes
339,Robert McKee,Adaptation (2002),ESTJ,19 Pdb Votes
340,Rosalind Pearson,The Gentlemen (2019),ESTJ,54 Pdb Votes
341,Frank Heffley,Diary of a Wimpy Kid (Series),ESTJ,285 Pdb Votes
342,"Augustus ""Gus"" Strauss",Never Been Kissed (1999),ESTJ,3 Pdb Votes
343,Colonel,One Hundred and One Dalmatians (1961),ESTJ,10 Pdb Votes
344,Aunt Spiker,James and the Giant Peach (1996),ESTJ,5 Pdb Votes
345,Cliff Nelson,Some Kind of Wonderful (1987),ESTJ,2 Pdb Votes
346,Madam Mumblechook,Mary and the Witch's Flower (2017),ESTJ,12 Pdb Votes
347,Harriet Bentley,Wild Child (2008),ESTJ,75 Pdb Votes
348,Landlady of Pig Sty Alley,Kung Fu Hustle (2004),ESTJ,23 Pdb Votes
349,Lucy Wyman,13 going on 30 (2004),ESTJ,107 Pdb Votes
350,Virginia,Misery (1990),XXXX,3 Pdb Votes
351,Georgy Zhukov,The Death Of Stalin (2017),ESTJ,71 Pdb Votes
352,Paula,The 40-Year-Old Virgin (2005),ESTJ,16 Pdb Votes
353,Molly Dunnage,The Dressmaker (2015),ESTJ,11 Pdb Votes
354,Chas Tenenbaum,The Royal Tenenbaums (2001),ESTJ,125 Pdb Votes
355,Aunt March,Little Women (2019),ESTJ,156 Pdb Votes
356,Keller Dover,Prisoners (2013),ESTJ,234 Pdb Votes
357,Ms. Collins,Carrie (1976),ESTJ,74 Pdb Votes
358,Tim,Robots (2005),ESTJ,36 Pdb Votes
359,Duchess Rowena,Barbie In The 12 Dancing Princesses (2006),ESTJ,82 Pdb Votes
360,Doctor Barry,Maurice (1987),ESTJ,5 Pdb Votes
361,Jason Lock,The Matrix Trilogy,ESTJ,73 Pdb Votes
362,Mr. Electric,The Adventures of Sharkboy and Lavagirl (2005),ESTJ,46 Pdb Votes
363,Bryan,Happy Feet (2006-2011),ESTJ,14 Pdb Votes
364,Noah,Happy Feet (2006-2011),ESTJ,16 Pdb Votes
365,The Colonel,Spirit: Stallion of the Cimarron (2002),ESTJ,78 Pdb Votes
366,Joe Cabot,Reservoir Dogs (1992),ESTJ,141 Pdb Votes
367,The Principal,K-12 (2019),ESTJ,52 Pdb Votes
368,Kim Chung-sook,Parasite (2019),ESTJ,284 Pdb Votes
369,Park Dong-ik,Parasite (2019),ESTJ,369 Pdb Votes
370,Bartemius “Barty” Crouch Sr.,Harry Potter / Wizarding World Films,ESTJ,128 Pdb Votes
