,person_id,person_mbti,character,movie,genre_ids,movie_id,movie_popularity,movie_vote_avg,movie_year,char_mbti
24,2,INFP,Willy Wonka,Willy Wonka & the Chocolate Factory,"[10751, 14, 35]",252,71.783,7.503,1971,ENTP
25,2,INFP,Remus Lupin,Harry Potter and the Philosopher's Stone,"[12, 14]",671,169.942,7.913,2001,INFJ
26,2,INFP,WALL.E,WALL·E,"[16, 10751, 878]",10681,131.522,8.1,2008,INFP
27,2,INFP,Waymond Wang,Everything Everywhere All at Once,"[28, 12, 878]",545611,86.993,7.791,2022,INFP
28,2,INFP,Morticia,The Addams Family,"[10751, 16, 35, 14]",481084,50.635,6.623,2019,INFJ
29,3,ENFJ,Wanda,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,INFP
30,3,ENFJ,Joy,Inside Out,"[16, 10751, 12, 18, 35]",150540,331.396,7.914,2015,ENFJ
31,3,ENFJ,Jack,Titanic,"[18, 10749]",597,134.948,7.905,1997,ESFP
32,3,ENFJ,Grace Le domas,Ready or Not,"[35, 27, 53]",567609,209.609,7.059,2019,ESFP
33,4,INTP,Naomi Misora,Death Note,"[14, 9648, 53]",16007,25.649,7.034,2006,ISFJ
34,4,INTP,Yoriichi Tsugikuni,Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,"[16, 28, 14]",1216221,425.147,6.287,2024,INFJ
35,4,INTP,Amy,Gone Girl,"[9648, 53, 18]",210577,117.391,7.892,2014,INFJ
37,5,INTJ,Batman,Batman v Superman: Dawn of Justice,"[28, 12, 14]",209112,70.935,5.967,2016,INTJ
38,5,INTJ,Tony Stark,Iron Man,"[28, 878, 12]",1726,172.395,7.644,2008,ENTP
39,5,INTJ,Otto,A Man Called Otto,"[35, 18]",937278,96.714,7.761,2022,ISTJ
40,6,ENFJ,Katniss Everdeen,The Hunger Games,"[878, 12, 14]",70160,34.172,7.2,2012,ISTP
41,6,ENFJ,Joy,Inside Out,"[16, 10751, 12, 18, 35]",150540,331.396,7.914,2015,ENFJ
42,6,ENFJ,Elle Woods,Legally Blonde,"[35, 10749]",8835,91.553,6.758,2001,ENFJ
43,6,ENFJ,Gwen Stacy,The Amazing Spider-Man,"[28, 12, 878]",1930,121.666,6.7,2012,ENFJ
44,7,ESTP,Ok Joo,Ballerina,"[16, 12, 35, 10751]",342473,50.049,7.2,2016,ISTP
45,7,ESTP,Sienna Shaw,Terrifier 2,"[27, 53]",663712,77.097,6.8,2022,INFJ
47,7,ESTP,Erin Harson,You're Next,"[27, 53, 9648]",83899,24.287,6.596,2013,ISTP
48,8,ESTJ,Gretchen Wieners,Mean Girls,[35],673593,145.503,6.095,2024,ESFJ
49,8,ESTJ,Ken,Barbie,"[35, 12]",346698,539.162,7.056,2023,ESFP
50,8,ESTJ,Miles Morales,Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",324857,101.048,8.404,2018,ISFP
51,8,ESTJ,Tiana,The Princess and the Frog,"[16, 10749, 14, 10751]",10198,85.426,7.206,2009,ESTJ
52,9,INFP,Emily,Corpse Bride,"[10749, 14, 16]",3933,103.562,7.553,2005,ENFP
53,9,INFP,Merida,Brave,"[16, 12, 35, 10751, 28, 14]",62177,117.303,7.018,2012,ESFP
54,9,INFP,Belle,Beauty and the Beast,"[10751, 14, 10749]",321612,95.05,6.969,2017,INFP
55,10,ENFP,Jiro Horikoshi,The Wind Rises,"[18, 16, 10749, 10752]",149870,42.593,7.785,2013,INTP
56,10,ENFP,Gretta,Begin Again,"[35, 10402, 10749, 18]",198277,31.963,7.238,2013,ENFP
57,10,ENFP,Sakura Yamauchi,I Want to Eat Your Pancreas,"[16, 18, 10749]",504253,39.228,8.226,2018,ENFP
58,10,ENFP,Makoto Konno,The Girl Who Leapt Through Time,"[14, 16, 18, 878]",14069,26.442,7.8,2006,ESFP
59,11,INTJ,Tony Stark ,Iron Man 2,"[12, 28, 878]",10138,450.202,6.84,2010,ENTP
60,11,INTJ,Phil ,The Hangover,[35],18785,89.054,7.3,2009,ESTP
61,11,INTJ,Wade Wilson ,Deadpool,"[28, 12, 35]",293660,484.203,7.612,2016,ENTP
62,11,INTJ,Sandie ,Last Night in Soho,"[9648, 53, 27]",576845,43.205,7.338,2021,ESFP
63,11,INTJ,Willy Wonka ,Charlie and the Chocolate Factory,"[12, 35, 10751, 14]",118,113.615,7.05,2005,ENFP
64,11,INTJ,Sherlock Holmes ,Sherlock Holmes,"[28, 12, 80, 9648]",10528,59.676,7.211,2009,ENTP
65,11,INTJ,Kirk Lazarus ,Tropic Thunder,"[28, 35, 12, 10752]",7446,92.043,6.665,2008,INFJ
66,11,INTJ,Alex Claremont-Diaz,"Red, White & Royal Blue","[35, 10749]",930094,75.346,8.016,2023,ENTP
67,11,INTJ,Hannibal Lecter ,The Silence of the Lambs,"[80, 18, 53]",274,18.132,8.347,1991,INTJ
68,11,INTJ,Merlin,Kingsman: The Secret Service,"[80, 35, 28, 12]",207703,100.609,7.634,2014,INTJ
69,12,ENTP,Ranchoddas Shamaldas Chanchad,3 Idiots,"[18, 35]",20453,45.07,7.99,2009,ENTP
70,12,ENTP,Bowler Hat Guy,Meet the Robinsons,"[16, 35, 10751]",1267,48.217,6.905,2007,INFP
71,12,ENTP,Ralph,Wreck-It Ralph,"[10751, 16, 35, 12]",82690,71.414,7.338,2012,ISFP
73,13,INFP,Satoru Gojo,Jujutsu Kaisen 0,"[16, 28, 14]",810693,75.556,8.197,2021,ENTP
74,13,INFP,Amy Elliott Dunne,Gone Girl,"[9648, 53, 18]",210577,117.391,7.892,2014,INFJ
75,13,INFP,Uta,One Piece Film Red,"[16, 12, 28, 14, 10402]",900667,71.645,7.269,2022,ENFP
76,13,INFP,Enola Holmes,Enola Holmes,"[12, 9648, 80]",497582,51.918,7.286,2020,ENFP
78,14,ISTJ,Weird Barbie,Barbie,"[35, 12]",346698,539.162,7.056,2023,ENTP
79,14,ISTJ,Sang-Hwa,Train to Busan,"[27, 53, 28, 12]",396535,77.74,7.752,2016,ESTP
80,14,ISTJ,Anne Wheeler,The Greatest Showman,[18],316029,114.467,7.897,2017,INFP
81,15,INFJ,Natasha Romanoff,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,ISTP
82,15,INFJ,Hermione Granger,Harry Potter and the Philosopher's Stone,"[12, 14]",671,169.942,7.913,2001,ESTJ
83,15,INFJ,Jo March,Little Women,"[18, 10749]",331482,71.313,7.883,2019,ENFP
84,15,INFJ,Charlotte,Lost in Translation,"[18, 10749]",153,99.17,7.395,2003,INFP
85,16,INFP,Luna Lovegood,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
86,16,INFP,Dani,Midsommar,"[27, 18, 9648]",530385,79.786,7.2,2019,ISFP
87,16,INFP,Juli Baker,Flipped,"[10749, 18]",43949,51.479,7.999,2010,ENFP
90,17,INFP,Maria Posada,The Book of Life,"[16, 12, 35, 10751, 14]",228326,34.366,7.544,2014,ENFJ
91,17,INFP,Poppy Moore,Wild Child,"[35, 18, 10749]",13971,41.774,6.715,2008,ESFP
92,17,INFP,Jiro Horikoshi,The Wind Rises,"[18, 16, 10749, 10752]",149870,42.593,7.785,2013,INTP
93,17,INFP,Cinderella,Cinderella,"[14, 10749, 35]",593910,199.411,6.379,2021,ISFJ
94,17,INFP,Belle,Beauty and the Beast,"[10751, 14, 10749]",321612,95.05,6.969,2017,INFP
95,17,INFP,Haku,Spirited Away,"[16, 10751, 14]",129,111.345,8.536,2001,INFJ
96,17,INFP,Mia,The Princess Diaries,"[35, 10751, 10749]",9880,55.575,6.95,2001,INFP
98,17,INFP,Regina George,Mean Girls,[35],673593,145.503,6.095,2024,ESTJ
99,17,INFP,Alice,Alice in Wonderland,"[10751, 14, 12]",12155,92.641,6.636,2010,ISFJ
100,18,ENFP,Olaf,Frozen,"[16, 10751, 12, 14]",109445,133.204,7.247,2013,ENFP
101,18,ENFP,Mirabel,Encanto,"[16, 35, 10751, 14]",568124,139.31,7.606,2021,ENFP
102,18,ENFP,Clawhauser,Zootopia,"[16, 12, 10751, 35]",269149,147.091,7.747,2016,ESFP
103,18,ENFP,Abby,Turning Red,"[16, 10751, 35, 14]",508947,455.313,7.389,2022,ESFP
104,18,ENFP,Ken,Barbie,"[35, 12]",346698,539.162,7.056,2023,ESFP
105,18,ENFP,honey lemon,Big Hero 6,"[12, 10751, 16, 28, 35]",177572,109.658,7.734,2014,ESFJ
106,19,ENFP,Katniss Everdeen ,The Hunger Games,"[878, 12, 14]",70160,34.172,7.2,2012,ISTP
107,19,ENFP,Debbie ,Ocean's Eight,"[80, 35, 28]",402900,249.458,6.984,2018,INTJ
108,19,ENFP,Roxy ,Kingsman: The Secret Service,"[80, 35, 28, 12]",207703,100.609,7.634,2014,ENFJ
109,19,ENFP,Rachel Chu ,Crazy Rich Asians,"[35, 10749]",455207,170.085,7.066,2018,ENFJ
110,19,ENFP,Elle Woods ,Legally Blonde,"[35, 10749]",8835,91.553,6.758,2001,ENFJ
111,19,ENFP,Chris Gardner,The Pursuit of Happyness,[18],1402,56.118,7.902,2006,ENFP
112,19,ENFP,Lucy Gray ,The Hunger Games: The Ballad of Songbirds & Snakes,"[18, 878, 28]",695721,139.105,7.156,2023,ENFP
113,19,ENFP,Julie ,Warm Bodies,"[27, 35, 10749]",82654,29.685,6.446,2013,ENFJ
114,19,ENFP,Trinity ,Matrix,[],555879,3.274,6.9,1998,ISTP
115,19,ENFP,Marta Cabrera ,Knives Out,"[35, 80, 9648]",546554,124.913,7.849,2019,ISFJ
116,20,ENFP,Juli Baker,Flipped,"[10749, 18]",43949,51.479,7.999,2010,ENFP
117,20,ENFP,Merida,Brave,"[16, 12, 35, 10751, 28, 14]",62177,117.303,7.018,2012,ESFP
118,20,ENFP,Rapunzel,Tangled,"[16, 10751]",38757,142.839,7.607,2010,ENFP
119,20,ENFP,Spirit,Spirit: Stallion of the Cimarron,"[16, 12, 35, 10751, 18, 37, 10749]",9023,62.393,7.693,2002,ESTP
120,20,ENFP,Elizabeth Bennet,Pride & Prejudice,"[18, 10749]",4348,86.222,8.08,2005,ENFP
121,21,INFP,Nicole Barber,Marriage Story,[18],492188,50.293,7.744,2019,ENFP
122,21,INFP,Lisa,Ponyo,"[16, 14, 10751]",12429,64.057,7.744,2008,ESFP
123,21,INFP,Shouko Nishimiya,A Silent Voice: The Movie,"[16, 18]",378064,49.398,8.381,2016,ESFJ
125,21,INFP,Lin,Spirited Away,"[16, 10751, 14]",129,111.345,8.536,2001,ESTJ
126,21,INFP,Chiron,Moonlight,[18],376867,46.747,7.391,2016,ISFP
127,21,INFP,Dory,Finding Nemo,"[16, 10751]",12,158.35,7.823,2003,ENFP
128,21,INFP,Karen Smith,Mean Girls,[35],673593,145.503,6.095,2024,ENFP
129,21,INFP,Sebastian Wilder,La La Land,"[35, 18, 10749, 10402]",313369,61.05,7.902,2016,ISFP
130,21,INFP,Sadness,Inside Out,"[16, 10751, 12, 18, 35]",150540,331.396,7.914,2015,INFP
131,22,INFP,Tiana,The Princess and the Frog,"[16, 10749, 14, 10751]",10198,85.426,7.206,2009,ESTJ
132,22,INFP,Belle,Beauty and the Beast,"[10751, 14, 10749]",321612,95.05,6.969,2017,INFP
133,22,INFP,Mulan,Mulan,"[16, 10751, 12]",10674,109.864,7.912,1998,ISFP
134,22,INFP,Enola Holmes,Enola Holmes,"[12, 9648, 80]",497582,51.918,7.286,2020,ENFP
135,23,INTP,Ashitaka ,Princess Mononoke,"[12, 14, 16]",128,68.895,8.3,1997,INFJ
137,23,INTP,Howl Jenkins Pendragon,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ENFP
139,23,INTP,Jiro Horikoshi ,The Wind Rises,"[18, 16, 10749, 10752]",149870,42.593,7.785,2013,INTP
140,23,INTP,Marnie ,When Marnie Was There,"[16, 18, 10751, 9648]",242828,40.254,7.9,2014,ENFJ
141,23,INTP,Tewksbury ,Enola Holmes,"[12, 9648, 80]",497582,51.918,7.286,2020,ISFP
142,24,ISFP,Alice Cullen,Twilight,"[14, 18, 10749]",8966,112.047,6.29,2008,ENFP
143,24,ISFP,Rapunzel,Tangled,"[16, 10751]",38757,142.839,7.607,2010,ENFP
144,24,ISFP,Luna Lovegood,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
145,24,ISFP,Cedric Diggory,Harry Potter and the Goblet of Fire,"[12, 14]",674,125.941,7.815,2005,ESFJ
146,25,INTP,Gavroche,Les Miserables,[18],48750,10.367,6.815,1995,ENFP
147,25,INTP,Kyojuro Rengoku,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"[28, 16, 12, 14, 53]",635302,90.332,8.229,2020,ENFJ
148,25,INTP,Enjolras,Les Miserables,[18],48750,10.367,6.815,1995,ENTJ
149,25,INTP,Sonic,Sonic the Hedgehog,"[28, 878, 35, 10751]",454626,90.11,7.328,2020,ESFP
150,26,ISTP,Jace Wayland ,The Mortal Instruments: City of Bones,"[14, 28, 9648]",123553,42.929,6.439,2013,ISTP
151,26,ISTP,Katniss Everdeen ,The Hunger Games,"[878, 12, 14]",70160,34.172,7.2,2012,ISTP
152,26,ISTP,Shrek ,Shrek,"[16, 35, 14, 12, 10751]",808,153.778,7.741,2001,ISTP
153,26,ISTP,John Wick ,John Wick,"[28, 53]",245891,109.311,7.43,2014,ISTP
154,26,ISTP,Fa Mulan ,Mulan,"[16, 10751, 12]",10674,109.864,7.912,1998,ISTP
156,26,ISTP,Kate Dibiasky ,Don't Look Up,"[35, 878, 18]",646380,143.482,7.102,2021,ISTP
157,27,INTP,Luna Lovegood,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
158,27,INTP,Sherlock Holmes ,Sherlock Holmes,"[28, 12, 80, 9648]",10528,59.676,7.211,2009,ENTP
159,27,INTP,Hiccup ,How to Train Your Dragon,"[14, 12, 16, 10751]",10191,67.995,7.824,2010,INTP
160,27,INTP,Neo ,The Matrix,"[28, 878]",603,470.112,8.216,1999,INTP
161,28,INFJ,Captain America,Captain America: The First Avenger,"[28, 12, 878]",1771,53.171,7,2011,ISFJ
162,28,INFJ,Beatrice,Divergent,"[28, 12, 878]",157350,69.602,6.918,2014,ISFP
163,28,INFJ,Elio,Call Me by Your Name,"[10749, 18]",398818,69.532,8.145,2017,INFP
164,28,INFJ,Sophie,Aftersun,[18],965150,54.721,7.69,2022,ENTP
165,28,INFJ,Coriolanus Coryo Snow,The Hunger Games: The Ballad of Songbirds & Snakes,"[18, 878, 28]",695721,139.105,7.156,2023,ENTJ
166,28,INFJ,Calum,Aftersun,[18],965150,54.721,7.69,2022,INFP
167,29,INTJ,Aragorn,The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",120,138.777,8.412,2001,INFJ
168,29,INTJ,Bruce Wayne,Batman Returns,"[28, 14]",364,68.947,6.925,1992,INTJ
169,29,INTJ,jack sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",22,135.681,7.8,2003,ENTP
170,29,INTJ,anakin skywalker,Star Wars: Episode I - The Phantom Menace,"[12, 28, 878]",1893,66.907,6.548,1999,ESFP
171,29,INTJ,Simba,The Lion King,"[12, 18, 10751, 16]",420818,249.113,7.115,2019,ESFP
172,29,INTJ,Nathan Algren,The Last Samurai,"[18, 28, 10752]",616,53.382,7.586,2003,ISTP
173,30,INTJ,Mavis Dracula,Hotel Transylvania,"[16, 35, 10751, 14]",76492,87.926,6.957,2012,ENFP
174,30,INTJ,Stephen Strange,Doctor Strange,"[28, 12, 14]",284052,397.711,7.422,2016,INTJ
175,30,INTJ,Peter Parker,Spider-Man: Far From Home,"[28, 12, 878]",429617,94.358,7.428,2019,ENFP
176,30,INTJ,Yuta Okkotsu,Jujutsu Kaisen 0,"[16, 28, 14]",810693,75.556,8.197,2021,INFJ
177,30,INTJ,Luna Lovegood,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
178,30,INTJ,Camilo Madrigal,Encanto,"[16, 35, 10751, 14]",568124,139.31,7.606,2021,ENTP
179,30,INTJ,Jack Frost,Rise of the Guardians,"[10751, 16, 14, 28, 12]",81188,61.282,7.362,2012,ESTP
180,30,INTJ,Neteyam,Avatar: The Way of Water,"[878, 12, 28]",76600,272.856,7.624,2022,INFJ
181,30,INTJ,Akaza,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"[28, 16, 12, 14, 53]",635302,90.332,8.229,2020,ESTP
182,31,INFP,Brian ,The Breakfast Club,"[35, 18]",2108,72.818,7.746,1985,ISFJ
183,31,INFP,Ellis ,The Shawshank Redemption,"[18, 80]",278,132.406,8.705,1994,ISTP
184,31,INFP,Edward Scissorhands,Edward Scissorhands,"[14, 18, 10749]",162,88.672,7.716,1990,INFP
185,31,INFP,Chihiro ,Spirited Away,"[16, 10751, 14]",129,111.345,8.536,2001,INFP
186,31,INFP,Luna Lovegood ,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
187,31,INFP,Howl ,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ENFP
188,31,INFP,Charlie ,The Perks of Being a Wallflower,[18],84892,48.748,7.794,2012,INFP
189,31,INFP,Joker ,Joker,"[80, 53, 18]",475557,445.427,8.161,2019,INFP
190,31,INFP,Karen Smith ,Mean Girls,[35],673593,145.503,6.095,2024,ENFP
191,31,INFP,Cameron ,10 Things I Hate About You,"[35, 10749, 18]",4951,51.613,7.588,1999,INFP
192,32,INTP,Gru,Despicable Me,"[10751, 16, 35]",20352,107.782,7.235,2010,INTJ
193,32,INTP,Stephen Strange,Doctor Strange,"[28, 12, 14]",284052,397.711,7.422,2016,INTJ
194,32,INTP,Willy wonka,Charlie and the Chocolate Factory,"[12, 35, 10751, 14]",118,113.615,7.05,2005,ENFP
195,32,INTP,Haku,Spirited Away,"[16, 10751, 14]",129,111.345,8.536,2001,INFJ
197,32,INTP,Baymax,Big Hero 6,"[12, 10751, 16, 28, 35]",177572,109.658,7.734,2014,ISFJ
198,33,INTJ,Emma Woodhouse,Emma.,"[35, 10749]",556678,39.393,7,2020,ENFJ
199,33,INTJ,Flynn Rider,Tangled,"[16, 10751]",38757,142.839,7.607,2010,ESTP
200,33,INTJ,Tony Stark,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,ENTP
201,33,INTJ,Mulan,Mulan,"[16, 10751, 12]",10674,109.864,7.912,1998,ISFP
202,33,INTJ,Isabela Madrigal,Encanto,"[16, 35, 10751, 14]",568124,139.31,7.606,2021,ESTJ
203,33,INTJ,Katniss Everdeen,The Hunger Games,"[878, 12, 14]",70160,34.172,7.2,2012,ISTP
204,34,ISTP,Po,Kung Fu Panda,"[28, 12, 16, 10751, 35]",9502,125.586,7.281,2008,ENFP
205,34,ISTP,John Wick,John Wick,"[28, 53]",245891,109.311,7.43,2014,ISTP
206,34,ISTP,Ip Man,Ip Man,"[18, 28, 36]",14756,18.426,7.75,2008,ISTJ
207,35,ISTP,Wanda Maximoff,Avengers: Infinity War,"[12, 28, 878]",299536,295.276,8.2,2018,INFP
208,35,ISTP,Bellatrix Lestrange,Harry Potter and the Deathly Hallows: Part 2,"[14, 12]",12445,117.591,8.098,2011,ESFP
209,35,ISTP,Luna Lovegood,Harry Potter and the Order of the Phoenix,"[12, 14]",675,122.416,7.681,2007,INFP
210,35,ISTP,Raven,Teen Titans: Trouble in Tokyo,"[16, 28, 878, 10770]",16237,40.633,7.792,2006,INTJ
211,35,ISTP,Disgust,Inside Out,"[16, 10751, 12, 18, 35]",150540,331.396,7.914,2015,ESTP
212,36,INFJ,Amy Elliott Dunne,Gone Girl,"[9648, 53, 18]",210577,117.391,7.892,2014,INFJ
213,36,INFJ,Mia,La La Land,"[35, 18, 10749, 10402]",313369,61.05,7.902,2016,ENFJ
214,36,INFJ,Beatrice,Divergent,"[28, 12, 878]",157350,69.602,6.918,2014,ISFP
215,36,INFJ,Cruella de Vil ,Cruella,"[35, 80]",337404,91.194,8,2021,ENTJ
216,36,INFJ,Andrea,The Devil Wears Prada,"[18, 35]",350,78.74,7.395,2006,ENFP
217,37,INFJ,Maximus,Gladiator,"[28, 18, 12]",98,87.373,8.216,2000,ISTJ
218,37,INFJ,Howl,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ENFP
219,37,INFJ,Paul Atreides,Dune,"[878, 12]",438631,523.415,7.78,2021,INFJ
220,37,INFJ,Ofelia,Pan's Labyrinth,"[14, 18, 10752]",1417,171.305,7.76,2006,INFP
221,38,INTP,Evelyn Salt,Salt,"[28, 9648, 53]",27576,51.145,6.412,2010,ISTP
222,38,INTP,Master Oogway,Kung Fu Panda,"[28, 12, 16, 10751, 35]",9502,125.586,7.281,2008,INFJ
223,38,INTP,Suzume Iwato,Suzume,"[16, 18, 12, 14]",916224,67.413,7.996,2022,ISFP
224,38,INTP,Robert Langdon,The Da Vinci Code,"[53, 9648]",591,52.741,6.723,2006,INTP
225,39,INTP,bowser,The Super Mario Bros. Movie,"[16, 10751, 12, 14, 35]",502356,198.964,7.675,2023,ESFP
226,39,INTP,spider-punk,Spider-Man: Across the Spider-Verse,"[16, 28, 12, 878]",569094,192.243,8.362,2023,ESTP
227,39,INTP,iron man,Avengers: Endgame,"[12, 878, 28]",299534,270.643,8.3,2019,ENTP
228,39,INTP,captain underpants,Captain Underpants: The First Epic Movie,"[28, 16, 35, 10751]",268531,40.044,6.233,2017,ENFP
229,40,INFJ,Emily,Corpse Bride,"[10749, 14, 16]",3933,103.562,7.553,2005,ENFP
230,40,INFJ,Leia Organa,Star Wars,"[12, 28, 878]",11,457.872,8.203,1977,ENTJ
231,40,INFJ,Lucy,Two Weeks Notice,"[35, 10749]",2642,24.358,6.353,2002,ENFP
234,40,INFJ,Dani,Midsommar,"[27, 18, 9648]",530385,79.786,7.2,2019,ISFP
235,40,INFJ,Arthur,Past Lives,"[18, 10749]",666277,76.939,7.806,2023,INFP
236,40,INFJ,Sasha,Always Be My Maybe,"[10749, 35]",513576,20.657,6.647,2019,ENTJ
237,41,ENTJ,Mark Watney,The Martian,"[18, 12, 878]",286217,111.545,7.685,2015,ENTP
238,41,ENTJ,Peter Parker,Spider-Man,"[28, 878]",557,133.914,7.295,2002,ENFP
239,41,ENTJ,Hiro Hamada,Big Hero 6,"[12, 10751, 16, 28, 35]",177572,109.658,7.734,2014,INTP
240,41,ENTJ,Tony Stark,Iron Man,"[28, 878, 12]",1726,172.395,7.644,2008,ENTP
241,41,ENTJ,Hogarth Hughes,The Iron Giant,"[10751, 16, 878, 12]",10386,56.07,7.9,1999,ENFP
242,41,ENTJ,Miles Morales,Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",324857,101.048,8.404,2018,ISFP
243,41,ENTJ,Mai,Next Gen,"[16, 28, 12, 35, 10751, 878]",523777,40.518,6.945,2018,ISTP
244,41,ENTJ,Dr Emmett Doc Brown,Back to the Future,"[12, 35, 878]",105,119.06,8.317,1985,ENTP
245,41,ENTJ,Jim Preston,Passengers,"[18, 10749, 878]",274870,216.861,6.944,2016,ISTP
246,41,ENTJ,Neo,Matrix,[],555879,3.274,6.9,1998,INTP
247,42,ISTJ,Shun,From Up on Poppy Hill,"[16, 18]",83389,37.813,7.5,2011,ISFP
248,42,ISTJ,Park Ki-Joon,Midnight Runners,"[35, 28, 80]",453127,18.62,7.495,2017,ESFP
250,42,ISTJ,Howl,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ENFP
251,43,INFP,Barbie,Barbie: A Fairy Secret,"[16, 10751, 14]",57737,22.378,6.799,2011,ENFJ
252,43,INFP,Howl,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ENFP
253,43,INFP,Raju,3 Idiots,"[18, 35]",20453,45.07,7.99,2009,ISFJ
254,43,INFP,Sophie,Howl's Moving Castle,"[14, 16, 12]",4935,144.626,8.408,2004,ISFJ
255,43,INFP,Elsa,Frozen,"[16, 10751, 12, 14]",109445,133.204,7.247,2013,INFJ
256,43,INFP,Isabela Madrigal,Encanto,"[16, 35, 10751, 14]",568124,139.31,7.606,2021,ESTJ
257,43,INFP,Regina George,Mean Girls,[35],673593,145.503,6.095,2024,ESTJ
258,43,INFP,Gojo,Jujutsu Kaisen 0,"[16, 28, 14]",810693,75.556,8.197,2021,ENTP
259,43,INFP,Mei Mei,Jujutsu Kaisen 0,"[16, 28, 14]",810693,75.556,8.197,2021,ENTJ
260,43,INFP,Elle Woods,Legally Blonde,"[35, 10749]",8835,91.553,6.758,2001,ENFJ
261,44,INFJ,Riggan Thomson,Birdman,[99],435092,2.691,3.167,2015,ENFP
262,44,INFJ,John Miller,Saving Private Ryan,"[18, 36, 10752]",857,110.22,8.214,1998,ISTJ
263,44,INFJ,Joseph Cooper,Interstellar,"[12, 18, 878]",157336,418.071,8.434,2014,ISTP
264,44,INFJ,John Nash,A Beautiful Mind,"[18, 10749]",453,123.182,7.857,2001,INTJ
