,char,movie,mbti,votes
34,Casey Cooke,Split (2016),INTJ,728 Pdb Votes
35,Count Dooku,Star Wars,INTJ,879 Pdb Votes
36,Saruman the White,The Lord of the Rings (Film Trilogy),INTJ,790 Pdb Votes
37,Hwarim,Exhuma (2023),INTJ,24 Pdb Votes
38,The Killer,The Killer (2023),INTJ,382 Pdb Votes
39,Tabitha Templeton,Boss Baby (Franchise),INTJ,145 Pdb Votes
40,Gandalf the White,The Lord of the Rings (Film Trilogy),INTJ,272 Pdb Votes
41,Alma Peregrine,Miss Peregrine's Home for Peculiar Children (2016),INTJ,378 Pdb Votes
42,Christof,The Truman Show (1998),INTJ,426 Pdb Votes
43,Gill,Finding Nemo (Franchise),INTJ,505 Pdb Votes
44,Agent Smith,The Matrix Trilogy,INTJ,584 Pdb Votes
45,Chef Julian Slowik,The Menu,INTJ,723 Pdb Votes
46,Emma Grossman,The Bad Seed (2018),INTJ,248 Pdb Votes
47,Magic Mirror,Snow White and the Seven Dwarfs (1937),INTJ,84 Pdb Votes
48,Jack,The House That Jack Built (2018),INTJ,338 Pdb Votes
49,Deborah “Debbie” Ocean,Ocean's 8 (2018),INTJ,275 Pdb Votes
50,Cutler Beckett,Pirates of the Caribbean,INTJ,320 Pdb Votes
51,Fitzwilliam Darcy,Pride and Prejudice (2005),INTJ,1.6k Pdb Votes
52,Mary,Jack and the Beanstalk (2009),INTJ,4 Pdb Votes
53,Nazri,Sheriff: Narko Integriti,INTJ,4 Pdb Votes
54,Nemesis Prime,Transformers (Bayverse),INTJ,20 Pdb Votes
55,Haruka Nozaki,Liverleaf (2018),INTJ,55 Pdb Votes
56,Вадим «Желтый»,Слово пацана. Кровь на асфальте / Slovo patsana,INTJ,45 Pdb Votes
57,Golden Freddy,Five Nights at Freddy's (Movie),INTJ,140 Pdb Votes
58,Chimo Ahuactzin,La Leyenda de la Nahuala,XXXX,29 Pdb Votes
59,Koo Ja-Yoon,The Witch: Part 1. The Subversion,INTJ,140 Pdb Votes
60,Roman Bridger,Scream (Franchise),INTJ,197 Pdb Votes
61,Andre Kriegman,Zero Day (2003),INTJ,138 Pdb Votes
62,Erik “The Phantom”,The Phantom of the Opera (2004),INTJ,308 Pdb Votes
63,Seok-woo,Train to Busan (2016),INTJ,356 Pdb Votes
64,Gromit,Wallace and Gromit,INTJ,338 Pdb Votes
65,"Tobias ""Four"" Eaton",Divergent (2014),INTJ,663 Pdb Votes
66,Tarsier,Sing (Franchise),XXXX,3 Pdb Votes
67,Oompa Loompa,Wonka (2023 Movie),INTJ,99 Pdb Votes
68,high school student,Ballerina (2023),XXXX,58 Pdb Votes
69,Alistair,Barbie in A Mermaid Tale 2,INTJ,17 Pdb Votes
70,That one kid dancing in the Lorax,The Lorax (2012),INTJ,164 Pdb Votes
71,Sofina,Dungeons & Dragons: Honor Among Thieves (2023),INTJ,121 Pdb Votes
72,Gellert Grindelwald (Mads version),Fantastic Beasts,INTJ,335 Pdb Votes
73,Cassandra “Cassie” Thomas,Promising Young Woman (2020),INTJ,473 Pdb Votes
74,Howard Hughes,The Aviator,INTJ,153 Pdb Votes
75,Doofy Gilmore,Scary Movie,INTJ,128 Pdb Votes
76,Major Timothy Cain,Resident Evil,INTJ,5 Pdb Votes
77,Jackson Rippner,Red Eye (2005),INTJ,129 Pdb Votes
78,Sentinel Prime,Transformers (Bayverse),INTJ,89 Pdb Votes
79,Benoit Blanc,Knives Out (2019),INTJ,1.1k Pdb Votes
80,Lady Kaede,Ran (1985),INTJ,39 Pdb Votes
81,Ben,Night of the Living Dead (1968),INTJ,77 Pdb Votes
82,"Roger ""Verbal"" Kint",The Usual Suspects (1995),INTJ,234 Pdb Votes
83,"Don Diego de la Vega ""Zorro""",The Mask of Zorro (1998),INTJ,85 Pdb Votes
84,Erika Kohut,The Piano Teacher (2001),INTJ,340 Pdb Votes
85,John Preston,Equilibrium (2002),INTJ,122 Pdb Votes
86,"Elijah Price ""Mr. Glass""",Unbreakable (2000),INTJ,229 Pdb Votes
87,Lady Izumi Hideko,The Handmaiden (2016),INTJ,514 Pdb Votes
88,Solomon Lane,Mission: Impossible (Franchise),INTJ,121 Pdb Votes
89,Hal 9000,2001: A Space Odyssey (1968),INTJ,381 Pdb Votes
90,Clarice Starling,The Silence of the Lambs (1991),INTJ,716 Pdb Votes
91,Jina,Aloners (2021),INTJ,11 Pdb Votes
92,Omnidroid v.8,The Incredibles (Franchise),XXXX,7 Pdb Votes
93,Mahtab,Gonahe Fereshteh (Fereshteh's Sin),XXXX,19 Pdb Votes
94,Mushafiq,Gonahe Fereshteh (Fereshteh's Sin),XXXX,23 Pdb Votes
95,Devra Bloodaxe,Rebel Moon (Franchise),INTJ,7 Pdb Votes
96,Melody,Ghostbusters: Frozen Empire (2024),INTJ,10 Pdb Votes
97,Cassidy,Five Nights at Freddy's (Movie),INTJ,96 Pdb Votes
98,Actress,Kyôshin (Mirrored Mind),INTJ,21 Pdb Votes
99,Form II - Makashi (Lightsaber Form),Star Wars,INTJ,9 Pdb Votes
100,Pat Cooper,Separate Tables (1958),XXXX,4 Pdb Votes
101,Animal Masked People,The Farm,INTJ,2 Pdb Votes
102,King Paimon,Hereditary (2018),XXXX,18 Pdb Votes
103,Matilda Wormwood,Matilda the Musical (2022 film),INTJ,515 Pdb Votes
104,Kalix Jace Martinez,The Rain in España (2022),INTJ,13 Pdb Votes
105,Alien Mefilas,Shin Ultraman,INTJ,22 Pdb Votes
106,Eleazar,Twilight (Franchise),INTJ,23 Pdb Votes
107,Nikolai,25th Hour,INTJ,2 Pdb Votes
108,Yuichi Kimura (The Father),Bullet Train,INTJ,114 Pdb Votes
109,Artemus Gordon,Wild Wild West (1999),INTJ,49 Pdb Votes
110,Wolfgang Přiklopil,3096 Days,INTJ,26 Pdb Votes
111,Alluri Sitarama Raju,RRR (2022),INTJ,213 Pdb Votes
112,Aksel,The Worst Person in the World (2021),INTJ,116 Pdb Votes
113,Peter Gordon,The Power of the Dog (2021),INTJ,200 Pdb Votes
114,Long John Silver,Treasure Island (1988),INTJ,116 Pdb Votes
115,Screaming Death,How to Train Your Dragon (Franchise),INTJ,25 Pdb Votes
116,The Phantom / Erik,The Phantom of the Opera (1925),INTJ,11 Pdb Votes
117,Wuxian,The Legend of Hei (2019),INTJ,81 Pdb Votes
118,Gargamel,The Smurfs (2011),INTJ,41 Pdb Votes
119,William Killick,The Edge of Love (2008),XXXX,96 Pdb Votes
120,Isabel Lahiri,Ocean's Eleven Trilogy,INTJ,23 Pdb Votes
121,Dementor,Harry Potter / Wizarding World Films,INTJ,138 Pdb Votes
122,Bagul(Boogeyman),Sinister Series,INTJ,74 Pdb Votes
123,Tate,Ken Park (2002),INTJ,18 Pdb Votes
124,Shelob,The Lord of the Rings (Film Trilogy),INTJ,24 Pdb Votes
125,Jake,Blended (2014),INTJ,28 Pdb Votes
126,Feathers McGraw,Wallace and Gromit,INTJ,83 Pdb Votes
127,Wednesday Addams,The Addams Family (2019),INTJ,174 Pdb Votes
128,Sadako Yamamura,Ring (1998),INTJ,93 Pdb Votes
129,Colonel John Matrix,Commando (1985),INTJ,36 Pdb Votes
130,Luke Lerner,Better Watch Out,INTJ,88 Pdb Votes
131,Shūsuke Hoshino,All About Lily Chou-Chou (2001),INTJ,118 Pdb Votes
132,Maya Harris,Zero Dark Thirty (2012),INTJ,49 Pdb Votes
133,Elizabeth Abbott,The Curious Case of Benjamin Button (2008),INTJ,51 Pdb Votes
134,Asami Yamazaki,Audition (1999),INTJ,120 Pdb Votes
135,Ravenna,Snow White and the Huntsman,INTJ,254 Pdb Votes
136,Chris Wilton,Match Point (2005),XXXX,52 Pdb Votes
137,Thomas Gabriel,Die Hard,INTJ,18 Pdb Votes
138,Forte,Beauty and the Beast (Franchise),INTJ,62 Pdb Votes
139,Indominus Rex,Jurassic Park / Jurassic World (Film Franchise),INTJ,173 Pdb Votes
140,Donald Buchanan,Transcendence (2014),INTJ,23 Pdb Votes
141,Jane Austen,Becoming Jane (2007),INTJ,86 Pdb Votes
142,Shere Khan,Mowgli: Legend of the Jungle ( 2018),INTJ,24 Pdb Votes
143,Irene Reppler,The Mist (2007),INTJ,12 Pdb Votes
144,Dr. Noboru Yasumoto,Red Beard (1965),INTJ,11 Pdb Votes
145,Lucifer,Cinderella (1950),INTJ,201 Pdb Votes
146,Cipher,The Fast and the Furious (Film Franchise),INTJ,108 Pdb Votes
147,Frank,Donnie Darko (2001),INTJ,272 Pdb Votes
148,R. L. Stine,Goosebumps (2015),INTJ,35 Pdb Votes
149,Grimmel the Grisly,How to Train Your Dragon (Franchise),INTJ,221 Pdb Votes
150,Lucy (post drug),Lucy (2014),INTJ,349 Pdb Votes
151,Mr. Peabody,Mr. Peabody & Sherman (2014),INTJ,418 Pdb Votes
152,India Stoker,Stoker (2013),INTJ,235 Pdb Votes
153,Dr. Jonathan Clemens,Alien,INTJ,30 Pdb Votes
154,Katherine Johnson,Hidden Figures (2016),INTJ,115 Pdb Votes
155,Antonio Salieri,Amadeus (1984),INTJ,324 Pdb Votes
156,Wicked Witch of the West,The Wizard of Oz (1939),INTJ,125 Pdb Votes
157,Kurt Hendricks,Mission: Impossible (Franchise),INTJ,28 Pdb Votes
158,Deborah,Once Upon a Time in America (1984),INTJ,74 Pdb Votes
159,Agnarr,Frozen (Franchise),INTJ,233 Pdb Votes
160,Eldon Tyrell,Blade Runner,INTJ,90 Pdb Votes
161,Archie Hicox,Inglourious Basterds (2009),INTJ,149 Pdb Votes
162,Neil McCauley,Heat (1995),INTJ,277 Pdb Votes
163,"Alfred Borden ""The Professor""",The Prestige (2006),INTJ,236 Pdb Votes
164,Dr. Abraham Van Helsing,Bram Stoker's Dracula (1992),INTJ,83 Pdb Votes
165,Roy Batty,Blade Runner,INTJ,477 Pdb Votes
166,Juror #11,12 Angry Men (1957),INTJ,179 Pdb Votes
167,Niki Lauda,Rush (2013),INTJ,128 Pdb Votes
168,Mark,All the Colors of the Dark (1972),XXXX,1 Pdb Vote
169,Tomoyama,Perfect Days (2023),XXXX,1 Pdb Vote
170,Dr. Lundgren,The Beast Must Die (1974),INTJ,10 Pdb Votes
171,Geoffrey Appleyard,The Ministry of Ungentlemanly Warfare (2024),INTJ,2 Pdb Votes
172,Emilio Lopez,Mr. Deeds (2002),INTJ,5 Pdb Votes
173,Aldys Martin,Never Been Kissed (1999),XXXX,1 Pdb Vote
174,Stella,On Moonlight Bay (series),XXXX,5 Pdb Votes
175,Andy,Lord of the Flies (1990),XXXX,1 Pdb Vote
176,Detective Kelso,Ripper (2001),XXXX,1 Pdb Vote
177,The Chief (Шеф),The Diamond Arm (1969),XXXX,1 Pdb Vote
178,Abraham Ozler,Abraham Ozler (2024),INTJ,2 Pdb Votes
179,Phraya Wichien,Man Suang (2023),XXXX,1 Pdb Vote
180,Katou,Outrage,INTJ,10 Pdb Votes
181,Kataoka,Outrage,INTJ,10 Pdb Votes
182,Ishihara,Outrage,INTJ,10 Pdb Votes
183,Laine Billings Hanson,The Contender (2000),XXXX,1 Pdb Vote
184,Barcelin,Rosalie (2023),INTJ,2 Pdb Votes
185,Lin Dan,Red Corner (1997),XXXX,1 Pdb Vote
186,Frank White,King Of New York (1990),INTJ,15 Pdb Votes
187,Dr. Paul Merchant,Hellraiser,XXXX,2 Pdb Votes
188,Dusan Gavrich,The Peacemaker (1997),XXXX,1 Pdb Vote
189,Garraka,Ghostbusters: Frozen Empire (2024),INTJ,8 Pdb Votes
190,Kenshi Takahashi,Mortal Kombat Legends: Snow Blind,INTJ,1 Pdb Vote
191,Sidney Bruhl,Deathtrap (1982 film),XXXX,8 Pdb Votes
192,Irv Ravitz,The Devil Wears Prada (2006),INTJ,2 Pdb Votes
193,Dr. Richard Benjamin Vannacutt,House on Haunted Hill (1999),XXXX,1 Pdb Vote
194,Mr. Henry Dubros,Tom and Jerry (2021),ENTJ,1 Pdb Vote
195,Alex Dall,The Novice (2021),INTJ,16 Pdb Votes
196,The conscience ,The Messenger: The Story of Joan of Arc,INTJ,18 Pdb Votes
197,Mirta,Cuando Acecha la Maldad/When Evil Lurks,INTJ,4 Pdb Votes
198,Mojo Jojo,The Powerpuff Girls Movie (2002),XXXX,1 Pdb Vote
199,"Thelonious ""Monk"" Ellison",American Fiction,INTJ,50 Pdb Votes
200,Zoey Miller,The Other Zoey (2023),XXXX,36 Pdb Votes
201,Squirtle,Leo (2023),INTJ,63 Pdb Votes
202,Madeline,Madeline (1998),INTJ,12 Pdb Votes
203,Jimmy Shaker,Ransom (1996),INTJ,6 Pdb Votes
204,Sarah,Cobweb,INTJ,8 Pdb Votes
205,Parker,Heart of Stone (2023),INTJ,13 Pdb Votes
206,Prince,Once Upon a Crime,XXXX,12 Pdb Votes
207,Madame Leota,Haunted Mansion (2023),INTJ,13 Pdb Votes
208,John Givings Jr.,Revolutionary Road (2008),INTJ,3 Pdb Votes
209,Gulyabani,Süt Kardeşler,XXXX,1 Pdb Vote
210,Taylor Ambrose,My Sister's Keeper (2009),INTJ,5 Pdb Votes
211,The Tracker,What Dreams May Come,INTJ,3 Pdb Votes
212,Jane Hudson ,Summertime (1955),XXXX,1 Pdb Vote
213, Anna Holm (alias Ingrid Paulsen),A Woman's Face (1941),INTJ,2 Pdb Votes
214,Johnny Smith ,Come Live with Me (1941),INTJ,3 Pdb Votes
215, Elizabeth of England,Mary of Scotland (1936),INTJ,4 Pdb Votes
216,Kitty Collins,The Killers (1946),INTJ,8 Pdb Votes
217,Tsumuji,Picnic (1996),INTJ,2 Pdb Votes
218,Tyler Jackson,Bandidas,XXXX,1 Pdb Vote
219,Moss,The Wandering Earth 2,INTJ,62 Pdb Votes
220,Diane Adler,Gifted (2017),INTJ,9 Pdb Votes
221,Mohan Bhargava,Swades,INTJ,15 Pdb Votes
222,Overlook Hotel,The Shining (1980),INTJ,28 Pdb Votes
223,Piku,Piku,INTJ,17 Pdb Votes
224,Zé do Caixão,Esta Noite Encarnarei No Teu Cadáver (1967),INTJ,17 Pdb Votes
225,Suzaki Ryo,High and Low,INTJ,27 Pdb Votes
226,Primo Abel,Coco (2017),INTJ,6 Pdb Votes
227,Darryl Peabody,Salt,INTJ,5 Pdb Votes
228,Rosebud,Killer Klowns from Outer Space (1988),XXXX,4 Pdb Votes
229,Zōffy,Shin Ultraman,INTJ,16 Pdb Votes
230,Fern,Tinker Bell (2008),INTJ,6 Pdb Votes
231,David Banner (Absorbing Man),Hulk (Ang Lee),INTJ,9 Pdb Votes
232,Mary Poppins (Мэри Поппинс),"Mary Poppins, goodbye (Мэри Поппинс, до свидания)",INTJ,20 Pdb Votes
233,Hannibal Lecter,Hannibal Rising (Movie),INTJ,54 Pdb Votes
234,Tomas Ericsson,Winter Light (1963) (Nattvardsgästerna),INTJ,31 Pdb Votes
235,.,Ivan Vasilievich: Back to the Future,ESTJ,3 Pdb Votes
236,Esmeralda,Edward Scissorhands (1990),INTJ,57 Pdb Votes
237,Robert F. Kennedy / RFK,The Irishman (2019),INTJ,8 Pdb Votes
238,Logan Nelson,Saw Series (2004),INTJ,30 Pdb Votes
239,Micheal,Honor Society (2022),INTJ,58 Pdb Votes
240,William Darcy,Bride And Prejudice,INTJ,7 Pdb Votes
241,Seo Rae,Decision To Leave (2022),INTJ,85 Pdb Votes
242,Goo Ja Yun,The Witch: Part 2. The Other One,INTJ,13 Pdb Votes
243,Jang,The Witch: Part 2. The Other One,INTJ,31 Pdb Votes
244,Bobby Fischer,Pawn Sacrifice,INTJ,42 Pdb Votes
245,Director,"Ritual, 式日, (2000)",INTJ,23 Pdb Votes
246,Jabberwocky,Alice in Wonderland / Through the Looking Glass (2010 - 2016),INTJ,18 Pdb Votes
247,Ra. One,Ra.One (2011),INTJ,34 Pdb Votes
248,Bear,Annihilation (2018),INTJ,20 Pdb Votes
249,Hye Won,Little Forest (2018),INTJ,21 Pdb Votes
250,Kyla,"My Teacher, My Obsession",INTJ,32 Pdb Votes
251,The Monolith,2001: A Space Odyssey (1968),INTJ,35 Pdb Votes
252,Rynn ,The Little Girl Who Lives Down the Lane,INTJ,11 Pdb Votes
253,Noah Vosen,Jason Bourne,INTJ,12 Pdb Votes
254,Craig,Nope (2022),INTJ,2 Pdb Votes
255,Verna Jarrett,White Heat (1949),XXXX,1 Pdb Vote
256,Ayleen Charlotte,The Tinder Swindler,INTJ,29 Pdb Votes
257,Behçet Necatigil,The Butterfly's Dream,INTJ,4 Pdb Votes
258,Varvara,The Last Bogatyr (trilogy),INTJ,12 Pdb Votes
259,Ruth Patchett,She-Devil (1989),INTJ,22 Pdb Votes
260,Dr. Calico,Bolt (2008),INTJ,12 Pdb Votes
261,Marziye moghadam,Bache mohandes,INTJ,9 Pdb Votes
262,Norman Green,Nanny McPhee and the Big Bang,INTJ,21 Pdb Votes
263,Professor Wright,Tolkien (2019),INTJ,2 Pdb Votes
264,Michael,Legion (2010),INTJ,22 Pdb Votes
265,Claus von Stauffenberg,Valkyrie,INTJ,29 Pdb Votes
266,"Edward ""Brill” Lyle",Enemy of the state,INTJ,5 Pdb Votes
267,Col. Philippe Mathieu,The Battle of Algiers (1966),INTJ,10 Pdb Votes
268,Falco,Gladiator (2000),INTJ,5 Pdb Votes
269,Shai-Hulud,Dune (2021),INTJ,84 Pdb Votes
270,Kate Sanders,Birds of Paradise (2021),INTJ,103 Pdb Votes
271,Jin Woo,Hard Hit,INTJ,7 Pdb Votes
272,Etienne of Navarre,Lady Hawke (1985),INTJ,12 Pdb Votes
273,Yoshitaka Hiromitsu,Sensei Kunshu (2018),INTJ,6 Pdb Votes
274,Alan Stanwyk,Fletch (1985),INTJ,8 Pdb Votes
275,FLDSMDFR,Cloudy with a Chance of Meatballs (2009),INTJ,18 Pdb Votes
276,Tetra,The Witcher: Nightmare of the Wolf (2021),INTJ,36 Pdb Votes
277,S.T.E.V.E.,Free Birds (2013),INTJ,13 Pdb Votes
278,Kiryu,MonsterVerse,INTJ,18 Pdb Votes
279,Hideo Kuze,Ghost in the Shell (2017),INTJ,11 Pdb Votes
280,Malcolm,She's the Man,INTJ,23 Pdb Votes
281,Alexia's Father,Titane (2021),INTJ,2 Pdb Votes
282,Bridget Gregory,The Last Seduction (1994),XXXX,23 Pdb Votes
283,Passenger Watching Silhouette,Taxi Driver (1976),INTJ,179 Pdb Votes
284,Cielo Latini,Abzurdah,INTJ,46 Pdb Votes
285,Old Georgie,Cloud Atlas (2012),INTJ,12 Pdb Votes
286,The man,The Rental,INTJ,4 Pdb Votes
287,Yen Sid,Walt Disney's Fantasia (1940),INTJ,14 Pdb Votes
288,Dr. Génessier,Les Yeux sans visage (1960),XXXX,14 Pdb Votes
289,Eric Wynn,Cube Zero (2004),INTJ,13 Pdb Votes
290,Mel,Despicable Me (Franchise),INTJ,47 Pdb Votes
291,Zelda Winston,The Dead Don't Die (2019),INTJ,14 Pdb Votes
292,Yul Brenner,Cool Runnings (1993),INTJ,16 Pdb Votes
293,The Collector / Asa Emory,The Collector,INTJ,93 Pdb Votes
294,Harry “The Provost” Sims,The Da Vinci Code,INTJ,9 Pdb Votes
295,Nell Bedworth,It's a Boy Girl Thing,INTJ,32 Pdb Votes
296,Beethoven,Mr. Peabody & Sherman (2014),INTJ,5 Pdb Votes
297,Nightmare King,Little Nemo: Adventures in Slumberland,XXXX,11 Pdb Votes
298,Karl Ruprect Kroenen,Hellboy (2004),INTJ,88 Pdb Votes
299,Peter Isherwell,Don’t Look Up (2021),INTJ,222 Pdb Votes
300,Captain Morton / The Shepherd,Kingsman (Franchise),INTJ,14 Pdb Votes
301,Rowena Ravenclaw,Harry Potter / Wizarding World Films,INTJ,156 Pdb Votes
302,Eric Harris,I’m Not Ashamed,INTJ,14 Pdb Votes
303,Woolter,Zootopia (2016),INTJ,23 Pdb Votes
304,GO-4,WALL-E (2008),INTJ,35 Pdb Votes
305,The Ripper,Last Action Hero,XXXX,18 Pdb Votes
306,Fima Korolev,Guest from the Future (1985),INTJ,6 Pdb Votes
307,Betty Haynes,White Christmas (1954),INTJ,30 Pdb Votes
308,Dr. Caligari,The Cabinet of Dr. Caligari (1920),INTJ,27 Pdb Votes
309,Natalie Certain,Cars (Franchise),INTJ,29 Pdb Votes
310,Micheal,Bacurau (2019),XXXX,8 Pdb Votes
311,Pharaoh Seti I of Egypt,The Mummy (Franchise),INTJ,5 Pdb Votes
312,Black Knight Ghost,Scooby-Doo (2002),INTJ,19 Pdb Votes
313,Vijay Salgaonkar,Drishyam (2015),INTJ,46 Pdb Votes
314,Rowan North,Ghostbusters (2016),INTJ,14 Pdb Votes
315,Lindsey Brigman,The Abyss,INTJ,13 Pdb Votes
316,Felix Cortez,Patriot Games (1992),XXXX,1 Pdb Vote
317,Detective Slave Humphries / Cop,Faster (2010),INTJ,10 Pdb Votes
318,Helen Sharp,Death Becomes Her (1992),INTJ,48 Pdb Votes
319,Yoo-Seok,Forgotten (K Movie),INTJ,48 Pdb Votes
320,Sir Benjamin Merryweather,The Secret of Moonacre (2008),INTJ,13 Pdb Votes
321,Carrie Grey,When We First Met (2018),INTJ,14 Pdb Votes
322,"Simón ""Bombita"" (segment)",Wild Tales (Relatos salvajes) (2014),INTJ,30 Pdb Votes
323,Songlian,Raise the Red Lantern (1991),INTJ,40 Pdb Votes
324,Jozef Gabčík,Anthropoid (2016),INTJ,18 Pdb Votes
325,Lydia Lamont,The Falling,INTJ,4 Pdb Votes
326,Sherlock Gnomes,Sherlock Gnomes,INTJ,25 Pdb Votes
327,Glen Coco,Mean Girls (2004),INTJ,236 Pdb Votes
328,Whale,In the Heart of the Sea (2015),INTJ,4 Pdb Votes
329,Dadina,"The Great Beauty (La grande bellezza, 2013)",INTJ,14 Pdb Votes
330,Cypher Raige,After Earth,INTJ,20 Pdb Votes
331,Blair Witch,The Blair Witch Project (1999),INTJ,41 Pdb Votes
332,Guy Haines,Strangers on a Train (1951),INTJ,26 Pdb Votes
333,The Caller,Phone Booth (2002),INTJ,90 Pdb Votes
334,Dr. Josef Heiter,The Human Centipede,INTJ,160 Pdb Votes
335,Danny Balint,The Believer (2001),INTJ,59 Pdb Votes
336,Robert Laing,High-Rise,INTJ,23 Pdb Votes
337,Clear Rivers,Final Destination (2000),INTJ,135 Pdb Votes
338,Arthur Rimbaud,I'm Not There (2007),INTJ,14 Pdb Votes
339,Charles Morse,The Edge (1997),INTJ,18 Pdb Votes
340,Dr. Daisuke Serizawa,MonsterVerse,INTJ,22 Pdb Votes
341,Babadook,The Babadook (2014),INTJ,63 Pdb Votes
342,Antoine Richis,Perfume: The Story Of A Murderer,INTJ,15 Pdb Votes
343,Morgana,The Little Mermaid (1989),INTJ,43 Pdb Votes
344,Cameron Alexander,American History X (1998),INTJ,66 Pdb Votes
345,Pied Piper,Shrek (Franchise),INTJ,65 Pdb Votes
346,Evil Queen,Shrek (Franchise),INTJ,24 Pdb Votes
347,Dr. Richard Kimble,The Fugitive (1993),XXXX,76 Pdb Votes
348,"Vlad III ""the Impaler"" Drăculea / Dracula",Dracula Untold,INTJ,85 Pdb Votes
349,Jijii,Ichi the Killer (2001),INTJ,10 Pdb Votes
350,Colin Craven,The Secret Garden (1993),INTJ,37 Pdb Votes
351,Jim Phelps (Jon Voight),Mission: Impossible (Franchise),INTJ,15 Pdb Votes
352,Chen Nian,Better Days (2019),INTJ,186 Pdb Votes
353,Angela,Tesis / Thesis (1996),INTJ,58 Pdb Votes
354,Elizabeth Sloane,Miss Sloane,INTJ,137 Pdb Votes
355,Lockhart,A Cure for Wellness,INTJ,78 Pdb Votes
356,James Lake,About Time (2013),INTJ,81 Pdb Votes
357,Rangga,What's Up with Love? (2002),INTJ,49 Pdb Votes
358,Yang-Yang,Yi Yi (2000),INTJ,38 Pdb Votes
359,Detective Seo Tae-yoon,Memories Of Murder (2003),INTJ,134 Pdb Votes
360,Lady Asaji Washizu,Throne of Blood (1957) (蜘蛛巣城),INTJ,30 Pdb Votes
361,Jorge de Burgos,The Name of the Rose (1986),INTJ,17 Pdb Votes
362,Pink,Pink Floyd: The Wall,INTJ,165 Pdb Votes
363,Erudite,Divergent (2014),INTJ,346 Pdb Votes
364,Francis,Spy Kids (2001),INTJ,11 Pdb Votes
365,Benjamín Espósito,El secreto de sus ojos (The secret in their eyes),INTJ,33 Pdb Votes
366,Ben Cash,Captain Fantastic (2016),INTJ,150 Pdb Votes
367,"Kristian ""Varg"" Vikernes",Lords of Chaos (2018),INTJ,90 Pdb Votes
368,Holly Jones,Prisoners (2013),INTJ,62 Pdb Votes
369,Lord Asriel,The Golden Compass (2007),INTJ,19 Pdb Votes
370,Agent 47 (2007),Hitman (Movie Franchise),INTJ,36 Pdb Votes
371,Inspector Gadget,Inspector Gadget,INTJ,32 Pdb Votes
372,Sir Francis Walsingham,Elizabeth (1998 - 2007),INTJ,6 Pdb Votes
373,Old Green Grasshopper,James and the Giant Peach (1996),INTJ,28 Pdb Votes
374,Pinhead,Hellraiser,INTJ,136 Pdb Votes
375,Athena,Hercules (franchise),INTJ,29 Pdb Votes
376,Fitzwilliam Darcy,Pride and Prejudice and Zombies (2016),INTJ,37 Pdb Votes
377,Chatter Telephone,Toy Story (Franchise),INTJ,96 Pdb Votes
