id,person_mbti,mbti_test,character,movie
75,ISTJ,Truity,Tiana,Princess and the Frog
75,ISTJ,Truity,Nanami,Jujutsu Kaisen
75,ISTJ,Truity,President Snow,The Hunger Games (2012)
75,ISTJ,Truity,Frollo,The Hunchback of Notre Dame
76,INTJ,I used several sites to ensure that it was consistent.,Beau Wassermann,Beau is Afraid
76,INTJ,I used several sites to ensure that it was consistent.,Martin Matthias,Martin
76,INTJ,I used several sites to ensure that it was consistent.,Marty Puccio,Bully
76,INTJ,I used several sites to ensure that it was consistent.,Mike Waters,My Own Private Idaho
76,INTJ,I used several sites to ensure that it was consistent.,Carrie White,Carrie
76,INTJ,I used several sites to ensure that it was consistent.,Dolores Claiborne,Dolores Claiborne
76,INTJ,I used several sites to ensure that it was consistent.,Butch,Dog Pound
76,INTJ,I used several sites to ensure that it was consistent.,Dawn Davenport,Female Trouble
76,INTJ,I used several sites to ensure that it was consistent.,Annie Graham,Hereditary
76,INTJ,I used several sites to ensure that it was consistent.,Karl Childers,Sling Blade
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Joel Barish,Eternal Sunshine of the Spotless Mind
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Amélie Poulain,Amélie
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Moana Waialiki,Moana
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Peter Quill,Guardians of the Galaxy Vol. 2
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Thor Odinson,Thor:Ragnarok
77,ENFJ,"16 personalities, Michael caloz, enneagram, truity ",Captain America,Avengers: Endgame
78,INFP,16Personalities,Susanna,"Girl, Interrupted"
78,INFP,16Personalities,Weird Barbie,Barbie
78,INFP,16Personalities,Sam,Stuck in Love
78,INFP,16Personalities,Westley,The Princess Bride
79,INFP,16Personalities,Desmond Poppy,Nativity
79,INFP,16Personalities,Hannibal Lecter,The Silence of the Lambs
79,INFP,16Personalities,Hermione Granger,Harry Potter and the Sorcerer's Stone
79,INFP,16Personalities,Bucky Barnes,Captain America: The Winter Soldier
79,INFP,16Personalities,Miranda Priestly,The Devil Wears Prada
79,INFP,16Personalities,Stephen Strange,Doctor Strange
80,ISFP,16Personalities,Peter Parker,The Amazing Spider-Man
80,ISFP,16Personalities,Gwen Stacy,Spider-Man: Into the Spider-Verse
80,ISFP,16Personalities,Nimona,Nimona
80,ISFP,16Personalities,Kronk,The Emperor's New Groove
81,INFP,16Personalities,Sauron,Lord of the Rings: the Fellowship of the Ring
81,INFP,16Personalities,Severus Snape,Harry Potter: the Half-Blood Prince
81,INFP,16Personalities,Darth Vader,Star Wars III: Revenge of the Sith
81,INFP,16Personalities,John Wick,John Wick (2014)
82,INFP,can't remember,Carol Ledoux,Repulsion
82,INFP,can't remember,Carrie White,Carrie
82,INFP,can't remember,Lux Lisbon,The Virgin Suicides
82,INFP,can't remember,Luna Lovegood,Harry Potter and the Order of the Phoenix
83,ESTJ,16Personalities,Kim Ki-woo,Parasite
83,ESTJ,16Personalities,Daniel Henney,Seducing Mr Perfect
83,ESTJ,16Personalities,Teo Yoo ,Past Lives
84,ENFJ,I truly dont remember now and dont want to answer falsely,Ulysses Everett McGill,"O Brother, where art thou?"
84,ENFJ,I truly dont remember now and dont want to answer falsely,Dr. Horrible,Dr. Horribles Sing Along Blog
84,ENFJ,I truly dont remember now and dont want to answer falsely,White Knight,Alice In Wonderland (1999)
84,ENFJ,I truly dont remember now and dont want to answer falsely,Happy Gilmore,Happy Gilmore
85,INFJ,16Personalities,Star ,American Honey
85,INFJ,16Personalities, The Unicorn ,The Last Unicorn
85,INFJ,16Personalities,Ricky Fitts ,American Beauty
85,INFJ,16Personalities,Charlotte ,Lost in Translation
86,ISFJ,16Personalities,Rambo,rambo
86,ISFJ,16Personalities,Cogo,starzinger
86,ISFJ,16Personalities,Jack sparrow,pirates of caribbean
86,ISFJ,16Personalities,Thor,thor
87,INTP,16Personalities,Ash,evil dead
87,INTP,16Personalities,Rico,starship troopers 
87,INTP,16Personalities,V,V for vendetta 
87,INTP,16Personalities,Ripley,Alien
87,INTP,16Personalities,Neo,The matrix
88,INTP,16Personalities,Natasha Romanov,Avengers: Endgame
88,INTP,16Personalities,Enola Holmes,Enola Holmes
88,INTP,16Personalities,Aragorn,The Lord of the Rings
88,INTP,16Personalities,Captain Klenzendorf,Jojo Rabbit
89,INTP,16Personalities,Miranda Priestly,The Devil Wears Prada
89,INTP,16Personalities,Emmet,Lego Movie
89,INTP,16Personalities,Immortan Joe,Mad Max: Fury Road
89,INTP,16Personalities,Thanos,Avengers: Infinity War
89,INTP,16Personalities,Hannibal Lecter,Silence of the Lambs
89,INTP,16Personalities,Dr. Facilier,Princess and the Frog
90,ENFJ,michaelcaloz.com,Ferris Bueller ,Ferris Bueller's Day Off
90,ENFJ,michaelcaloz.com,Inigo Montoya ,Princess Bride
90,ENFJ,michaelcaloz.com,Mercutio ,Romeo + Juliet
90,ENFJ,michaelcaloz.com,Daphne ,Some Like it Hot
91,ENFP,16Personalities,Anna,Frozen (2013)
91,ENFP,16Personalities,Louisa Lou Clark,Me Before You
91,ENFP,16Personalities,Clementine,Eternal Sunshine of the Spotless Mind
91,ENFP,16Personalities,Jo March,Little Women
92,ISFP,I forgot :( sorry marco,Taki,Your Name
92,ISFP,I forgot :( sorry marco,Alex,"Red, White & Royal Blue (2023)"
92,ISFP,I forgot :( sorry marco,Henry,"Red, White & Royal Blue (2023)"
92,ISFP,I forgot :( sorry marco,Suzume,Suzume
93,INFP,16Personalities,Ishaan,Like stars on earth
93,INFP,16Personalities,Evelyn,Salt (2010)
93,INFP,16Personalities,Merida,brave (2012)
93,INFP,16Personalities,Otto,A man called otto
94,INFP,16Personalities,Ursula,kiki's delivery service 
94,INFP,16Personalities,loki laufeyson,thor
94,INFP,16Personalities,colette tatou,ratatouille
94,INFP,16Personalities,estella miller,cruella
94,INFP,16Personalities,kevin khatchadourian,we need to talk about kevin
94,INFP,16Personalities,ben solo,the last jedi
94,INFP,16Personalities,willy wonka,charlie and the chocolate factory 
94,INFP,16Personalities,felonious gru,despicable me
94,INFP,16Personalities,flynn mcgarry,chef flynn
94,INFP,16Personalities,mulan,mulan
95,ENTP,Cognitive functions self-typing,Megamind,Megamind
95,ENTP,Cognitive functions self-typing,Lord Shen,Kung Fu Panda 2
95,ENTP,Cognitive functions self-typing,Miles Morales,Spider-Man: Into the Spider-Verse
96,ESTJ,Truity,Aragorn,Lord of the Rings
96,ESTJ,Truity,Lt Dan Taylor,Forrest Gump
96,ESTJ,Truity,Superman,Superman (1978)
96,ESTJ,Truity,Obi-Wan Kenobi,Star Wars Episode 3
97,INFJ,16Personalities,Susan Pevensie,"Chronicles of Narnia: The Lion, The Witch, and The Wardrobe"
97,INFJ,16Personalities,Legolas,Lord of the Rings
97,INFJ,16Personalities,Jasmine,Aladdin
97,INFJ,16Personalities,Peter B. Parker,Spiderman: Into the Spiderverse
97,INFJ,16Personalities,Patrick Stewart,The Perks of Being a Wallflower
97,INFJ,16Personalities,Albert Narracott,War Horse
97,INFJ,16Personalities,Hector Rivera,Coco
97,INFJ,16Personalities,Richie Tozier,IT (2017)
97,INFJ,16Personalities,Murphy Murph Cooper,Interstellar
97,INFJ,16Personalities,Sirius Black,Harry Potter and Order of the Phoenix
98,INFJ,academic setting - MBTI test,Yoda,Empire Strikes Back
98,INFJ,academic setting - MBTI test,Theoden,The Two Towers
98,INFJ,academic setting - MBTI test,Rick Blaine,Casablanca
98,INFJ,academic setting - MBTI test,Jeriba,Enemy Mine
99,INFJ,16Personalities,Hermoine,Harry Potter
99,INFJ,16Personalities,Anastasia,Anastasia
99,INFJ,16Personalities,Darcy,Pride and prejudice
99,INFJ,16Personalities,Will traynor,Me before you
100,INFP,16Personalities,Chloe Beale,Pitch Perfect
100,INFP,16Personalities,Violet Evergarden,Violet Evergarden: The Movie
100,INFP,16Personalities,Alita,Alita: Battle Angel
100,INFP,16Personalities,Megan Walsh,Barely Lethal
100,INFP,16Personalities,The Female,Under the Skin
100,INFP,16Personalities,Izzy,Izzy Gets the Fuck Across Town
101,ISTP,Sakinorva,Rick Deckard,Blade Runner (1982)
101,ISTP,Sakinorva,John McClane,Die Hard (1988)
101,ISTP,Sakinorva,Postal Dude,Postal (2007)
101,ISTP,Sakinorva,Eric Draven,The Crow (1994)
102,ISTP,16Personalities,Jason Bourne,Jason Bourne
102,ISTP,16Personalities,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl
102,ISTP,16Personalities,Credence Barebone,Fantastic Beasts and Where to Find Them
102,ISTP,16Personalities,Harry Callahan,Dirty Harry
103,INFJ,Cognitive functions self-typing,Nina Sayers,Black Swan
103,INFJ,Cognitive functions self-typing,Elizabeth Anne Sanders,Buffy The Vampire Slayer
103,INFJ,Cognitive functions self-typing,Wyborne (Wybie) Lovat,Coraline
103,INFJ,Cognitive functions self-typing,Jack Skellington,Nightmare Before Christmas
103,INFJ,Cognitive functions self-typing,Forrest Gump,Forrest Gump
104,ENTJ,16Personalities,Bucky Barnes,Captain America: The Winter Soldier
104,ENTJ,16Personalities,Nick Wilde,Zootopia
104,ENTJ,16Personalities,Edmund Pevensie,The Chronicles of Narnia
104,ENTJ,16Personalities,Sirius Black,Harry Potter and the Prisoner of Azkaban
104,ENTJ,16Personalities,Jack Sparrow,Pirates of the Caribbean
104,ENTJ,16Personalities,Willy Wonka,Wonka
104,ENTJ,16Personalities,Flynn Rider,Tangled
105,INFP,michaelcaloz.com,Vito Corleone,The Godfather
105,INFP,michaelcaloz.com,Ashitaka,Princess Mononoke
105,INFP,michaelcaloz.com,Paul Atreides,Dune
105,INFP,michaelcaloz.com,Dale Cooper,Fire walk with me
106,ENTJ,16Personalities,Emperor Palpatine,Star Wars
106,ENTJ,16Personalities,Emma Woodhouse,Emma (2020)
106,ENTJ,16Personalities,Kiki,Kiki's Delivery Service
106,ENTJ,16Personalities,Sharpay Evans,High School Musical
106,ENTJ,16Personalities,Mary Poppins,Mary Poppins
106,ENTJ,16Personalities,Tom Hagen,The Godfather
106,ENTJ,16Personalities,Leia Organa,Star Wars
106,ENTJ,16Personalities,Captain Amelia,Treasure Planet
106,ENTJ,16Personalities,Eliza Doolittle,My Fair Lady
106,ENTJ,16Personalities,Amy March,Little Women (2019)
107,INFP,Sakinorva,Rango,Rango
107,INFP,Sakinorva,Scar,Lion King
107,INFP,Sakinorva,Spike Spiegel,Cowboy Bebop
107,INFP,Sakinorva,Sirius Black,Harry Potter and the Prisoner of Azkaban
107,INFP,Sakinorva,John Wick,John Wick (2014)
107,INFP,Sakinorva,Darth Vader,Star Wars
107,INFP,Sakinorva,Indiana Jones,Indiana Jones
107,INFP,Sakinorva,Rocky,Rocky (1976)
107,INFP,Sakinorva,Harry Potter,Harry Potter and the Philosopher's Stone
107,INFP,Sakinorva,Batman,The Batman 
108,ESTP,Cognitive functions self-typing,Hans,Frozen II
108,ESTP,Cognitive functions self-typing,Jillian Holtzmann,Ghostbusters (2016)
108,ESTP,Cognitive functions self-typing,Ken,Barbie
108,ESTP,Cognitive functions self-typing,Draco Malfoy,Harry Potter and the Philosopher's Stone
109,ESTJ,16Personalities,Tony Stark,The Avengers
109,ESTJ,16Personalities,Dr. Frank-N-Furter,The Rocky Horror Picture Show
109,ESTJ,16Personalities,Batman,The Dark Knight (2008)
109,ESTJ,16Personalities,Loki,The Avengers
109,ESTJ,16Personalities,Riff Raff,The Rocky Horror Picture Show
109,ESTJ,16Personalities,Joker,The Dark Knight (2008)
109,ESTJ,16Personalities,Hades,Hercules
109,ESTJ,16Personalities,Scar,The Lion King
109,ESTJ,16Personalities,Hannibal Lecter,The Silence of the Lambs
109,ESTJ,16Personalities,Magenta,The Rocky Horror Picture Show
110,ENTJ,16Personalities,J Robert Oppenheimer,Oppenheimer
110,ENTJ,16Personalities,Mitsuha and Taki,Your Name
110,ENTJ,16Personalities,Tony Stark,Iron Man 3
110,ENTJ,16Personalities,Noah Calhoun,The Notebook
111,ENTP,Cognitive functions self-typing,Batman,Batman (2022)
111,ENTP,Cognitive functions self-typing,Captain America,Captain America 
111,ENTP,Cognitive functions self-typing,Olive Penderghast,Easy A
111,ENTP,Cognitive functions self-typing,Percy Jackson,Percy Jackson And The Lightning Thief
111,ENTP,Cognitive functions self-typing,Kabir Bunny Thapar,Yeh Jawaani Hai Deewani
111,ENTP,Cognitive functions self-typing,Harley Quinn,birds of prey
112,ENFJ,16Personalities,Dorothy,The Wizard of Oz
112,ENFJ,16Personalities,Professor MacGonagall,Harry Potter and the Sorcerer's Stone
112,ENFJ,16Personalities,Westley,The Princess Bride
112,ENFJ,16Personalities,Mikey,Goonies
112,ENFJ,16Personalities,Caractacus Potts,Chitty Chitty Bang Bang
112,ENFJ,16Personalities,Indiana Jones,Raiders of the Lost Ark
112,ENFJ,16Personalities,Leia Organa,Star Wars
112,ENFJ,16Personalities,Maria Von Trapp,The Sound of Music
112,ENFJ,16Personalities,Samwise Gamgee,Lord of The Rings
112,ENFJ,16Personalities,Inigo Montoya,The Princess Bride
113,ENFJ,16Personalities,Mulan,Mulan
113,ENFJ,16Personalities,Chris Gardner,Pursuit of Happiness
113,ENFJ,16Personalities,Andrea Sachs,Devil Wears Prada
113,ENFJ,16Personalities,Marilou,Barber's Tales
114,ESFP,Cognitive functions self-typing,Asuka Langley,The End of Evangelion
114,ESFP,Cognitive functions self-typing,Clementine,Eternal Sunshine of the Spotless Mind
114,ESFP,Cognitive functions self-typing,Kim Ki-jeong,Parasite
114,ESFP,Cognitive functions self-typing,Wallace Wells,Scott Pilgrim vs. the World
114,ESFP,Cognitive functions self-typing,Christine McPherson,Lady Bird
114,ESFP,Cognitive functions self-typing,Remy,Ratatouille
115,ENFJ,all,Holly Golightly,Breakfast at Tiffanys
115,ENFJ,all,Jenna,13 Going on 30
115,ENFJ,all,Patrick,10 Things I Hate about You
115,ENFJ,all,Evie Zamora,Thirteen
115,ENFJ,all,Jack Sparrow,Pirates of the Caribbean
115,ENFJ,all,Lena,Sisterhood of the Traveling Pants
115,ENFJ,all,Allie,The Notebook
116,ENTJ,Cognitive functions self-typing,Mary Darling,Peter Pan (2003)
116,ENTJ,Cognitive functions self-typing,Tsu'tey,Avatar
116,ENTJ,Cognitive functions self-typing,Hobie Brown,Spider-Man: Across the Spider-Verse
116,ENTJ,Cognitive functions self-typing,Jane Eyre,Jane Eyre
116,ENTJ,Cognitive functions self-typing,Oliver Wood,Harry Potter
116,ENTJ,Cognitive functions self-typing,"Anthony ""Thin Man""",Charlie's Angels
116,ENTJ,Cognitive functions self-typing,Leticia Letty Ortiz,The Fast and the Furious
116,ENTJ,Cognitive functions self-typing,Galadriel,The Lord of the Rings
116,ENTJ,Cognitive functions self-typing,"O-ren Ishii ""Cottonmouth""",Kill Bill
116,ENTJ,Cognitive functions self-typing,Abe Sapien,Hellboy
117,ISFJ,16Personalities,John Wick,John Wick (2014)
117,ISFJ,16Personalities,Rick O'Connell,The Mummy
117,ISFJ,16Personalities,Iron Man,Avengers
117,ISFJ,16Personalities,Liam Neeson,Taken
117,ISFJ,16Personalities,Robert McCall,Equalizer (2014)
118,INTJ,16Personalities,Cameron Frye,Ferris Bueller's Day Off
118,INTJ,16Personalities,Rick O'Connell,The Mummy
118,INTJ,16Personalities,Jack Sparrow,Pirates of the Caribbean
118,INTJ,16Personalities,Uncle Fester,The Addams Family
118,INTJ,16Personalities,Zuse,Tron: Legacy
118,INTJ,16Personalities,Jareth,Labyrinth
119,ISFP,16Personalities,Dolores,Encanto
119,ISFP,16Personalities,Gandalf,Lord Of The Rings
119,ISFP,16Personalities,Tintin,The Adventures Of Tintin
119,ISFP,16Personalities,Captain America,Captain America: The First Avenger (2011)
119,ISFP,16Personalities,Ip Man,Ip Man (2008)
120,ISTP,16Personalities,The Big Friendly Giant,The BFG
120,ISTP,16Personalities,Peter Quill,Guardians of the Galaxy
120,ISTP,16Personalities,Tony Stark,Avengers
120,ISTP,16Personalities,Colt Seavers,The Fall Guy
120,ISTP,16Personalities,Katniss Everdeen,The Hunger Games (2012)
121,ESFJ,16Personalities,Jack Sparrow,Pirates of the Caribbean
121,ESFJ,16Personalities,Neville Longbottom,Harry Potter and the Philosopher's Stone
121,ESFJ,16Personalities,Joker,The Dark Knight (2008)
121,ESFJ,16Personalities,Tony Stark,Iron Man
122,ESTJ,Cognitive functions self-typing,Yoda ,star wars 
122,ESTJ,Cognitive functions self-typing,Severus Snape ,Harry Potter and the Philosopher's Stone
122,ESTJ,Cognitive functions self-typing,Kiri ,Avatar: The Way of Water
122,ESTJ,Cognitive functions self-typing,Terminator T-800 Uncle Bob,Terminator 3: Rise of the Machines
123,ENFP,michaelcaloz.com,Miles Morales,Into the Spider-Verse
123,ENFP,michaelcaloz.com,Uta,One Piece Film: Red
123,ENFP,michaelcaloz.com,Agent Smith,The Matrix
123,ENFP,michaelcaloz.com,Daniel Plainview,There Will Be Blood
123,ENFP,michaelcaloz.com,The Baby,Eraserhead
123,ENFP,michaelcaloz.com,Patrick Bateman,American Psycho
123,ENFP,michaelcaloz.com,Raoul Duke,Fear and Loathing in Las Vegas
