,char,movie,mbti,votes
51,Caspian X,The Chronicles of Narnia (Film Trilogy),ENFJ,250 Pdb Votes
52,Finnick Odair,The Hunger Games (Franchise),ENFJ,974 Pdb Votes
53,Mufasa,The Lion King (Franchise),ENFJ,1.1k Pdb Votes
54,Orion Pax,Transformers One,XXXX,3 Pdb Votes
55,That one Tiger who would treat me right,Zootopia (2016),ENFJ,14 Pdb Votes
56,Dark,Orion and the Dark (2024),ENFJ,77 Pdb Votes
57,Morai,Star Wars,XXXX,5 Pdb Votes
58,Gracie Atherton-Yoo,May December,ENFJ,67 Pdb Votes
59,Chelsea van der Zee,"Ruby Gillman, Teenage Kraken (2023)",ENFJ,257 Pdb Votes
60,Esther (fake persona),Orphan (2009-2022),ENFJ,120 Pdb Votes
61,Violet Venable,Suddenly Last Summer (1959),ESFJ,5 Pdb Votes
62,Brooke,Ice Age (Franchise),ENFJ,89 Pdb Votes
63,Biology Teacher,K-12 (2019),ENFJ,48 Pdb Votes
64,Emma Woodhouse,Emma. (2020),ENFJ,765 Pdb Votes
65,Summer,Wonder (2017),ENFJ,95 Pdb Votes
66,Bo-Peep (Toy Story 4),Toy Story (Franchise),ENFJ,399 Pdb Votes
67,Blanche DuBois,A Streetcar Named Desire (1951),ENFJ,285 Pdb Votes
68,Roy,Primal Fear (1996),ENFJ,185 Pdb Votes
69,Carter J. Burke,Alien,ENFJ,74 Pdb Votes
70,Tiffany Maxwell,Silver Linings Playbook (2012),ENFJ,353 Pdb Votes
71,Graham Simpkins,The Holiday (2006),ENFJ,144 Pdb Votes
72,Angelica,Pirates of the Caribbean,ENFJ,125 Pdb Votes
73,Grammy Norma,The Lorax (2012),ENFJ,107 Pdb Votes
74,Bridget von Hammersmark,Inglourious Basterds (2009),ENFJ,229 Pdb Votes
75,Lily Evans Potter,Harry Potter / Wizarding World Films,ENFJ,682 Pdb Votes
76,Queenie Goldstein,Fantastic Beasts,ENFJ,446 Pdb Votes
77,Emily Barham,The Americanization of Emily (1964),ENFJ,2 Pdb Votes
78,Marjorie Stewart,The Ministry of Ungentlemanly Warfare (2024),ENFJ,3 Pdb Votes
79,Amal Davis,Premalu (2024),ENFJ,4 Pdb Votes
80,Boris,Miller’s Girl (2024),ENFJ,12 Pdb Votes
81,Denise Porter,White Chicks (2004),XXXX,9 Pdb Votes
82,Dr. June Ross-Mitchell,Late Night with the Devil (2024),ENFJ,10 Pdb Votes
83,Kaan,Ofis Akademia,ENFJ,27 Pdb Votes
84,Major David Angus Pollock,Separate Tables (1958),ENFJ,3 Pdb Votes
85,Anne Shankland ,Separate Tables (1958),ENFJ,3 Pdb Votes
86,Prince Hamlet,Hamlet (1990),ENFJ,6 Pdb Votes
87,Raf,Ferdinand (Olé el Viaje de Ferdinand),XXXX,4 Pdb Votes
88,Ernest Lawrence,Oppenheimer (2023),ENFJ,106 Pdb Votes
89,Anika Kayoko,Scream (Franchise),ENFJ,305 Pdb Votes
90,Max Broussard,Do Revenge (2022),ENFJ,294 Pdb Votes
91,Forge Fitzwilliam,Dungeons & Dragons: Honor Among Thieves (2023),ENFJ,167 Pdb Votes
92,Robin Arellano,The Black Phone,ENFJ,337 Pdb Votes
93,Gertrude,Ophelia,ENFJ,13 Pdb Votes
94,Professor Rupert Marmalade IV,The Bad Guys (2022),ENFJ,246 Pdb Votes
95,Pedro Madrigal,Encanto (2021),ENFJ,192 Pdb Votes
96,Akiko Glitter (Just Dance Girl),The Emoji Movie (2017),ENFJ,14 Pdb Votes
97,Kayla Morgan,Cloud 9,ENFJ,83 Pdb Votes
98,Kashibai,Bajirao Mastani,ENFJ,15 Pdb Votes
99,Zeke,Think Like a Man (2012),ENFJ,14 Pdb Votes
100,Sook-yin Park,The Interview (2014),XXXX,8 Pdb Votes
101,Shota Kazehaya,Kimi ni Todoke (film),XXXX,6 Pdb Votes
102,Julie Grigio,Warm Bodies (2013),ENFJ,34 Pdb Votes
103,Woman in Red,The Matrix Trilogy,ENFJ,41 Pdb Votes
104,Mirena,Dracula Untold,ENFJ,20 Pdb Votes
105,Prince Florian,Snow White and the Seven Dwarfs (1937),ENFJ,151 Pdb Votes
106,Shannon DeLong/Maurice Mills,A Fall from Grace (2020),ENFJ,9 Pdb Votes
107,"""Saburo"" Naotora Ichimonji",Ran (1985),ENFJ,18 Pdb Votes
108,Margaret “Marmee” March,Little Women (2019),ENFJ,259 Pdb Votes
109,Amanda Dunfrey,The Mist (2007),ENFJ,44 Pdb Votes
110,Jimmy Hoffa,The Irishman (2019),ENFJ,222 Pdb Votes
111,Angélica,City of God (2002),ENFJ,23 Pdb Votes
112,Ellie Appleton,Yesterday (2019),ENFJ,31 Pdb Votes
113,Bill Harford,Eyes Wide Shut (1999),ENFJ,182 Pdb Votes
114,Queen Watevra Wa’Nabi,The Lego Movie (Franchise),ENFJ,65 Pdb Votes
115,Chessy,The Parent Trap (1998),ENFJ,93 Pdb Votes
116,Cruz Ramirez,Cars (Franchise),ENFJ,112 Pdb Votes
117,Rachel Chu,Crazy Rich Asians (2018),ENFJ,202 Pdb Votes
118,William Wallace,Braveheart (1995),ENFJ,214 Pdb Votes
119,Jules,Superbad (2007),ENFJ,90 Pdb Votes
120,Lily,Cloverfield (2008),ENFJ,15 Pdb Votes
121,Mr. White,Reservoir Dogs (1992),ENFJ,265 Pdb Votes
122,Te Fiti,Moana (2016),ENFJ,185 Pdb Votes
123,Kit Fisto,Star Wars,ENFJ,146 Pdb Votes
124,Rose Armitage,Get Out (2017),ENFJ,466 Pdb Votes
125,Commodus,Gladiator (2000),ENFJ,523 Pdb Votes
126,April Spink,Coraline (2009),ENFJ,147 Pdb Votes
127,Juror #9,12 Angry Men (1957),ENFJ,242 Pdb Votes
128,Dr. Hugh Mann,Interstellar (2014),ENFJ,193 Pdb Votes
129,Jacqueline,Café de Flore,ENFJ,1 Pdb Vote
130,Dr. Burton,All the Colors of the Dark (1972),ENTJ,1 Pdb Vote
131,Mama,Perfect Days (2023),XXXX,1 Pdb Vote
132,Gwendolyn,The Odd Couple (1968),ENFJ,2 Pdb Votes
133,Sherry-Anne's Mother,Sing (Franchise),XXXX,1 Pdb Vote
134,Jake,My Friends,ENFJ,3 Pdb Votes
135,Tunde Jonathan,Phat Girlz (2006),XXXX,1 Pdb Vote
136,Jessica (Stepmother),Imaginary,ENFJ,2 Pdb Votes
137,Lenny Davidson,Having A Wild Weekend ( 1965),ENFJ,10 Pdb Votes
138,Chantal Etienne,Ripper (2001),XXXX,1 Pdb Vote
139,Mary Elnor,The Unholy (2021),ENTP,1 Pdb Vote
140,Melissa,Gunshy (1998),XXXX,1 Pdb Vote
141,"Constance ""Connie"" Sumner",Unfaithful (2002),XXXX,1 Pdb Vote
142,קארין,סרט אפס,ENFP,2 Pdb Votes
143,Tommy Donegal,Mona Lisa Smile (2003),XXXX,1 Pdb Vote
144,Jackson Evans,The Contender (2000),XXXX,1 Pdb Vote
145,Grigory Vakulinchuk,Battleship Potemkin (1925),ENFJ,10 Pdb Votes
146,Fernando Gonzáles-Dubois,Chance (2009),ENFJ,2 Pdb Votes
147,Maori Hino,Even if This Love Disappears from the World Tonigh,ENFJ,4 Pdb Votes
148,Clifford Anderson,Deathtrap (1982 film),ENFJ,8 Pdb Votes
149,Catherine DeLarouche,Upgraded (2024),XXXX,11 Pdb Votes
150,Jackie Lombardo,Señora Influencer (2023),ENFJ,3 Pdb Votes
151,Guido Magri,La Sociedad de la Nieve (Society of the Snow),XXXX,4 Pdb Votes
152,Mistral,The Tiger's Apprentice,XXXX,1 Pdb Vote
153,Darrian Bloodaxe,Rebel Moon (Franchise),ENFJ,13 Pdb Votes
154,Choi Ji-young,Ashfall (2019),ENFJ,3 Pdb Votes
155,Blossom,The Powerpuff Girls Movie (2002),XXXX,1 Pdb Vote
156,Leonard Bernstein ,Maestro,ENFJ,33 Pdb Votes
157,Old Woman,Barbie (2023),ENFJ,8 Pdb Votes
158,G. H. Scott,Leave the World Behind,ENFJ,51 Pdb Votes
159,Диляра,Слово пацана. Кровь на асфальте / Slovo patsana,ENFJ,10 Pdb Votes
160,Lady Bayford,Damsel (2024),ENFJ,35 Pdb Votes
161,Ji-hoon,Beauty Water (기기괴괴 성형수),ENFJ,4 Pdb Votes
162,Viva,Trolls (2016),ENFJ,106 Pdb Votes
163,Salma,Dogman,ENFJ,9 Pdb Votes
164,Zhang Ting,Born to Fly (2023),ENTJ,1 Pdb Vote
165,So Si Min,Brave Citizen (2023),ENFJ,27 Pdb Votes
166,Emily,Fair Play (2023),ENFJ,46 Pdb Votes
167,Natalie Kingsley,After (Film Trilogy),XXXX,32 Pdb Votes
168,Ricky（瑞琪）,Mole's World（摩尔庄园）,ESFJ,8 Pdb Votes
169,Harry,All of Us Strangers,ENFJ,34 Pdb Votes
170,Maggie,Strays (2023),ENFJ,10 Pdb Votes
171,Almut,We Live in Time,ENFJ,2 Pdb Votes
172,Aunt Mame Dennis Burnside,Mame (1974),XXXX,3 Pdb Votes
173,Tachibana,Shin Kamen Rider,XXXX,2 Pdb Votes
174,Tim Ballard,Sound of Freedom (2023),ENFJ,50 Pdb Votes
175,Captain Harper,The Dollars Trilogy,XXXX,1 Pdb Vote
176,Phrik,I Fine..Thank You..Love You,XXXX,1 Pdb Vote
177,The Duke,Waterloo Bridge,XXXX,1 Pdb Vote
178,Helen Holt,Inventing the Abbotts (1997),ENFJ,5 Pdb Votes
179,The Reverend Doctor,Heaven's Gate (1980),XXXX,1 Pdb Vote
180,Vanessa ‘Ursula’s Persona’,The Little Mermaid (2023 film),ENFJ,179 Pdb Votes
181,Mario Misaki (Raoh),High & Low The Worst X (Cross),ENFJ,14 Pdb Votes
182,Dr. Owen ,Smilin' Through (1932),ENFJ,2 Pdb Votes
183,Lisa Rochelle ,Copper Canyon (1950),ENFJ,2 Pdb Votes
184,Helen Morrison Dallas,Stella Dallas (1937),XXXX,1 Pdb Vote
185,Tamar,The Miracle Maker,XXXX,1 Pdb Vote
186,Jesus,The Miracle Maker,XXXX,1 Pdb Vote
187,Padre Pablo,Bandidas,XXXX,1 Pdb Vote
188,Tea’s ghost (1700s),1700s ft,ENFJ,12 Pdb Votes
189,The Prince (aka The Shadow Man),Happily Ever After (1990),ENFJ,9 Pdb Votes
190,Minnie Mink,The Hateful Eight (2015),XXXX,7 Pdb Votes
191,Gabi Bauer,Infinity Pool (2023),ENFJ,161 Pdb Votes
192,Peter Dunning,Safe (1995),ENFJ,6 Pdb Votes
193,Doraemon,Stand By Me Doraemon 2 (2020),XXXX,15 Pdb Votes
194,Vicência Santos,Fantastic Beasts,ENFJ,6 Pdb Votes
195,Mike Tobacco,Killer Klowns from Outer Space (1988),ENTP,17 Pdb Votes
196,Nora Clark,Step Up (2006),ENFJ,9 Pdb Votes
197,Chaz,Trolls (2016),ENFJ,14 Pdb Votes
198,Grandma Rosiepuff,Trolls (2016),ENFJ,3 Pdb Votes
199,Danny Baldwin,The Good Nurse (2022),ENFJ,7 Pdb Votes
200,Amy Loughren,The Good Nurse (2022),ENFJ,34 Pdb Votes
201,Milo,Pusher Trilogy,ENFJ,25 Pdb Votes
202,Ghasitaram,Sonu Ke Titu Ki Sweety,XXXX,1 Pdb Vote
203,Stan Bobrucz,For Keeps (1988),ENFJ,11 Pdb Votes
204,Kim Possible,Kim Possible (2019),ENFJ,13 Pdb Votes
205,Thomas,The Whale (2022),ENFJ,101 Pdb Votes
206,Agnes,The Hunt (Jagten; 2012),XXXX,1 Pdb Vote
207,Father Joseph K. Dyer,The Exorcist (1973),ENFJ,11 Pdb Votes
208,Dhairya,Aspirants [web series],ENFJ,4 Pdb Votes
209,Abigail Callaghan,Big Hero 6 (2014),ENFJ,14 Pdb Votes
210,Steve Andrews,The Blob (1958),XXXX,6 Pdb Votes
211,Laura Crane,Scream (Franchise),ENFJ,60 Pdb Votes
212,Marike ,You Can Live Forever (2022),ENFJ,13 Pdb Votes
213,Ramiro,"Yo, adolescente",XXXX,15 Pdb Votes
214,Steve Abnesti,Spiderhead (2022),ENFJ,51 Pdb Votes
215,Mr. Elliot,Persuasion (2022),ENFJ,21 Pdb Votes
216,Aidan,"Hello, Goodbye, and Everything In Between",ENFJ,17 Pdb Votes
217,Yoshitaka Tsubota,Flying Colors (2015),ENFJ,2 Pdb Votes
218,Ellie,Evil Dead Series,ENFJ,47 Pdb Votes
219,"Badarawuhi ""Dawuh""",KKN di Desa Penari,ENFJ,45 Pdb Votes
220,Chris,"My Teacher, My Obsession",ENFJ,15 Pdb Votes
221,Tamara Riley,Tamara (2005),ENFJ,34 Pdb Votes
222,Hamlet,Ophelia,ENFJ,14 Pdb Votes
223,Miracle Candle,Encanto (2021),ENFJ,106 Pdb Votes
224,Mater Lachrymarum,Mother of Tears,ENFJ,17 Pdb Votes
225,Saeko Takahashi (高橋 紗絵子),Shitsuren Chocolatier ( 失恋ショコラティエ ),ENFJ,8 Pdb Votes
226,Annabel Leigh,Lolita (1997),ENFJ,63 Pdb Votes
227,Break Summers,Barbie in A Mermaid Tale,ENFJ,12 Pdb Votes
228,Zee,Ice Age (Franchise),ENFJ,20 Pdb Votes
229,"Ricky ""Jupe"" Park",Nope (2022),ENFJ,156 Pdb Votes
230,Bima,KKN di Desa Penari,ENFJ,22 Pdb Votes
231,Ania Kwiatkowska,Planeta Singli,XXXX,18 Pdb Votes
232,Casita,Encanto (2021),ENFJ,303 Pdb Votes
233,Mrs. Ulman,The House of The Devil,XXXX,2 Pdb Votes
234,Lonette,Cool World (1992),ENFJ,29 Pdb Votes
235,Pit Bull,Sparkshorts (Pixar Artists Projects),ENFJ,5 Pdb Votes
236,Idi Amin,Last King of Scotland (2006),ENFJ,17 Pdb Votes
237,Mr. Beck,Chrissa Stands Strong (2009),ENFJ,5 Pdb Votes
238,Kun,My True Friend (2012),ENFJ,12 Pdb Votes
239,Penny Benjamin,Top Gun Series,ENFJ,48 Pdb Votes
240,Vicomte Raoul de Chagny,The Phantom of the Opera (1925),ENFJ,3 Pdb Votes
241,Min Hyuk,Parasite (2019),ENFJ,43 Pdb Votes
242,Mihai,Liceenii (1986),ENFJ,16 Pdb Votes
243,Toilet Guy,La Haine (1995),ENFJ,10 Pdb Votes
244,Beverly Donofrio,Riding in Cars with Boys,ENFJ,22 Pdb Votes
245,Barbie,Barbie Presents Thumbelina,ENFJ,10 Pdb Votes
246,Thumbelina,Barbie Presents Thumbelina,ENFJ,20 Pdb Votes
247,Dana,Hotel Transylvania (2012),ENFJ,8 Pdb Votes
248,Tina Templeton,Boss Baby (Franchise),ENFJ,76 Pdb Votes
249,Peyton Leverett,High School Musical (Film Trilogy),ENFJ,25 Pdb Votes
250,Frank,Don't Worry Darling (2022),ENFJ,218 Pdb Votes
251,Максим Шустов,Огонь (2020),XXXX,13 Pdb Votes
252,Boi Evans,High School Musical (Film Trilogy),ENFJ,8 Pdb Votes
253,Peter Abelard,Stealing Heaven (1988),XXXX,6 Pdb Votes
254,Dejah Thoris,John Carter (2012),ENFJ,6 Pdb Votes
255,Annie Woods,Legally Blondes (2009),ENFJ,18 Pdb Votes
256,Shannon Street-Millard,I Can Only Imagine (2018),XXXX,1 Pdb Vote
257,Linda Mitchell,The Mitchells vs. the Machines (2021),ENFJ,381 Pdb Votes
258,Linda,Anger Management (2003),ENFJ,7 Pdb Votes
259,Cleopatra,Asterix and Obelix (Franchise),ENFJ,24 Pdb Votes
260,Avar Kriss,Star Wars,ENFJ,13 Pdb Votes
261,Theo Marchand,Monte Carlo (2011),ENFJ,28 Pdb Votes
262,Barbie,Barbie: A Fairy Secret,ENFJ,136 Pdb Votes
263,Teresa Del Taco,Sausage Party (2016),ENFJ,28 Pdb Votes
264,Rei Nagasawa,Ride or Die (2021),ENFJ,25 Pdb Votes
265,Wookiee,Star Wars,ENFJ,7 Pdb Votes
266,Papa Smurf,The Smurfs (2011),ENFJ,26 Pdb Votes
267,Chief Detective Tokura,High and Low (1963),ENFJ,6 Pdb Votes
268,Percy Fawcett,The Lost City of Z,XXXX,16 Pdb Votes
269,First Ancestor Fa,Mulan (Franchise),ENFJ,24 Pdb Votes
270,Sam the Onion Man,Holes (2003),ENFJ,39 Pdb Votes
271,Benjamin,Twilight (Franchise),ENFJ,24 Pdb Votes
272,Benja,Raya and the Last Dragon (2021),ENFJ,288 Pdb Votes
273,Thunderclap,The Good Dinosaur (2015),ENFJ,5 Pdb Votes
274,Sofie Fatale,Kill Bill (2003),ENFJ,53 Pdb Votes
275,Shone,First Love / Crazy Little Thing Called Love (2010),ENFJ,4 Pdb Votes
276,Violet,Bound (1996),ENFJ,90 Pdb Votes
277,Shangri Llama,Ice Age (Franchise),ENFJ,10 Pdb Votes
278,Zatoichi,Zatoichi,ENFJ,18 Pdb Votes
279,Calliope the Muse of Epics,Hercules (franchise),ENFJ,17 Pdb Votes
280,Mary Fiore,The Wedding Planner,ENFJ,27 Pdb Votes
281,Megan McCallister,Home Alone,ENFJ,17 Pdb Votes
282,Una,Stardust (2007),ENFJ,23 Pdb Votes
283,Barbie,Barbie In A Christmas Carol,ENFJ,48 Pdb Votes
284,Balthazar,The Scorpion King,ENFJ,3 Pdb Votes
285,Mr. Tushman,Wonder (2017),ENFJ,30 Pdb Votes
286,Mr. Browne,Wonder (2017),ENFJ,35 Pdb Votes
287,Old Major,Animal Farm (1954),ENFJ,20 Pdb Votes
288,Seryou Touji,Seven Days: Monday - Thursday,ENFJ,6 Pdb Votes
289,Roy Cronin,Waterloo Bridge,ENFJ,9 Pdb Votes
290,Peter Friedkin,Final Destination 5 (2011),ENFJ,44 Pdb Votes
291,Jane Adler,It’s Complicated (2009),ENFJ,12 Pdb Votes
292,Bulda,Frozen (Franchise),ENFJ,33 Pdb Votes
293,Martin D. Ginsburg,On the Basis of Sex,ENFJ,3 Pdb Votes
294,Helen,Possession (1981),ENFJ,46 Pdb Votes
295,Helen Remington,Crash (1996),ENFJ,16 Pdb Votes
296,Clément Mathieu,Les Choristes (2004),ENFJ,43 Pdb Votes
297,Hubie DuBois,Hubie Halloween (2020),ENFJ,45 Pdb Votes
298,Creek,Trolls (2016),ENFJ,73 Pdb Votes
299,Akari Kashiwagi,Kimi no Me ga Toikakete Iru (Your Eyes Tell),ENFJ,72 Pdb Votes
300,Rose Da Silva,Silent Hill (2006-2012),ENFJ,36 Pdb Votes
301,Gwen,The Falling,ENFJ,2 Pdb Votes
302,Johnny Sameniego,McFarland USA,ENFJ,3 Pdb Votes
303,Carly Jones,House of Wax (2005),ENFJ,33 Pdb Votes
304,Rohan Raichand,Kabhi Khushi Kabhie Gham... (2001),ENFJ,29 Pdb Votes
305,Evelyn Johnson,Pearl Harbor,ENFJ,80 Pdb Votes
306,Krishna Mehra / Krrish,Krrish (Film Series),ENFJ,24 Pdb Votes
307,Marlene,Madagascar (Franchise),ENFJ,105 Pdb Votes
308,Grace Town,Chemical Hearts,ENFJ,67 Pdb Votes
309,Erin,The Texas Chainsaw Massacre (Franchise),ENFJ,65 Pdb Votes
310,Roquefort,The Aristocats (1970),ENFJ,30 Pdb Votes
311,Evelyn Robin,Christopher Robin (2018),ENFJ,18 Pdb Votes
312,Felipe,Eat Pray Love,ENFJ,22 Pdb Votes
313,Sloan,Wanted (2008),ENFJ,15 Pdb Votes
314,Bruno,Cinderella (1950),ENFJ,23 Pdb Votes
315,Mama Gump,Forrest Gump (1994),ENFJ,147 Pdb Votes
316,Derice Bannock,Cool Runnings (1993),ENFJ,19 Pdb Votes
317,Lucy,I Am Sam (2001),ENFJ,35 Pdb Votes
318,Malina,The Emperor's New Groove (2000),ENFJ,88 Pdb Votes
319,Jack Qwant,Bridget Jones's Diary (franchise),ENFJ,25 Pdb Votes
320,Alana,The Little Mermaid (1989),ENFJ,60 Pdb Votes
321,Tonowari,Avatar (Franchise),ENFJ,134 Pdb Votes
322,Captain Werner von Ebrennac,Le Silence de la Mer (The Silence of the Sea) (2004),ENFJ,12 Pdb Votes
323,The Duke,Salò o le 120 giornate di Sodoma (1975),ENFJ,44 Pdb Votes
324,Jim Trotter III,My Cousin Vinny (1992),ENFJ,16 Pdb Votes
325,Leo,The Vow (2012),ENFJ,65 Pdb Votes
326,Jane Callahan,The Barber of Siberia (1998),ENFJ,3 Pdb Votes
327,Keith,La La Land (2016),ENFJ,34 Pdb Votes
328,Rosalinda,Princess Protection Program (2009),ENFJ,81 Pdb Votes
329,Cinta,What's Up with Love? (2002),ENFJ,62 Pdb Votes
330,Imoguiri,The Platform / El Hoyo (2020),ENFJ,71 Pdb Votes
331,Shelly DeVoto,My Girl (Film Series),ENFJ,29 Pdb Votes
332,Rhonda,A Cinderella Story (2004),ENFJ,39 Pdb Votes
333,David Kammerer,Kill Your Darlings (2013),ENFJ,51 Pdb Votes
334,Al Powell,Die Hard,ENFJ,38 Pdb Votes
335,Peter Dawson,Heathers (1989),ENFJ,50 Pdb Votes
336,"Miss ""G"" Gribben",Cracks (2009),ENFJ,51 Pdb Votes
337,Coach,The Gentlemen (2019),ENFJ,80 Pdb Votes
338,Marisa Coulter,The Golden Compass (2007),ENFJ,49 Pdb Votes
339,Nika Boronina (2007),Hitman (Movie Franchise),ENFJ,5 Pdb Votes
340,Col. Dax,Paths of Glory (1957),ENFJ,49 Pdb Votes
341,Emma Woodhouse,Emma (1996),ENFJ,36 Pdb Votes
342,Woody,Footloose (1984),ESFJ,1 Pdb Vote
343,Aphrodite,Hercules (franchise),ENFJ,44 Pdb Votes
344,King Kong,King Kong (2005),ENFJ,122 Pdb Votes
345,Katrina “Treena” Clark,Me Before You (2016),ENFJ,36 Pdb Votes
346,Addison Rosalie Wells,Z-O-M-B-I-E-S (2018),ENFJ,156 Pdb Votes
347,"Jane Clayton, Baroness Greystoke / Jane Porter",The Legend of Tarzan (2016),ENFJ,36 Pdb Votes
348,Buster,Misery (1990),ENFJ,17 Pdb Votes
349,Isabella of Angoulême,Robin Hood (2010),XXXX,17 Pdb Votes
350,Mrs. Carmody (Mother Carmody),The Mist (2007),XXXX,58 Pdb Votes
351,Jorge Mario Bergoglio / Pope Francis,The Two Popes (2019),ENFJ,59 Pdb Votes
352,Carmen Lowell,The Sisterhood of the Traveling Pants (2005),ENFJ,72 Pdb Votes
353,Miss Mann,Scary Movie,ENFJ,9 Pdb Votes
354,Emily Spier,"Love, Simon (2018)",ENFJ,34 Pdb Votes
355,Satine,Moulin Rouge (2001),ENFJ,168 Pdb Votes
356,Jack,Red Shoes & The Seven Dwarfs (2019),ENFJ,14 Pdb Votes
357,Rosie Betzler,Jojo Rabbit (2019),ENFJ,333 Pdb Votes
358,Lavagirl,The Adventures of Sharkboy and Lavagirl (2005),ENFJ,214 Pdb Votes
359,Audrey Decker,The Goldfinch (2019),ENFJ,19 Pdb Votes
360,Gloria,Happy Feet (2006-2011),ENFJ,40 Pdb Votes
361,Prince Stefan,Barbie As Rapunzel (2002),ENFJ,37 Pdb Votes
362,Bené,City of God (2002),ENFJ,207 Pdb Votes
363,Queen Tara,Epic (2013),ENFJ,38 Pdb Votes
364,Georgiana Cavendish,The Duchess (2008),ENFJ,22 Pdb Votes
365,"Chris ""Oz"" Ostreicher",American Pie,ENFJ,72 Pdb Votes
366,Maggie Beauford,Lawless (2012),ENFJ,14 Pdb Votes
367,Emma Russell,MonsterVerse,ENFJ,33 Pdb Votes
368,Isabel Pullman,Wonder (2017),ENFJ,45 Pdb Votes
369,Brendan Conlon,Warrior (2011),ENFJ,37 Pdb Votes
370,Themistocles,300,ENFJ,41 Pdb Votes
371,Evie Grimhilde,Descendants (Franchise),ENFJ,635 Pdb Votes
372,Benjamin Florian,Descendants (Franchise),ENFJ,362 Pdb Votes
373,Hector,Troy (2004),ENFJ,201 Pdb Votes
374,Gene Meh,The Emoji Movie (2017),ENFJ,101 Pdb Votes
375,Ma,Room (2015),ENFJ,69 Pdb Votes
376,Brother Aidan,The Secret of Kells (2009),ENFJ,22 Pdb Votes
377,Him,Mother! (2017),ENFJ,119 Pdb Votes
